,Rank,"Player (yrs, age)",Base-Out Runs Saved (RE24),Throws
572,573.,"James Paxton (8, 31)",42.495,L
573,574.,Hung-Chih Kuo (7),42.470,L
574,575.,"Tanner Roark (8, 33)",42.323,R
575,576.,Murry Dickson (18),42.049,R
576,577.,Jose Rosado (5),41.978,L
577,578.,"Kenta Maeda (5, 32)",41.947,R
578,579.,"Yusmeiro Petit (13, 35)",41.941,R
579,580.,Joel Peralta (12),41.846,R
580,581.,Tom Sturdivant (10),41.838,R
581,582.,Shaun Marcum (9),41.626,R
582,583.,Pete Richert (13),41.608,L
583,584.,"Jeremy Jeffress (11, 32)",41.549,R
584,585.,Connie Johnson (5),41.533,R
585,586.,Scott McGregor (13),41.432,L
586,587.,"Luis Castillo (4, 27)",41.346,R
587,588.,Shane Reynolds (13),41.171,R
588,589.,Chris Short (15),41.091,L
589,590.,Mike Hampton (16),40.969,L
590,591.,Syl Johnson (19),40.705,R
591,592.,David Riske (11),40.508,R
592,593.,"Taylor Rogers (5, 29)",40.495,L
593,594.,Babe Ruth+ (22),40.440,L
594,595.,"Brad Keller (3, 24)",40.416,R
595,596.,Johnny Niggeling (9),40.320,R
596,597.,Pedro Feliciano (9),40.278,L
597,598.,Kerry Ligtenberg (8),40.228,R
598,599.,Ramiro Mendoza (10),40.172,R
599,600.,Jason Motte (9),40.089,R
600,601.,Kris Medlen (8),40.001,R
601,602.,Andrew Bailey (8),39.915,R
602,603.,Lefty Tyler (12),39.910,L
603,604.,"Justin Wilson (9, 32)",39.867,L
604,605.,Carmen Hill (10),39.762,R
605,606.,"Pedro Strop (12, 35)",39.518,R
606,607.,Ernie White (7),39.483,L
607,608.,"Chris Devenski (5, 29)",39.345,R
608,609.,"Luis Avilan (9, 30)",39.280,L
609,610.,Frank Francisco (10),39.198,R
610,611.,"Trevor Rosenthal (8, 30)",39.137,R
611,612.,Roy Face (16),39.096,R
612,613.,Al Holland (10),39.073,L
613,614.,Michael Wuertz (8),39.039,R
614,615.,Camilo Pascual (18),39.015,R
615,616.,Kirby Higbe (12),38.982,R
