,Rank,"Player (yrs, age)",Championship WPA (cWPA),Bats
370,371.,Johnny Hopp (14),13.88,L
371,371.,Possum Whitted (11),13.88,R
372,373.,Rich Reese (10),13.87,L
373,374.,Curtis Granderson (16),13.85,L
374,375.,Ray Blades (10),13.84,R
375,376.,Richie Zisk (13),13.75,R
376,377.,Willie Crawford (14),13.73,L
377,378.,Gary Matthews (16),13.71,R
378,379.,Howard Johnson (14),13.69,B
379,380.,Elmer Valo (20),13.61,L
380,381.,"Buster Posey (11, 33)",13.60,R
381,381.,Glenn Wright (11),13.60,R
382,383.,Derrek Lee (15),13.47,R
383,384.,Kirby Puckett+ (12),13.46,R
384,385.,George Crowe (9),13.43,L
385,386.,Dave Magadan (16),13.28,L
386,387.,Johnny Damon (18),13.27,L
387,388.,Woody English (12),13.21,R
388,389.,Moises Alou (17),13.20,R
389,390.,Jim Davenport (13),13.18,R
390,391.,Red Rolfe (10),13.16,L
391,392.,Tim Salmon (14),13.14,R
392,393.,Billy Goodman (16),13.11,L
393,393.,Mike Marshall (11),13.11,R
394,393.,Norm Siebern (12),13.11,L
395,396.,Kal Daniels (7),13.10,L
396,397.,Bernie Williams (16),12.98,B
397,398.,Jerry Lynch (13),12.90,L
398,399.,Tony Gonzalez (12),12.70,L
399,400.,"Nelson Cruz (16, 39)",12.61,R
400,401.,Adrian Beltre (21),12.57,R
401,402.,Al Bumbry (14),12.53,L
402,402.,Lonnie Smith (17),12.53,R
403,404.,Andre Ethier (12),12.52,L
404,405.,Clyde Vollmer (10),12.51,R
405,406.,Tony Phillips (18),12.47,B
406,407.,Luke Easter (6),12.33,L
407,408.,George Harper (11),12.27,L
408,409.,Bob Horner (10),12.26,R
409,410.,Bibb Falk (12),12.22,L
410,410.,Jim Hickman (13),12.22,R
411,412.,Bobby Brown (8),12.21,L
412,413.,Del Ennis (14),12.12,R
413,413.,Heinie Groh (16),12.12,R
414,415.,Graig Nettles (22),12.11,L
415,416.,Home Run Baker+ (13),12.10,L
416,417.,Frank Demaree (12),12.01,R
417,418.,"Robinson Cano (16, 37)",11.99,L
418,419.,Bobby Bonilla (16),11.92,B
419,420.,Cesar Tovar (12),11.85,R
420,421.,Joe Harris (10),11.81,R
421,422.,Buddy Lewis (11),11.80,L
422,423.,Elbie Fletcher (12),11.78,L
423,424.,Ray Sanders (7),11.76,L
424,425.,Phil Cavarretta (22),11.71,L
425,426.,Ryan Klesko (16),11.69,L
426,427.,Mike Easler (14),11.67,L
427,428.,Magglio Ordonez (15),11.63,R
428,429.,Dusty Rhodes (7),11.61,L
429,430.,Darren Daulton (14),11.53,L
430,430.,Shawn Green (15),11.53,L
431,432.,Dalton Jones (9),11.49,L
432,433.,Dick Stuart (10),11.43,R
433,434.,Bruce Campbell (13),11.36,L
434,434.,Dode Paskert (15),11.36,R
435,436.,Dick Groat (14),11.27,R
436,437.,Zeke Bonura (7),11.26,R
437,438.,"Mookie Betts (7, 27)",11.21,R
438,439.,Estel Crabtree (8),11.20,L
439,440.,Randy Milligan (8),11.19,R
440,441.,Bake McBride (11),11.17,L
441,442.,Jimmy Ripple (7),11.13,L
442,443.,Duke Sims (11),11.11,L
443,444.,Carlos May (10),11.06,L
444,445.,"Justin Upton (14, 32)",11.01,R
445,446.,Rusty Greer (9),10.99,L
446,447.,Manny Sanguillen (13),10.94,R
447,448.,"Shin-Soo Choo (16, 37)",10.89,L
448,449.,Tino Martinez (16),10.82,L
449,450.,Jayson Werth (15),10.80,R
450,451.,"Yoenis Céspedes (8, 34)",10.78,R
451,452.,Cuckoo Christensen (2),10.76,L
452,453.,J.T. Snow (16),10.71,L
453,454.,Jim Dwyer (18),10.69,L
454,455.,Jose Bautista (15),10.67,R
455,455.,"Evan Longoria (13, 34)",10.67,R
456,457.,Danny Tartabull (14),10.66,R
457,458.,"Dustin Pedroia (14, 36)",10.62,R
458,459.,Glenn Davis (10),10.57,R
459,459.,Joe Rudi (16),10.57,R
460,461.,Del Pratt (13),10.52,R
461,461.,Robin Ventura (16),10.52,L
462,463.,Floyd Robinson (9),10.45,L
463,464.,Jose Cardenal (18),10.44,R
464,464.,Dave Kingman (16),10.44,R
465,464.,Mickey Rivers (15),10.44,L
466,467.,Earl Webb (7),10.41,L
467,468.,Jackie Jensen (11),10.39,R
468,468.,Les Mann (16),10.39,R
469,470.,Eddie Joost (17),10.38,R
470,471.,Doug DeCinces (15),10.34,R
471,472.,Rick Ferrell+ (18),10.23,R
472,473.,Jimmy Dykes (22),10.21,R
473,474.,"Michael Brantley (12, 33)",10.17,L
474,474.,Gates Brown (13),10.17,L
475,474.,Jim Fregosi (18),10.17,R
476,477.,Eddie Stanky (11),10.16,R
477,478.,Pat Burrell (12),10.14,R
478,479.,Dick Dietz (8),10.13,R
479,480.,Cleon Jones (13),10.10,R
480,481.,"Edwin Encarnacion (16, 37)",10.09,R
481,482.,Mark Teixeira (14),10.03,B
482,483.,Spud Davis (16),9.98,R
483,484.,Willie Aikens (8),9.96,L
484,485.,Joe Ferguson (14),9.94,R
485,486.,Marquis Grissom (17),9.91,R
486,487.,Dan Ford (11),9.90,R
487,488.,Lee Walls (10),9.84,R
488,489.,Johnny Rizzo (5),9.83,R
489,490.,Lyman Bostock (4),9.81,L
490,490.,Julio Franco (23),9.81,R
491,492.,Sixto Lezcano (12),9.70,R
492,493.,Willie Kirkland (9),9.69,L
493,494.,Gus Bell (15),9.66,L
494,495.,Charlie Maxwell (14),9.60,L
495,496.,John Kruk (10),9.52,L
496,497.,Wes Parker (9),9.46,B
497,498.,Keith Moreland (12),9.44,R
498,499.,George Shuba (7),9.43,L
499,500.,Travis Hafner (12),9.33,L
500,501.,Ben Oglivie (16),9.32,L
501,502.,Kevin Youkilis (10),9.26,R
502,503.,Mack Jones (10),9.25,L
503,504.,Miguel Tejada (16),9.24,R
504,505.,Cliff Johnson (15),9.22,R
505,505.,Billy Southworth+ (13),9.22,L
506,505.,Troy Tulowitzki (13),9.22,R
507,508.,Dale Mitchell (11),9.16,L
508,509.,Topper Rigney (6),9.14,R
509,510.,Dale Long (10),9.12,L
510,510.,Bill Nicholson (16),9.12,L
511,512.,John Mayberry (15),9.11,L
512,513.,Adam Dunn (14),9.08,L
513,514.,Carl Everett (14),9.07,B
514,515.,Don Hoak (11),9.02,R
515,516.,Earl Smith (12),9.00,L
516,517.,Bill Robinson (16),8.97,R
517,518.,Hank Sauer (15),8.90,R
518,519.,Justin Morneau (14),8.88,L
519,519.,"Carlos Santana (11, 34)",8.88,B
520,521.,Mike Hargrove (12),8.87,L
521,521.,"Justin Turner (12, 35)",8.87,R
522,523.,Wally Moses (17),8.85,L
523,524.,Larry Doyle (14),8.83,L
524,525.,Jorge Posada (17),8.79,B
525,526.,George Kell+ (15),8.76,R
526,527.,Fred Luderus (12),8.75,L
527,528.,"Kris Bryant (6, 28)",8.73,R
528,529.,Jackie Brandt (11),8.71,R
529,529.,Tom Haller (12),8.71,L
530,531.,John Stone (11),8.70,L
531,532.,Toby Harrah (17),8.68,R
532,533.,Joe Judge (20),8.66,L
533,534.,Curt Blefary (8),8.65,L
534,534.,Jay Buhner (15),8.65,R
535,536.,Jeff Burroughs (16),8.57,R
536,537.,Mickey Tettleton (14),8.54,B
537,537.,Sam West (16),8.54,L
538,539.,Todd Zeile (16),8.53,R
539,540.,"Giancarlo Stanton (11, 30)",8.50,R
540,541.,Raul Mondesi (13),8.49,R
541,542.,Jacoby Ellsbury (11),8.47,L
542,543.,Smoky Joe Wood (14),8.46,R
543,544.,Steve Braun (15),8.45,L
544,545.,Leon Durham (10),8.44,L
545,546.,Ray Grimes (6),8.36,R
546,546.,Bill North (11),8.36,B
547,548.,Jimmy Rollins (17),8.35,B
548,549.,Garry Maddox (15),8.32,R
549,550.,George Sisler+ (15),8.31,L
550,550.,Danny Taylor (9),8.31,R
551,552.,Eric Karros (14),8.30,R
552,553.,Ray Jablonski (8),8.22,R
553,554.,Nippy Jones (8),8.21,R
554,554.,Bob Robertson (11),8.21,R
555,556.,Al Smith (12),8.20,R
556,557.,"Jason Heyward (11, 30)",8.18,L
557,558.,Ron LeFlore (9),8.16,R
558,559.,Eric Chavez (17),8.14,L
559,559.,Larry Hisle (14),8.14,R
560,561.,Hal Chase (15),8.10,R
561,562.,John Briggs (12),8.07,L
562,563.,Dave Harris (7),8.05,R
563,563.,"J.D. Martinez (10, 32)",8.05,R
564,565.,George Hendrick (18),8.04,R
565,566.,"Nolan Arenado (8, 29)",7.97,R
566,567.,Ed Bouchee (7),7.96,L
567,568.,Billy Werber (11),7.91,R
568,569.,Mule Haas (12),7.87,L
569,569.,Tillie Walker (13),7.87,R
570,571.,Jimmie Hall (8),7.86,L
571,572.,Max Flack (12),7.85,L
572,573.,Jim Gilliam (14),7.80,B
573,574.,Gary Redus (13),7.72,R
574,575.,Orlando Merced (13),7.71,B
575,575.,Luis Olmo (6),7.71,R
576,575.,Aaron Robinson (8),7.71,L
577,578.,Marv Owen (9),7.65,R
578,579.,Cy Williams (19),7.63,L
579,580.,John Lowenstein (16),7.60,L
580,581.,Richie Ashburn+ (15),7.57,L
581,581.,Hector Lopez (12),7.57,R
582,583.,Gorman Thomas (13),7.54,R
583,584.,Ken Caminiti (15),7.52,B
584,584.,Mike Epstein (9),7.52,L
585,586.,Hubie Brooks (15),7.50,R
586,587.,Bud Stewart (9),7.49,L
587,588.,Jim Landis (11),7.43,R
588,589.,"Brandon Belt (10, 32)",7.40,L
589,590.,Von Hayes (12),7.39,L
590,591.,Darin Erstad (14),7.37,L
591,592.,Ron Blomberg (8),7.30,L
592,592.,Cecil Travis (12),7.30,L
593,594.,Gordy Coleman (9),7.28,L
594,594.,"Brett Gardner (13, 36)",7.28,L
595,594.,George Watkins (7),7.28,L
596,597.,Jo-Jo White (9),7.27,L
597,598.,Hank Gowdy (17),7.24,R
598,599.,Rube Bressler (19),7.22,R
599,600.,Ron Northey (12),7.19,L
600,601.,Brett Butler (17),7.18,L
601,602.,Andy Seminick (15),7.16,R
602,603.,Braggo Roth (8),7.10,R
603,604.,Davey Lopes (16),7.08,R
604,605.,Alvin Davis (9),7.07,L
605,606.,Ping Bodie (9),7.05,R
606,607.,Pat Collins (10),7.03,R
607,608.,Johnny Bassler (9),6.95,L
608,609.,"Chris Davis (13, 34)",6.94,L
609,609.,Bernie Neis (8),6.94,B
610,611.,Bob Cerv (12),6.91,R
611,611.,Goody Rosen (6),6.91,L
612,613.,Steve Kemp (11),6.84,L
613,614.,Russell Martin (14),6.81,R
614,614.,Johnny Schulte (5),6.81,L
615,616.,Tony Fernandez (17),6.80,B
616,617.,"Anthony Rendon (8, 30)",6.77,R
617,617.,John Tamargo (5),6.77,B
618,617.,Mo Vaughn (12),6.77,L
619,620.,"Charlie Blackmon (10, 33)",6.72,L
620,621.,Mike Mowrey (13),6.68,R
621,622.,Johnny Frederick (6),6.66,L
622,623.,Terry Puhl (15),6.65,L
623,624.,Lu Blue (13),6.64,B
624,624.,Dave Henderson (14),6.64,R
625,624.,Michael Young (14),6.64,R
626,627.,Jay Bell (18),6.63,R
627,628.,Brady Anderson (15),6.61,L
628,628.,Sam Leslie (10),6.61,L
629,630.,"Daniel Murphy (12, 35)",6.60,L
630,631.,Bill Doran (12),6.57,B
631,632.,Carney Lansford (15),6.54,R
632,633.,Rip Radcliff (10),6.50,L
