,Rank,"Player (yrs, age)",Win Probability Added (WPA),Throws
574,574.,Al McBean (10),4.96,R
575,576.,Roger Nelson (9),4.95,R
576,577.,"Walker Buehler (4, 25)",4.92,R
577,577.,Hung-Chih Kuo (7),4.92,L
578,577.,Turk Wendell (11),4.92,R
579,580.,Steve Reed (14),4.91,R
580,581.,Sam Zoldak (9),4.86,L
581,582.,Pedro Borbon (12),4.85,R
582,582.,"Marcus Stroman (6, 29)",4.85,R
583,584.,Glen Perkins (12),4.84,L
584,585.,Steve Farr (11),4.83,R
585,585.,"Nick Wittgren (5, 29)",4.83,R
586,587.,Cliff Melton (8),4.82,L
587,588.,Norm Charlton (13),4.80,L
588,589.,"Pedro Baez (7, 32)",4.79,R
589,589.,Pete Harnisch (14),4.79,R
590,591.,Jose Guzman (8),4.78,R
591,591.,Casey Janssen (9),4.78,R
592,593.,"Patrick Corbin (8, 30)",4.77,L
593,593.,Hank Wyse (8),4.77,R
594,595.,Monty Stratton (5),4.75,R
595,596.,Eric Show (11),4.74,R
596,597.,"Jared Hughes (10, 34)",4.73,R
597,597.,Joe Sambito (11),4.73,L
598,599.,Todd Frohwirth (9),4.72,R
599,600.,Chris Bosio (11),4.71,R
600,600.,Billy Taylor (7),4.71,R
601,602.,Fred Hutchinson (11),4.68,R
602,603.,Burleigh Grimes+ (19),4.67,R
603,603.,Red Munger (10),4.67,R
604,605.,Joe Page (8),4.64,L
605,606.,Larry Andersen (17),4.62,R
606,607.,Ryan Franklin (12),4.61,R
607,607.,Satchel Paige+ (6),4.61,R
608,607.,George Pipgras (11),4.61,R
609,610.,Lee Meadows (15),4.60,R
610,610.,Bob Shaw (11),4.60,R
611,612.,Mike Gonzalez (11),4.59,L
612,612.,Carmen Hill (10),4.59,R
613,612.,Joey Jay (13),4.59,R
614,615.,Ramiro Mendoza (10),4.57,R
615,616.,Ken Forsch (16),4.55,R
616,617.,Mark Fidrych (5),4.54,R
617,618.,Erik Hanson (11),4.53,R
618,619.,"Jerry Blevins (13, 36)",4.52,L
619,620.,T.J. Mathews (8),4.50,R
620,621.,Kiko Calero (7),4.48,R
621,621.,Jack Kralick (9),4.48,L
622,623.,Rob Dibble (7),4.47,R
623,623.,Luke Gregerson (11),4.47,R
624,625.,Heinie Meine (7),4.46,R
