,Rank,"Player (yrs, age)",Wild Pitches,Throws
563,545.,Early Wynn+ (23),51,R
564,565.,Ed Bagley (2),50,
565,565.,Chad Billingsley (9),50,R
566,565.,Nelson Briles (14),50,R
567,565.,Pete Broberg (8),50,R
568,565.,"Patrick Corbin (8, 30)",50,L
569,565.,Paul Derringer (15),50,R
570,565.,Scott Feldman (13),50,R
571,565.,Bob Friend (16),50,R
572,565.,Jon Garland (13),50,R
573,565.,Earl Hamilton (14),50,L
574,565.,Pete Harnisch (14),50,R
575,565.,Roberto Hernandez (17),50,R
576,565.,"Dallas Keuchel (9, 32)",50,L
577,565.,Jimmy Key (15),50,L
578,565.,Dolf Luque (20),50,R
579,565.,John McMullin (5),50,L
580,565.,Bud Norris (10),50,R
581,565.,Bob Rush (13),50,R
582,565.,"Jonathan Sanchez (8, 37)",50,L
583,565.,Dizzy Trout (15),50,R
584,565.,Steve Trout (12),50,L
585,565.,Lon Warneke (15),50,R
586,565.,Mark Wohlers (12),50,R
587,565.,Barry Zito (15),50,L
588,589.,Jack Baldschun (9),49,R
589,589.,Mark Clear (11),49,R
590,589.,Reggie Cleveland (13),49,R
591,589.,"Danny Duffy (10, 31)",49,L
592,589.,Ned Garver (14),49,R
593,589.,Mike Golden (2),49,R
594,589.,Trevor Hoffman+ (18),49,R
595,589.,Catfish Hunter+ (15),49,R
596,589.,Jim McGlothlin (9),49,R
597,589.,Doc Medich (11),49,R
598,589.,"Manny Parra (8, 37)",49,L
599,589.,"James Paxton (8, 31)",49,L
600,589.,Ed Reulbach (13),49,R
601,589.,Scot Shields (10),49,R
602,589.,Rick Wise (18),49,R
603,604.,"Jhoulys Chacin (12, 32)",48,R
604,604.,Hooks Dauss (15),48,R
605,604.,Jim Devlin (5),48,R
606,604.,Scott Garrelts (10),48,R
607,604.,Ned Garvin (7),48,R
608,604.,"Kevin Gausman (8, 29)",48,R
609,604.,Jeremy Hellickson (10),48,R
610,604.,Rick Helling (12),48,R
611,604.,Mike Henneman (10),48,R
612,604.,Jim Kern (13),48,R
613,604.,"Craig Kimbrel (11, 32)",48,R
614,604.,Dave Lemanczyk (8),48,R
615,604.,Jack Manning (12),48,R
616,604.,Tom Phoebus (7),48,R
617,604.,Billy Pierce (18),48,L
618,604.,Mike Remlinger (14),48,L
619,604.,Rudy Seanez (17),48,R
620,604.,John Smiley (12),48,L
621,604.,Dick Stigman (7),48,L
622,604.,Tom Sullivan (4),48,
623,604.,Ron Villone (15),48,L
624,604.,Herm Wehmeier (13),48,R
625,604.,Dontrelle Willis (9),48,L
626,627.,Steve Avery (11),47,L
627,627.,"Trevor Bauer (9, 29)",47,R
628,627.,Larry Benton (13),47,R
629,627.,Jim Bunning+ (17),47,R
630,627.,Bill Campbell (15),47,R
631,627.,Mark Clark (10),47,R
632,627.,"Tyler Clippard (14, 35)",47,R
633,627.,"Gerrit Cole (8, 29)",47,R
634,627.,Fred Corey (7),47,R
635,627.,Jack Easton (5),47,
636,627.,John Fox (4),47,
637,627.,Joey Hamilton (10),47,R
638,627.,Joe Hesketh (11),47,L
639,627.,Danny Jackson (15),47,L
640,627.,Frank Lary (12),47,R
641,627.,Brandon League (11),47,R
642,627.,Cory Lidle (9),47,R
643,627.,Tim Lollar (7),47,L
644,627.,Joe Mays (7),47,R
645,627.,Willie Mitchell (11),47,L
646,627.,Mark Mulder (9),47,L
647,627.,Joe Nathan (16),47,R
648,627.,Denny Neagle (13),47,L
649,627.,Tip O'Neill (10),47,R
650,627.,Jeff Robinson (6),47,R
651,627.,Lee Smith+ (18),47,R
652,627.,Dummy Taylor (9),47,R
653,627.,John Tsitouris (11),47,R
654,627.,Todd Van Poppel (11),47,R
655,656.,Bill Bernhard (9),46,R
656,656.,"Carlos Carrasco (11, 33)",46,R
657,656.,Bruce Dal Canton (11),46,R
658,656.,Dan Daub (6),46,R
659,656.,Octavio Dotel (15),46,R
660,656.,Richard Dotson (12),46,R
661,656.,Terry Forster (16),46,L
662,656.,Ad Gumbert (9),46,R
663,656.,Bill Hands (11),46,R
664,656.,Xavier Hernandez (10),46,R
665,656.,Sam Leever (13),46,R
666,656.,Mark Leiter (11),46,R
667,656.,Curt Leskanic (11),46,R
668,656.,Brad Lidge (11),46,R
669,656.,"Lance Lynn (9, 33)",46,R
670,656.,Jim McElroy (1),46,
671,656.,Dustin McGowan (10),46,R
672,656.,Dave Mlicki (10),46,R
673,656.,Gene Nelson (13),46,R
674,656.,Joe Oeschger (12),46,R
675,656.,Omar Olivares (12),46,R
676,656.,Ramon Ortiz (12),46,R
677,656.,Jake Peavy (15),46,R
678,656.,Todd Ritchie (8),46,R
679,656.,Kevin Ritz (9),46,R
680,656.,Red Ruffing+ (22),46,R
681,656.,Jeff Russell (14),46,R
682,656.,Dick Selma (10),46,R
683,656.,George Van Haltren (17),46,L
684,656.,Pete Vuckovich (11),46,R
685,656.,Victor Zambrano (7),46,R
686,687.,Steve Arlin (6),45,R
687,687.,John Axford (10),45,R
688,687.,Jim Britt (2),45,
689,687.,"Zack Britton (10, 32)",45,L
690,687.,"Bartolo Colon (21, 47)",45,R
691,687.,Dock Ellis (12),45,R
692,687.,Bob Ewing (11),45,R
693,687.,Turk Farrell (14),45,R
694,687.,Dave Freisleben (6),45,R
695,687.,"David Hernandez (10, 35)",45,R
696,687.,Rick Honeycutt (21),45,L
697,687.,Sam Jones (12),45,R
698,687.,Mike MacDougal (12),45,R
699,687.,Phil Marchildon (9),45,R
700,687.,Mike Mattimore (4),45,L
