,Rank,"Player (yrs, age)",Runs Batted In,Bats
603,604.,Travis Hafner (12),731,L
604,605.,Don Money (16),729,R
605,605.,Dave Philley (18),729,B
606,607.,Billy Butler (10),728,R
607,607.,Frank Malzone (12),728,R
608,607.,Garry Templeton (16),728,B
609,610.,Jeff Cirillo (14),727,R
610,610.,Dan McGann (12),727,B
611,612.,Mike Greenwell (12),726,L
612,613.,Dummy Hoy (14),725,L
613,613.,"Dustin Pedroia (14, 36)",725,R
614,615.,Howie Kendrick (15),724,R
615,616.,Royce Clayton (17),723,R
616,616.,Jeffrey Leonard (14),723,R
617,616.,Adam Lind (12),723,L
618,616.,Placido Polanco (16),723,R
619,616.,Eddie Robinson (13),723,L
620,616.,Glenn Wright (11),723,R
621,622.,Jake Daubert (15),722,L
622,622.,Doug Rader (11),722,R
623,622.,Wilbert Robinson+ (17),722,R
624,625.,Sam Mertes (10),721,R
625,625.,Joe Pepitone (12),721,L
626,627.,Mike Griffin (12),720,L
627,627.,Mark Kotsay (17),720,L
628,627.,Chris Speier (19),720,R
629,630.,Gavvy Cravath (11),719,R
630,630.,Jose Reyes (16),719,B
631,632.,Tony Batista (11),718,R
632,633.,Al Cowens (13),717,R
633,633.,Al Rosen (10),717,R
634,635.,Jesse Barfield (12),716,R
635,636.,Dots Miller (12),714,R
636,637.,Buck Freeman (11),713,L
637,638.,George Grantham (13),712,L
638,639.,"Ian Desmond (11, 34)",711,R
639,639.,Bengie Molina (13),711,R
640,641.,Dick Bartell (18),710,R
641,641.,Marlon Byrd (15),710,R
642,641.,John Stone (11),710,L
643,644.,Bobby Higginson (11),709,L
644,644.,Jeff King (11),709,R
645,646.,Shano Collins (16),708,R
646,646.,Granny Hamner (17),708,R
647,646.,Dave Henderson (14),708,R
648,646.,Tony Pena (18),708,R
649,650.,Dick Groat (14),707,R
650,651.,Jim Fregosi (18),706,R
651,651.,"Kyle Seager (10, 32)",706,L
652,651.,Dan Uggla (10),706,R
653,654.,Wally Schang (19),705,B
654,655.,Zeke Bonura (7),704,R
655,655.,Walt Dropo (13),704,R
656,657.,Hank Bauer (14),703,R
657,657.,Juan Samuel (16),703,R
658,659.,Danny Murphy (16),702,R
659,659.,Mike Stanley (15),702,R
660,661.,Josh Hamilton (9),701,L
661,661.,Thurman Munson (11),701,R
662,663.,Darin Erstad (14),699,L
663,663.,Cliff Johnson (15),699,R
664,663.,Kevin Millar (12),699,R
665,663.,Wally Post (15),699,R
666,663.,Carl Reynolds (13),699,R
