,Rank,"Player (yrs, age)",Total Zone Runs,Throws
78,78.,Mark Ellis (12),82,R
79,78.,Bobby Grich (17),82,R
80,81.,Jack Wilson (12),81,R
81,82.,Jim Edmonds (17),80,L
82,82.,Adam Everett (11),80,R
83,82.,Lance Johnson (14),80,L
84,82.,Ian Kinsler (14),80,R
85,82.,Ken McMullen (16),80,R
86,82.,Gary Pettis (11),80,R
87,82.,Reggie Sanders (17),80,R
88,89.,Mike Benjamin (13),79,R
89,89.,Ed Brinkman (15),79,R
90,89.,John Valentin (11),79,R
91,92.,Reggie Smith (17),78,R
92,93.,"Nolan Arenado (8, 29)",77,R
93,93.,Carl Crawford (15),77,L
94,93.,Jose Cruz (19),77,L
95,93.,Mark Grace (16),77,L
96,93.,Darrin Jackson (12),77,R
97,93.,Alan Trammell+ (20),77,R
98,93.,Lou Whitaker (19),77,R
99,100.,"DJ LeMahieu (10, 31)",76,R
100,101.,Gil McDougald (10),75,R
101,101.,B.J. Surhoff (19),75,R
102,101.,Jose Valentin (16),75,R
103,104.,Tony Kubek (9),74,R
104,104.,Mark Lemke (11),74,R
105,106.,Ken Boyer (15),73,R
106,107.,Johnny Bench+ (17),72,R
107,107.,Mike Bordick (14),72,R
108,107.,Pedro Feliz (11),72,R
109,107.,Mike Gallego (13),72,R
110,107.,Austin Kearns (12),72,R
111,107.,Bill Russell (18),72,R
112,107.,Glenn Wilson (10),72,R
113,114.,"Nick Ahmed (7, 30)",71,R
114,114.,Ken Berry (14),71,R
115,114.,Del Crandall (16),71,R
116,114.,Warren Cromartie (10),71,L
117,114.,Rick Dempsey (24),71,R
118,114.,Charles Johnson (12),71,R
119,120.,Andre Dawson+ (21),70,R
120,120.,Luis Gonzalez (19),70,R
121,120.,Steve Yeager (15),70,R
122,123.,"Robinson Cano (16, 37)",69,R
123,123.,J.D. Drew (14),69,R
124,123.,Vladimir Guerrero+ (16),69,R
125,123.,Pete O'Brien (12),69,L
126,127.,David DeJesus (13),68,L
127,128.,Bernard Gilkey (12),67,R
128,128.,Rico Petrocelli (13),67,R
129,128.,Pokey Reese (8),67,R
