,Rank,"Player (yrs, age)",Caught Stealing as C,Throws
184,185.,Henry Blanco (16),269,R
185,185.,Brent Mayne (15),269,R
186,187.,George Mitterwald (11),268,R
187,187.,Buddy Rosar (13),268,R
188,189.,Bubbles Hargrave (12),267,R
189,189.,Todd Hundley (14),267,R
190,189.,Paul Lo Duca (11),267,R
191,189.,Dave Valle (13),267,R
192,193.,Mike Macfarlane (13),265,R
193,193.,Charlie O'Brien (15),265,R
194,195.,Brian Downing (20),264,R
195,195.,Mickey Owen (13),264,R
196,197.,Damian Miller (11),263,R
197,198.,Ron Hassey (14),262,R
198,198.,Grover Land (7),262,R
199,200.,Tom Haller (12),261,R
200,200.,Alex Trevino (13),261,R
201,202.,William Fischer (5),260,R
202,202.,Chad Kreuter (16),260,R
203,204.,King Kelly+ (16),258,R
204,204.,Buck Martinez (17),258,R
205,206.,"Jonathan Lucroy (11, 34)",257,R
206,207.,Roy Campanella+ (10),252,R
207,207.,Hank DeBerry (11),252,R
208,207.,Ed Herrmann (11),252,R
209,210.,Walker Cooper (18),251,R
210,211.,Mike Lieberthal (14),248,R
211,212.,Andy Etchebarren (15),244,R
212,213.,"Buster Posey (11, 33)",242,R
213,213.,Mike Tresh (12),242,R
214,215.,Earl Smith (12),241,R
215,215.,"Kurt Suzuki (14, 36)",241,R
216,217.,Johnny Gooch (11),240,R
217,217.,Rick Wilkins (11),240,R
218,219.,Phil Masi (14),239,R
219,220.,Joe Ferguson (14),236,R
220,220.,Mickey Tettleton (14),236,R
221,222.,Hick Cady (7),235,R
222,222.,Ellie Rodriguez (9),235,R
223,224.,Miguel Olivo (13),234,R
224,224.,Bob Swift (14),234,R
225,226.,Klondike Douglass (9),233,R
226,226.,Patsy Gharrity (10),233,R
227,228.,Shanty Hogan (13),232,R
228,228.,Sammy White (11),232,R
229,230.,Brian Harper (16),231,R
230,230.,Joe Torre+ (18),231,R
231,232.,Greg Myers (18),230,R
232,232.,Carlos Ruiz (12),230,R
233,234.,Chris Hoiles (10),228,R
234,234.,Brian Schneider (13),228,R
235,236.,John Bateman (10),227,R
236,236.,Charlie Berry (11),227,R
237,236.,Jose Molina (15),227,R
238,236.,Pinch Thomas (10),227,R
239,236.,Ozzie Virgil (11),227,R
240,241.,Claude Berry (5),225,R
241,241.,Dave Duncan (11),225,R
242,243.,Fred Kendall (12),224,R
243,244.,Elston Howard (14),223,R
244,245.,Jake Early (9),222,R
245,245.,Glenn Myatt (16),222,R
246,247.,Doc Marshall (5),221,R
247,248.,Grover Hartley (14),219,R
248,249.,Mike Fitzgerald (10),217,R
249,250.,Verne Clemons (7),216,R
250,251.,Buck Rodgers (9),215,R
251,251.,Gus Triandos (13),215,R
252,253.,Earl Battey (13),214,R
253,253.,Parke Wilson (7),214,R
254,255.,Charlie Bennett (15),213,R
255,255.,Smoky Burgess (18),213,R
256,257.,Bill Wilson (3),212,R
257,258.,Junior Ortiz (13),211,R
258,258.,"Matt Wieters (12, 34)",211,R
259,260.,Paul Casanova (10),210,R
260,261.,Clint Courtney (11),209,R
261,261.,Del Rice (17),209,R
262,261.,Gregg Zaun (16),209,R
263,264.,Barry Foote (10),208,R
264,265.,"Alex Avila (12, 33)",207,R
265,265.,Gerald Laird (13),207,R
266,265.,Scott Servais (11),207,R
267,268.,Fred Payne (6),206,R
268,269.,Ray Mueller (14),204,R
269,270.,Jack Doyle (17),203,R
270,270.,Nick Hundley (12),203,R
271,272.,Fred Carisch (8),202,R
272,272.,Phil Roof (15),202,R
273,274.,Joe Azcue (11),201,R
274,274.,Marc Hill (14),201,R
275,274.,Frank Roth (6),201,R
276,277.,Duffy Dyer (14),199,R
277,277.,Clyde McCullough (15),199,R
278,277.,B.J. Surhoff (19),199,R
279,280.,Jack Bliss (5),198,R
280,280.,Ed Burns (7),198,R
281,280.,Frankie Pytlak (12),198,R
282,283.,Miguel Montero (13),197,R
283,283.,David Ross (15),197,R
284,285.,Tex Erwin (6),196,R
285,285.,Paddy Livingston (7),196,R
286,287.,Ed Bailey (14),195,R
287,287.,"Chris Iannetta (14, 37)",195,R
288,287.,Dave Rader (10),195,R
289,290.,Lew Drill (4),193,R
290,290.,Wickey McAvoy (6),193,R
291,290.,Matt Nokes (11),193,R
292,293.,Ray Hayworth (15),191,R
293,293.,Yorvit Torrealba (13),191,R
294,295.,Jerry Harrington (4),190,R
295,296.,Harry Danning (10),189,R
296,296.,Einar Diaz (11),189,R
297,296.,"Salvador Perez (9, 30)",189,R
298,299.,Buck Crouse (8),188,R
299,299.,Yip Owens (4),188,R
300,299.,Matt Walbeck (11),188,R
301,302.,Paul Bako (12),187,R
302,302.,Rod Barajas (14),187,R
303,302.,Al Todd (11),187,R
304,305.,Mike Heydon (7),186,R
