,Rank,"Player (yrs, age)",Doubles,Bats
349,347.,Frank McCormick (13),334,R
350,347.,Claudell Washington (17),334,L
351,352.,Jose Cardenal (18),333,R
352,352.,Mickey Cochrane+ (13),333,L
353,352.,Michael Cuddyer (15),333,R
354,355.,Jack Clark (18),332,R
355,355.,Alex Gonzalez (16),332,R
356,355.,Carney Lansford (15),332,R
357,358.,Hal Trosky (11),331,L
358,359.,"Nelson Cruz (16, 39)",330,R
359,359.,Pee Wee Reese+ (16),330,R
360,361.,Darrell Evans (21),329,L
361,361.,Tony Oliva (15),329,L
362,361.,Garry Templeton (16),329,B
363,364.,John Anderson (14),328,B
364,364.,Ronnie Belliard (13),328,R
365,364.,Ron Cey (17),328,R
366,364.,Baby Doll Jacobson (11),328,R
367,364.,Graig Nettles (22),328,L
368,369.,Joe Randa (12),327,R
369,369.,Eric Young Sr. (15),327,R
370,371.,Hugh Duffy+ (17),325,R
371,371.,Aaron Hill (13),325,R
372,371.,Mike Sweeney (16),325,R
373,374.,Rick Ferrell+ (18),324,R
374,374.,Carl Furillo (15),324,R
375,374.,Eric Karros (14),324,R
376,374.,Hunter Pence (14),324,R
377,378.,Benito Santiago (20),323,R
378,378.,Juan Uribe (16),323,R
379,380.,Billy Butler (10),322,R
380,380.,Sean Casey (12),322,L
381,380.,Hal Chase (15),322,R
382,380.,Charlie Jamieson (18),322,L
383,380.,Chuck Knoblauch (12),322,R
384,385.,Yogi Berra+ (19),321,L
385,385.,Johnny Callison (16),321,L
386,385.,Prince Fielder (12),321,L
387,385.,Riggs Stephenson (14),321,R
388,389.,Dick Allen (15),320,R
389,389.,Dusty Baker (19),320,R
390,389.,Dave Bancroft+ (16),320,B
391,389.,Jesse Burkett+ (16),320,L
392,389.,Bobby Grich (17),320,R
393,394.,Lu Blue (13),319,B
394,394.,Gary Matthews (16),319,R
395,394.,Raul Mondesi (13),319,R
396,397.,Ken Boyer (15),318,R
397,397.,Eric Chavez (17),318,L
398,399.,Richie Ashburn+ (15),317,L
399,399.,Ken Singleton (15),317,B
400,401.,Jack Doyle (17),316,R
401,401.,Darin Erstad (14),316,L
402,401.,Martin Prado (14),316,R
403,401.,Willie Randolph (18),316,R
404,405.,Home Run Baker+ (13),315,L
405,405.,George McQuinn (12),315,L
406,405.,Shannon Stewart (14),315,R
407,408.,Pete Fox (13),314,R
408,408.,Mike Griffin (12),314,L
409,410.,Bert Campaneris (19),313,R
410,410.,Jack Glasscock (17),313,R
411,412.,Jose Bautista (15),312,R
412,412.,Doug DeCinces (15),312,R
413,412.,Kent Hrbek (14),312,L
414,412.,Stuffy McInnis (19),312,R
