,Rank,"Player (yrs, age)",Batters Faced,Throws
769,770.,Oral Hildebrand (10),6313,R
770,770.,Tug McGraw (19),6313,L
771,772.,Charlie Ferguson (4),6310,R
772,773.,Ellis Kinder (12),6302,R
773,774.,Ray Scarborough (10),6297,R
774,775.,"Trevor Cahill (12, 32)",6294,R
775,776.,Greg Harris (15),6293,R
776,777.,"Jake Arrieta (11, 34)",6286,R
777,777.,Ed Seward (6),6286,R
778,779.,Tiny Bonham (10),6284,R
779,780.,George McQuillan (10),6279,R
780,781.,Ruben Gomez (10),6278,R
781,782.,Monte Pearson (10),6259,R
782,783.,Bill Wegman (11),6254,R
783,784.,"Jose Quintana (9, 31)",6244,L
784,785.,John Buzhardt (11),6239,R
785,786.,Ed Doheny (9),6229,L
786,787.,Kevin Correia (13),6227,R
787,788.,Dave Davenport (6),6222,R
788,788.,Julian Tavarez (17),6222,R
789,790.,Pete Falcone (10),6220,L
790,791.,"Charlie Morton (13, 36)",6200,R
791,792.,Dennis Rasmussen (12),6194,L
792,793.,Gil Meche (10),6191,R
793,794.,Matt Clement (9),6189,R
794,794.,Pete Vuckovich (11),6189,R
795,796.,Tommy Byrne (13),6181,L
796,797.,Ed Siever (7),6170,L
797,798.,Jim Merritt (11),6168,L
798,799.,Chris Capuano (12),6163,L
799,800.,Orval Overall (7),6160,R
800,801.,Cliff Melton (8),6159,L
801,802.,Rick Waits (12),6152,L
802,803.,Bob Weiland (12),6150,L
803,804.,Pat Rapp (10),6143,R
804,805.,Fred Hutchinson (11),6142,R
805,806.,Buck Ross (10),6141,R
806,807.,Aaron Cook (11),6121,R
807,808.,Joe Genewich (9),6114,R
808,809.,Bob Shirley (11),6106,L
809,810.,Spud Chandler (11),6102,R
810,811.,George Caster (12),6096,R
811,812.,"Wade Miley (10, 33)",6095,L
812,813.,Tom Murphy (12),6091,R
813,814.,"Derek Holland (12, 33)",6090,L
814,814.,C.J. Wilson (11),6090,L
815,816.,Pol Perritt (10),6079,R
816,817.,Cherokee Fisher (8),6077,R
817,818.,David Weathers (19),6071,R
818,819.,George Brunet (15),6069,L
819,820.,Hugh Daily (6),6060,R
820,821.,"Lance Lynn (9, 33)",6048,R
821,822.,"Homer Bailey (14, 34)",6039,R
822,823.,Carl Weilman (8),6029,L
823,824.,Nick Altrock (19),6014,L
824,825.,Buster Brown (9),6008,R
825,826.,Kent Tekulve (16),6001,R
826,827.,Jason Johnson (11),5996,R
827,828.,Bill Voiselle (9),5994,R
828,829.,Dave Righetti (16),5988,L
829,830.,Jake Weimer (7),5984,L
830,831.,Wiley Piatt (6),5978,L
831,832.,Doug Fister (10),5976,R
832,833.,Kip Wells (12),5970,R
833,834.,Bob Muncrief (12),5968,R
834,835.,Vern Ruhle (13),5964,R
835,836.,Joe Saunders (10),5962,L
836,837.,Ted Lewis (6),5956,R
837,838.,Ben Sanders (5),5947,R
838,839.,Luke Hamlin (9),5943,R
839,840.,Al Jackson (10),5942,L
840,841.,Jean Dubuc (9),5941,R
841,842.,Russ Ford (7),5940,R
842,843.,Allen Russell (11),5939,R
843,844.,Kaiser Wilhelm (9),5937,R
844,845.,Scott Feldman (13),5936,R
845,846.,Phil Collins (8),5934,R
846,847.,Doc McJames (6),5933,R
847,848.,Cal Eldred (14),5930,R
848,849.,Zach Duke (15),5915,L
849,850.,Bob Barr (5),5914,R
850,851.,Huck Betts (10),5906,R
851,851.,Erskine Mayer (8),5906,R
852,853.,Jim Devlin (5),5901,R
853,853.,Art Fromme (10),5901,R
854,855.,Roberto Hernandez (11),5900,R
855,855.,Ownie Carroll (9),5900,R
856,857.,Bill Carrick (5),5896,R
857,858.,Otto Hess (10),5880,L
858,859.,Rodrigo Lopez (11),5879,R
859,860.,Phil Regan (13),5863,R
860,860.,Kerry Wood (14),5863,R
861,862.,Larry Christenson (11),5861,R
862,862.,Mike Smithson (8),5861,R
863,864.,Al Brazle (10),5854,L
864,865.,"Stephen Strasburg (11, 31)",5844,R
865,866.,Mike Marshall (14),5842,R
866,867.,Steve Sparks (9),5832,R
867,868.,Oil Can Boyd (10),5831,R
868,869.,Hank Gastright (7),5830,R
869,870.,Cy Morgan (10),5818,R
870,871.,Joey Hamilton (10),5813,R
871,872.,Gene Packard (8),5811,L
872,873.,"Julio Teheran (10, 29)",5809,R
873,874.,James Baldwin (11),5804,R
874,875.,Mickey McDermott (12),5801,L
875,876.,Dixie Davis (10),5799,R
876,876.,Al Demaree (8),5799,R
877,878.,Sparky Lyle (16),5794,L
878,879.,Kent Mercker (18),5792,L
879,880.,Hank Aguirre (16),5790,L
880,881.,Ned Garvin (7),5789,R
881,882.,Ted Blankenship (9),5778,R
882,882.,"Ivan Nova (11, 33)",5778,R
883,884.,Don Gullett (9),5763,L
884,885.,Willie McGill (7),5756,L
885,886.,Teddy Higuera (9),5752,L
886,886.,Melido Perez (9),5752,R
887,888.,Grant Jackson (18),5749,L
888,889.,Jack Warhop (8),5740,R
889,890.,Tom Lovett (6),5725,R
890,891.,Ernie Broglio (8),5698,R
891,892.,Doc Ayers (9),5694,R
892,893.,Roy Face (16),5691,R
893,894.,"Dallas Keuchel (9, 32)",5681,L
894,895.,Dick Fowler (10),5680,R
895,896.,Odalis Perez (10),5678,L
896,897.,Len Barker (11),5674,R
897,898.,Clay Carroll (15),5673,R
898,899.,Tex Hughson (8),5663,R
899,900.,"Jhoulys Chacin (12, 32)",5658,R
900,901.,Smoky Joe Wood (14),5653,R
901,902.,Vean Gregg (8),5647,L
902,902.,Fred Heimach (13),5647,L
903,904.,Jeff Francis (11),5645,L
904,905.,Cory Lidle (9),5639,R
905,906.,Sterling Hitchcock (13),5635,L
906,907.,Ricky Bones (11),5634,R
907,908.,Sam Weaver (6),5622,R
908,909.,Bill Phillips (7),5619,R
909,910.,Erik Bedard (11),5618,L
910,911.,Paul Minner (10),5617,L
911,912.,Chief Hogsett (11),5614,L
912,913.,Clay Buchholz (13),5607,R
913,914.,Tom Seaton (6),5599,R
914,914.,Irv Young (6),5599,L
915,916.,Kyle Kendrick (10),5595,R
916,917.,Ewell Blackwell (10),5576,R
917,918.,Alex Ferguson (10),5573,R
918,919.,Willie Blair (12),5572,R
919,920.,Bruce Ruffin (12),5569,L
920,920.,Dan Schatzeder (15),5569,L
921,922.,Mark Mulder (9),5562,L
922,923.,Orlando Hernandez (9),5558,R
923,924.,Henry Gruber (5),5548,R
924,925.,Clayton Richard (11),5543,L
925,926.,Al Mays (6),5533,R
926,927.,Ed Figueroa (8),5523,R
927,928.,Roy Patterson (7),5519,R
928,929.,Brandon Webb (7),5515,R
929,930.,Glenn Abbott (11),5508,R
930,931.,Don McMahon (18),5503,R
931,932.,Bob Moose (10),5501,R
932,933.,Phil Hughes (12),5496,R
933,934.,Ed Wells (11),5491,L
934,935.,Glen Hobbie (8),5490,R
935,935.,Lew Krausse (12),5490,R
936,937.,Dustin Hermanson (12),5489,R
937,938.,Chris Young (13),5480,R
938,939.,Charlie Smith (10),5479,R
939,940.,John Thomson (10),5470,R
940,941.,Dave Mlicki (10),5468,R
941,942.,Clyde Shoun (14),5466,L
942,943.,Danny Cox (11),5464,R
943,944.,Frank Owen (8),5462,R
944,945.,Jesse Orosco (24),5460,L
945,946.,Joe Lake (6),5459,R
946,947.,Bill Hoffer (6),5453,R
947,948.,Hiroki Kuroda (7),5444,R
948,949.,Warren Hacker (12),5438,R
949,950.,Paul Quantrill (14),5428,R
950,951.,Jim McGlothlin (9),5424,R
951,952.,Lew Richie (8),5420,R
952,953.,LaMarr Hoyt (8),5419,R
953,954.,Jimmy Haynes (10),5417,R
954,955.,Ike Delock (11),5415,R
955,956.,Joe Benz (9),5411,R
956,957.,Ben McDonald (9),5408,R
957,958.,Patsy Flaherty (9),5404,L
958,959.,Art Ditmar (9),5401,R
959,959.,"Corey Kluber (10, 34)",5401,R
960,961.,Bill Stoneman (8),5395,R
961,962.,Rick Aguilera (16),5391,R
962,962.,Willard Nixon (9),5391,R
963,964.,Lee Smith+ (18),5388,R
964,965.,Al Fitzmorris (10),5385,R
965,966.,Kris Benson (9),5380,R
966,967.,Mark Redman (10),5371,L
967,968.,Mark Clark (10),5367,R
968,969.,Pete Schneider (6),5365,R
969,970.,Ed Daily (7),5364,R
