,Rank,"Player (yrs, age)",Triples,Bats
351,347.,Elmer Valo (20),73,L
352,353.,Ping Bodie (9),72,R
353,353.,George Burns (16),72,R
354,353.,Al Dark (14),72,R
355,353.,Bill Dickey+ (17),72,L
356,353.,Max Flack (12),72,L
357,353.,Tommy Griffith (13),72,L
358,353.,Rollie Hemsley (19),72,R
359,353.,Bug Holliday (10),72,R
360,353.,Charlie Keller (13),72,L
361,353.,Mickey Mantle+ (18),72,B
362,353.,Dave Martinez (16),72,L
363,353.,Eddie Mathews+ (17),72,L
364,353.,Jose Offerman (15),72,B
365,353.,Mel Ott+ (22),72,L
366,353.,Dave Philley (18),72,B
367,353.,Frank Robinson+ (21),72,R
368,353.,Denard Span (11),72,L
369,353.,John Titus (11),72,L
370,371.,Dick Bartell (18),71,R
371,371.,Roger Bresnahan+ (17),71,R
372,371.,Eddie Foster (13),71,R
373,371.,Jim Gilliam (14),71,B
374,371.,Hank Greenberg+ (13),71,R
375,371.,Dick McAuliffe (16),71,L
376,371.,Barney McCosky (11),71,L
377,371.,Roger Metzger (11),71,B
378,371.,Joe Mulvey (12),71,R
379,371.,Mickey Rivers (15),71,L
380,371.,Jack Smith (15),71,L
381,371.,Jake Stenzel (9),71,R
382,371.,Tillie Walker (13),71,R
383,371.,Devon White (17),71,B
384,371.,Ted Williams+ (19),71,L
385,371.,Maury Wills (14),71,B
386,371.,Mookie Wilson (12),71,B
387,388.,Johnny Evers+ (18),70,L
388,388.,Harry Lord (9),70,L
389,388.,John McGraw+ (17),70,L
390,388.,Luis Polonia (12),70,L
391,388.,Joe Quinn (17),70,R
392,388.,Shane Victorino (12),70,R
393,394.,Michael Bourn (11),69,L
394,394.,Tom Burns (13),69,R
395,394.,Del Ennis (14),69,R
396,394.,Lonny Frey (14),69,L
397,394.,Rafael Furcal (14),69,B
398,394.,"Brett Gardner (13, 36)",69,L
399,394.,Ozzie Guillen (16),69,L
400,394.,Bill Hinchman (10),69,R
401,394.,Ken Keltner (13),69,R
402,394.,Denny Lyons (13),69,R
403,394.,Matty McIntyre (10),69,L
404,394.,Ivy Olson (14),69,R
405,394.,Ozzie Smith+ (19),69,B
406,394.,Claudell Washington (17),69,L
407,394.,Buck Weaver (9),69,B
408,409.,Ken Boyer (15),68,R
409,409.,Charlie Comiskey+ (13),68,R
410,409.,Al Cowens (13),68,R
411,409.,Monte Cross (15),68,R
412,409.,Bones Ely (14),68,R
413,409.,Luis Gonzalez (19),68,L
414,409.,Charlie Hemphill (11),68,L
415,409.,Dick Johnston (8),68,R
416,409.,Doc Johnston (11),68,L
417,409.,Duffy Lewis (11),68,R
418,409.,Fred Mann (6),68,L
419,409.,Claude Ritchey (13),68,B
420,409.,Brooks Robinson+ (23),68,R
421,409.,Emmett Seery (9),68,L
422,409.,Joe Sewell+ (14),68,L
423,409.,Snuffy Stirnweiss (10),68,R
424,409.,George Stone (7),68,L
425,426.,Brady Anderson (15),67,L
426,426.,Jay Bell (18),67,R
427,426.,Charlie Bennett (15),67,R
428,426.,Ossie Bluege (18),67,R
429,426.,Steve Evans (8),67,L
430,426.,Mike Grady (11),67,R
431,426.,Dick Groat (14),67,R
432,426.,Chick Hafey+ (13),67,R
433,426.,Ray Powell (9),67,L
434,426.,Red Rolfe (10),67,L
435,426.,Ron Santo+ (15),67,R
436,426.,Joe Start (16),67,L
437,426.,Hack Wilson+ (12),67,R
438,439.,Gus Bell (15),66,L
439,439.,Bobby Bonds (14),66,R
440,439.,Lou Boudreau+ (15),66,R
441,439.,Fred Carroll (8),66,R
442,439.,Rickey Henderson+ (25),66,R
443,439.,Orlando Hudson (11),66,B
444,439.,Derek Jeter+ (20),66,R
445,439.,Harry Lumley (7),66,L
446,439.,Jack McCarthy (12),66,L
447,439.,Hal McRae (19),66,R
448,439.,Lloyd Moseby (12),66,L
449,439.,Jack O'Connor (21),66,R
450,439.,Amos Otis (17),66,R
451,439.,Heinie Peitz (16),66,R
452,439.,Curt Welch (10),66,R
453,454.,Ripper Collins (9),65,B
454,454.,Frankie Crosetti (17),65,R
455,454.,David DeJesus (13),65,L
456,454.,Danny Green (8),65,L
457,454.,Andy High (13),65,L
458,454.,Willie Randolph (18),65,R
459,454.,Heinie Reitz (7),65,L
460,454.,Craig Reynolds (15),65,L
461,454.,Burt Shotton (14),65,L
462,454.,Lou Whitaker (19),65,L
463,454.,Bill White (13),65,L
464,465.,Mickey Cochrane+ (13),64,L
465,465.,Jack Doyle (17),64,R
466,465.,Happy Felsch (6),64,R
467,465.,Ralph Garr (13),64,L
468,465.,Don Gutteridge (12),64,R
469,465.,Bucky Harris+ (12),64,R
470,465.,Joe Harris (10),64,R
471,465.,Gabby Hartnett+ (20),64,R
472,465.,Chuck Knoblauch (12),64,R
473,465.,George McQuinn (12),64,L
474,465.,Ski Melillo (12),64,R
475,465.,Rick Monday (19),64,L
476,465.,Pete Runnels (14),64,L
477,478.,Ellis Burks (18),63,R
478,478.,Stephen Drew (12),63,L
479,478.,Pete Hotaling (9),63,L
480,478.,Bill Keister (7),63,L
481,478.,Jorge Orta (16),63,L
482,478.,Harry Rice (10),63,L
483,478.,Gene Richards (8),63,L
484,478.,Alex Rios (12),63,R
485,478.,Ed Swartwood (9),63,L
486,478.,Zoilo Versalles (12),63,R
487,478.,Gene Woodling (17),63,L
488,489.,Don Blasingame (12),62,L
489,489.,Harlond Clift (12),62,R
490,489.,Birdie Cree (8),62,R
491,489.,Shawon Dunston (18),62,R
492,489.,Granny Hamner (17),62,R
493,489.,Frank Isbell (10),62,L
494,489.,Garry Maddox (15),62,R
495,489.,Bill Mazeroski+ (17),62,R
496,489.,Andy Pafko (17),62,R
497,489.,Phil Rizzuto+ (13),62,R
498,489.,Elmer Smith (10),62,L
499,489.,Larry Walker+ (17),62,L
500,489.,Whitey Witt (10),62,L
501,502.,Clyde Barnhart (9),61,R
502,502.,Wade Boggs+ (18),61,L
503,502.,Bobby Bonilla (16),61,B
504,502.,Johnny Kling (13),61,R
505,502.,Chet Lemon (16),61,R
506,502.,Dale Mitchell (11),61,L
507,502.,Neifi Perez (12),61,B
508,502.,Vic Saier (8),61,L
509,510.,Bobby Byrne (11),60,R
510,510.,Cesar Cedeno (17),60,R
511,510.,Jack Clements (17),60,L
512,510.,Keith Hernandez (17),60,L
513,510.,Solly Hofman (14),60,R
514,510.,Wally Moon (12),60,L
515,510.,Bill Nicholson (16),60,L
516,510.,Blondie Purcell (12),60,R
517,510.,Reggie Sanders (17),60,R
518,510.,George Scott (14),60,R
519,510.,Stan Spence (9),60,L
520,510.,Possum Whitted (11),60,R
521,510.,George Wright+ (12),60,R
522,510.,Michael Young (14),60,R
523,524.,Bobby Abreu (18),59,L
524,524.,Wally Berger (11),59,R
525,524.,Mike Cameron (17),59,R
526,524.,Luis Castillo (15),59,B
527,524.,Jim Delahanty (13),59,R
528,524.,Bibb Falk (12),59,L
529,524.,Spike Owen (13),59,B
530,524.,Mike Schmidt+ (18),59,R
531,524.,Ruben Sierra (20),59,B
532,524.,Joe Torre+ (18),59,R
533,524.,Bill Wambsganss (13),59,R
534,524.,Randy Winn (13),59,B
535,524.,Tony Womack (13),59,L
536,524.,Carl Yastrzemski+ (23),59,L
537,538.,Chone Figgins (12),58,B
538,538.,Elbie Fletcher (12),58,L
539,538.,Bubbles Hargrave (12),58,R
540,538.,Walter Holke (11),58,B
541,538.,Ducky Holmes (10),58,L
542,538.,Sadie Houck (8),58,R
543,538.,Red Kress (14),58,R
544,538.,Brian McRae (10),58,B
545,538.,Jim McTamany (7),58,R
546,538.,Bob O'Farrell (21),58,R
547,538.,Everett Scott (13),58,R
548,538.,Bob Skinner (12),58,L
549,538.,Lonnie Smith (17),58,R
550,538.,Milt Stock (14),58,R
551,538.,Phil Todt (8),58,L
552,538.,Hal Trosky (11),58,L
553,538.,Chase Utley (16),58,L
554,538.,Frank White (18),58,R
555,556.,Hank Bauer (14),57,R
556,556.,Eddie Burke (8),57,L
557,556.,Donn Clendenon (12),57,R
