,Rank,"Player (yrs, age)",SB %,Bats
752,753.,Andre Thornton (14),56.471,R
753,754.,Tony Gonzalez (12),56.429,L
754,755.,Vic Power (12),56.250,R
755,756.,Ted Sizemore (12),56.190,R
756,757.,Dave May (12),56.075,L
757,758.,Jeromy Burnitz (14),56.061,L
758,759.,Oscar Gamble (17),55.952,L
759,760.,Tony Pena (18),55.944,R
760,761.,Neifi Perez (12),55.882,B
761,762.,"Rougned Odor (7, 26)",55.856,L
762,763.,Jack Clark (18),55.797,R
763,764.,George Hendrick (18),55.660,R
764,765.,Bobby Grich (17),55.615,R
765,766.,Sid Bream (12),55.556,L
766,767.,Tim McCarver (21),55.455,L
767,768.,Ben Oglivie (16),55.414,L
768,769.,Brad Wilkerson (8),55.208,L
769,770.,Juan Uribe (16),55.172,R
770,771.,Junior Felix (6),55.056,B
771,772.,Harvey Kuenn (15),54.839,R
772,773.,George Scott (14),54.762,R
773,774.,Doug DeCinces (15),54.717,R
774,775.,Curt Flood (15),54.658,R
775,776.,Rick Miller (15),54.545,L
776,777.,John Roseboro (14),54.472,L
777,778.,Jose Vizcaino (18),54.412,B
778,779.,Manny Mota (20),54.348,R
779,780.,Bob Brenly (9),54.217,R
780,781.,Ron Hunt (12),54.167,R
781,782.,Don Kessinger (16),54.054,B
782,783.,David Justice (14),53.535,L
783,784.,Hubie Brooks (15),53.333,R
