,Rank,"Player (yrs, age)",AB per SO,Bats
479,479.,Rogers Hornsby+ (23),12.04,R
480,481.,Terry Turner (17),12.03,R
481,482.,Tommy Henrich (11),12.02,L
482,483.,Frank Isbell (10),11.99,L
483,484.,Harvey Hendrick (11),11.98,L
484,485.,Pete Fox (13),11.97,R
485,485.,Al Oliver (18),11.97,L
486,487.,Tommy Leach (19),11.95,R
487,487.,Jerry Lumpe (12),11.95,L
488,487.,Mickey Rivers (15),11.95,L
489,487.,Gus Suhr (11),11.95,L
490,491.,Marty McManus (15),11.94,R
491,492.,John Reilly (10),11.93,R
492,492.,Eddie Robinson (13),11.93,L
493,494.,Bob Boone (19),11.92,R
494,494.,Sherry Magee (16),11.92,R
495,496.,Bill Dahlen (21),11.91,R
496,496.,Roy Hartzell (11),11.91,L
497,498.,Jimmy Slagle (10),11.89,L
498,499.,Willie Randolph (18),11.88,R
499,499.,Steve Sax (14),11.88,R
500,499.,Al Simmons+ (20),11.88,R
501,502.,Ducky Holmes (10),11.86,L
502,502.,Ross Youngs+ (10),11.86,L
503,504.,Ken Keltner (13),11.84,R
504,505.,Bob Elliott (15),11.82,R
505,506.,Sherm Lollar (18),11.81,R
506,506.,Manny Mota (20),11.81,R
507,508.,Billy Jurges (17),11.80,R
508,508.,Fred Schulte (11),11.80,R
509,508.,Bob Swift (14),11.80,R
510,511.,Odell Hale (10),11.75,R
511,512.,Jack Burns (7),11.73,L
512,512.,Hal Trosky (11),11.73,L
513,514.,Mike Mowrey (13),11.72,R
514,515.,Charlie Gelbert (9),11.71,R
515,515.,Possum Whitted (11),11.71,R
516,515.,Gene Woodling (17),11.71,L
517,518.,Bobby Doerr+ (14),11.67,R
518,519.,Ben Chapman (15),11.65,R
519,519.,Sam Mertes (10),11.65,R
520,519.,Floyd Robinson (9),11.65,L
521,522.,Lenny Harris (18),11.64,L
522,523.,Abner Dalrymple (12),11.62,L
523,524.,Buddy Bell (18),11.59,R
524,525.,Bobby Avila (11),11.58,R
525,525.,Steve O'Neill (17),11.58,R
526,527.,Johnny Groth (15),11.57,R
527,528.,Jimmy Callahan (13),11.56,R
528,529.,Dots Miller (12),11.54,R
