,Rank,"Player (yrs, age)",Games Started,Throws
571,572.,Hal Carlson (14),236,R
572,572.,Matt Clement (9),236,R
573,572.,Ad Gumbert (9),236,R
574,572.,Ray Herbert (14),236,R
575,572.,"Lance Lynn (9, 33)",236,R
576,572.,Ron Reed (19),236,R
577,572.,Steve Trout (12),236,L
578,579.,Harry Gumbert (15),235,R
579,579.,Jose Lima (13),235,R
580,579.,Dennis Rasmussen (12),235,L
581,579.,Johnny Schmitz (13),235,L
582,579.,Eric Show (11),235,R
583,579.,Lary Sorensen (11),235,R
584,579.,Jack Taylor (9),235,R
585,579.,"Julio Teheran (10, 29)",235,R
586,579.,Clyde Wright (10),235,L
587,588.,Dave Burba (15),234,R
588,588.,Rick Helling (12),234,R
589,590.,Gary Bell (12),233,R
590,591.,Sal Maglie (10),232,R
591,591.,Mel Parnell (10),232,L
592,591.,"Chris Sale (10, 31)",232,L
593,594.,Steve Blass (10),231,R
594,594.,Sam Gray (10),231,R
595,594.,Noodles Hahn (8),231,L
596,594.,Ken Johnson (13),231,R
597,598.,Erik Bedard (11),230,L
598,598.,Dizzy Dean+ (12),230,R
599,598.,Vinegar Bend Mizell (9),230,L
600,598.,Shane Rawley (12),230,L
601,598.,Flint Rhem (12),230,R
602,603.,Dick Bosman (11),229,R
603,603.,Max Butcher (10),229,R
604,603.,Slim Harriss (9),229,R
605,603.,Jim Hearn (13),229,R
606,603.,Blue Moon Odom (13),229,R
607,603.,Omar Olivares (12),229,R
608,603.,Darren Oliver (20),229,L
609,603.,Don Robinson (15),229,R
610,603.,Joe Saunders (10),229,L
611,603.,Bob Smith (15),229,R
612,613.,Bruce Chen (17),227,L
613,613.,"Derek Holland (12, 33)",227,L
614,613.,Dave LaPoint (12),227,L
615,613.,"Ivan Nova (11, 33)",227,R
616,613.,Togie Pittinger (8),227,R
617,613.,Jim Tobin (9),227,R
618,619.,"Jhoulys Chacin (12, 32)",226,R
619,619.,Doug Fister (10),226,R
620,619.,Jim Scott (9),226,R
621,619.,Sherry Smith (14),226,L
622,623.,"Trevor Cahill (12, 32)",225,R
623,623.,Chris Capuano (12),225,L
624,623.,Larry Cheney (9),225,R
625,623.,Steve Gromek (17),225,R
626,623.,Bill Lee (14),225,L
627,623.,Hooks Wiltse (12),225,L
628,629.,Aaron Cook (11),224,R
629,629.,Bill Hallahan (12),224,L
630,629.,Jeremy Hellickson (10),224,R
631,629.,Tim Leary (13),224,R
632,629.,Larry McWilliams (13),224,L
633,629.,Marty Pattin (13),224,R
634,629.,Mario Soto (12),224,R
635,636.,Bob Shaw (11),223,R
636,637.,Egyptian Healy (8),222,R
637,637.,Sam Jones (12),222,R
638,637.,Billy Rhines (9),222,R
639,640.,Kevin Correia (13),221,R
640,640.,Jason Johnson (11),221,R
641,640.,Odalis Perez (10),221,L
642,640.,J.R. Richard (10),221,R
643,640.,Chris Young (13),221,R
