,Rank,"Player (yrs, age)",Base-Out Runs Added (RE24),Bats
470,471.,Steve Finley (19),131.016,L
471,472.,Andruw Jones (17),130.824,R
472,473.,Ed Bailey (14),130.321,L
473,474.,Joe Harris (10),130.284,R
474,475.,Ival Goodman (10),130.238,L
475,476.,"Dexter Fowler (13, 34)",129.417,B
476,477.,Nick Johnson (10),129.235,L
477,478.,Orlando Merced (13),128.800,B
478,479.,Josh Willingham (11),128.794,R
479,480.,"Jose Ramirez (8, 27)",128.591,B
480,481.,Eddie Robinson (13),128.375,L
481,482.,Eric Chavez (17),128.185,L
482,483.,Dave Kingman (16),128.015,R
483,484.,Merv Rettenmund (13),127.827,R
484,485.,Ron Hunt (12),127.329,R
485,486.,"Alex Bregman (5, 26)",127.170,R
486,487.,Jose Cardenal (18),127.076,R
487,488.,Bob Nieman (12),126.431,R
488,489.,Monte Irvin+ (8),126.355,R
489,490.,"Jason Heyward (11, 30)",126.347,L
490,491.,Brady Anderson (15),126.319,L
491,492.,Mike Stanley (15),126.258,R
492,493.,Michael Young (14),126.204,R
493,494.,Mack Jones (10),126.023,L
494,495.,Johnny Hopp (14),125.847,L
495,496.,Joe Judge (20),125.699,L
496,497.,Pete Runnels (14),125.605,L
497,498.,Dave Magadan (16),125.559,L
498,499.,Irish Meusel (11),124.740,R
499,500.,"Eric Hosmer (10, 30)",123.981,L
500,501.,Bruce Bochte (12),123.170,L
501,502.,Stan Spence (9),123.003,L
502,503.,Miguel Tejada (16),122.759,R
503,504.,Carlos May (10),122.570,L
504,505.,Carney Lansford (15),122.130,R
505,506.,Bobby Higginson (11),122.120,L
506,507.,Troy Tulowitzki (13),121.429,R
507,508.,Willie Randolph (18),121.372,R
508,509.,Shoeless Joe Jackson (13),120.602,L
509,509.,Gil McDougald (10),120.602,R
510,511.,"Manny Machado (9, 27)",120.042,R
511,512.,Aubrey Huff (13),119.737,L
512,513.,Ed Morgan (7),119.489,R
513,514.,"Starling Marte (9, 31)",119.329,R
514,515.,Lee Mazzilli (14),118.961,B
515,516.,Adam Lind (12),118.677,L
516,517.,"Marcell Ozuna (8, 29)",118.570,R
517,518.,Glenn Davis (10),118.352,R
518,519.,Matt Lawton (12),118.261,L
519,520.,"Cody Bellinger (4, 24)",118.233,L
520,521.,Dick Dietz (8),118.232,R
521,522.,Buddy Bell (18),118.064,R
522,523.,John Milner (12),117.593,L
523,524.,Jay Bell (18),116.944,R
524,525.,Carlos Quentin (9),116.752,R
525,526.,Cecil Travis (12),116.712,L
526,527.,Brad Hawpe (9),116.578,L
527,528.,Barney McCosky (11),116.434,L
528,529.,Manny Mota (20),115.979,R
529,530.,"Jose Altuve (10, 30)",115.699,R
530,531.,Hank Leiber (10),115.408,R
531,532.,Chet Lemon (16),115.371,R
532,533.,Al Smith (12),114.782,R
533,534.,Red Rolfe (10),114.715,L
534,535.,Davey Johnson (13),114.344,R
535,536.,"Neil Walker (12, 34)",114.096,B
536,537.,George Burns (15),113.827,R
537,538.,Bill Freehan (15),113.206,R
538,539.,Pat Kelly (15),112.612,L
539,540.,"Aaron Judge (5, 28)",112.397,R
540,541.,Rube Bressler (19),112.018,R
541,542.,Benny Kauff (8),111.231,L
542,543.,Bill Doran (12),111.148,B
543,544.,Jim Gilliam (14),110.490,B
544,545.,Wally Moses (17),110.466,L
545,546.,Billy Southworth+ (13),109.949,L
546,547.,Billy Butler (10),108.948,R
547,548.,Dwayne Murphy (12),108.829,L
548,549.,Pete Ward (9),108.583,L
549,550.,Wally Post (15),108.450,R
550,551.,Wes Parker (9),108.442,B
551,552.,Harry Rice (10),108.333,L
552,553.,Taffy Wright (9),108.305,L
553,554.,Joe Rudi (16),108.256,R
554,555.,Joe Vosmik (13),107.869,R
555,556.,"Michael Conforto (6, 27)",107.859,L
556,557.,Dick Stuart (10),107.837,R
557,558.,Del Bissonette (5),107.745,L
558,559.,Cesar Tovar (12),107.398,R
559,560.,Wally Judnich (7),107.397,L
560,561.,John Jaha (10),106.957,R
561,562.,Grady Hatton (12),106.623,L
562,563.,Roy Johnson (10),106.327,L
563,564.,Raul Mondesi (13),105.817,R
564,565.,Wally Pipp (15),105.670,L
565,566.,Tommy Harper (15),105.617,R
566,567.,Jeff Conine (17),105.558,R
567,568.,Willie McGee (18),105.513,B
568,569.,"Corey Seager (6, 26)",105.463,L
569,570.,Ray Grimes (6),105.243,R
570,571.,Mike Epstein (9),105.176,L
571,572.,Curt Flood (15),104.831,R
572,573.,Jerry Mumphrey (15),104.573,B
573,574.,Cleon Jones (13),104.351,R
574,575.,Gavvy Cravath (11),104.347,R
575,576.,George Harper (11),103.606,L
576,577.,Erubiel Durazo (7),103.490,L
577,578.,Willie Crawford (14),103.378,L
578,579.,Bob Bailey (17),102.782,R
579,580.,Phil Nevin (12),102.757,R
580,581.,Ray Blades (10),102.626,R
581,582.,Mike Napoli (12),102.625,R
582,583.,Phil Bradley (8),102.598,R
583,584.,Jimmy Rollins (17),102.092,B
584,585.,Gregg Jefferies (14),101.956,B
585,586.,Donn Clendenon (12),101.237,R
586,587.,Denard Span (11),100.572,L
587,588.,Jacoby Ellsbury (11),100.271,L
588,589.,Danny Taylor (9),100.172,R
589,590.,Ray Sanders (7),99.945,L
590,591.,Carlos Guillen (14),99.758,B
591,592.,Bobby Veach (14),99.734,L
592,593.,Mike Easler (14),99.597,L
593,594.,Jeff Blauser (13),99.525,R
594,595.,Ron Northey (12),99.179,L
595,596.,Tony Clark (15),99.008,B
596,597.,"Juan Soto (3, 21)",98.878,L
597,598.,Nate Colbert (10),98.588,R
598,599.,Nick Swisher (12),98.554,B
599,600.,"Eugenio Suarez (7, 28)",98.553,R
600,601.,Tony Conigliaro (8),98.277,R
601,602.,John Romano (10),98.028,R
602,603.,Shane Victorino (12),97.845,R
603,604.,Carl Reynolds (13),97.728,R
604,605.,Dale Alexander (5),96.813,R
605,606.,Willie Jones (15),96.465,R
606,607.,Michael Cuddyer (15),96.077,R
607,608.,Ken Keltner (13),96.063,R
608,609.,Denis Menke (13),95.825,R
609,610.,Mickey Rivers (15),95.065,L
610,611.,Irv Noren (11),94.242,L
611,612.,Randy Milligan (8),94.027,R
612,613.,Pinky Higgins (14),93.757,R
613,614.,Lee Maye (13),93.555,L
614,615.,Walker Cooper (18),92.999,R
615,616.,Bob Cerv (12),92.648,R
616,617.,Curt Blefary (8),92.623,L
617,618.,Dale Mitchell (11),92.512,L
618,619.,Elmer Smith (10),92.464,L
619,620.,Dan Uggla (10),92.298,R
620,621.,Shane Mack (9),91.682,R
