,Rank,"Player (yrs, age)",Win-Loss %,Throws
539,540.,Hideo Nomo (12),.5302,R
540,540.,Hank Wyse (8),.5302,R
541,542.,Hank Johnson (12),.5294,R
542,542.,Scott Kazmir (12),.5294,L
543,542.,Roy Patterson (7),.5294,R
544,542.,Ray Washburn (10),.5294,R
545,546.,Dave Dravecky (8),.5289,L
546,547.,Bob Purkey (13),.5287,R
547,548.,Dave LaRoche (14),.5285,L
548,548.,Derek Lowe (17),.5285,R
549,550.,Rick Reuschel (19),.5284,R
550,551.,Joe Boehling (7),.5283,L
551,551.,Ike Delock (11),.5283,R
552,553.,Jean Dubuc (9),.5280,R
553,554.,Joel Pineiro (12),.5279,R
554,555.,Gil Heredia (10),.5278,R
555,555.,Darryl Kile (12),.5278,R
556,557.,Ray Caldwell (12),.5276,R
557,558.,Bill Hutchison (9),.5275,R
558,559.,Whit Wyatt (16),.5274,R
559,560.,Doyle Alexander (19),.5272,R
560,560.,Andy Benes (14),.5272,R
561,562.,Ben McDonald (9),.5270,R
562,563.,Al Benton (14),.5269,R
563,563.,Phil Hughes (12),.5269,R
564,565.,Dean Chance (11),.5267,R
565,565.,Brooks Lawrence (7),.5267,R
566,567.,Terry Larkin (6),.5266,R
567,568.,Kevin Millwood (16),.5265,R
568,569.,Al Demaree (8),.5263,R
569,569.,Willie Hernandez (13),.5263,L
570,569.,Tim Wakefield (19),.5263,R
571,572.,Burt Hooton (15),.5261,R
572,572.,Dick Rudolph (13),.5261,R
573,572.,Earl Wilson (11),.5261,R
574,575.,Tom Brewer (8),.5260,R
575,575.,Kelvim Escobar (12),.5260,R
576,575.,George Hemming (8),.5260,R
577,575.,Nolan Ryan+ (27),.5260,R
578,579.,Rheal Cormier (16),.5259,L
579,580.,Wilson Alvarez (14),.5258,L
580,581.,Braden Looper (12),.5255,R
581,582.,"Jake Odorizzi (9, 30)",.5254,R
582,583.,Nick Altrock (19),.5253,L
583,584.,Esteban Loaiza (14),.5250,R
584,585.,Kent Mercker (18),.5248,L
585,586.,Frank Lary (12),.5246,R
586,587.,Vern Law (16),.5243,R
587,587.,Bob Shaw (11),.5243,R
588,589.,Don Aase (13),.5238,R
