,Rank,"Player (yrs, age)",Slugging %,Bats
290,291.,Jesse Barfield (12),.4661,R
291,291.,Sid Gordon (13),.4661,R
292,293.,"Marcell Ozuna (8, 29)",.4660,R
293,294.,Cecil Cooper (17),.4659,L
294,295.,Wes Covington (11),.4657,L
295,296.,Joe Gordon+ (11),.4656,R
296,296.,Richie Zisk (13),.4656,R
297,298.,Curtis Granderson (16),.4655,L
298,299.,Adam Lind (12),.4654,L
299,299.,Bill Nicholson (16),.4654,L
300,301.,Raul Ibanez (19),.4651,L
301,301.,Chase Utley (16),.4651,L
302,303.,John Olerud (17),.4650,L
303,303.,Josh Willingham (11),.4650,R
304,305.,Harold Baines+ (22),.4647,L
305,306.,John Jaha (10),.4645,R
306,307.,Joe Carter (16),.4643,R
307,307.,Irish Meusel (11),.4643,R
308,307.,Trot Nixon (12),.4643,L
309,310.,Dale Long (10),.4642,L
310,311.,Aubrey Huff (13),.4641,L
311,311.,Ron Santo+ (15),.4641,R
312,313.,Rico Carty (15),.4640,R
313,313.,Ivan Rodriguez+ (21),.4640,R
314,315.,Mike Lowell (13),.4638,R
315,316.,Walker Cooper (18),.4636,R
316,317.,Tony Perez+ (23),.4635,R
317,318.,Jerry Lynch (13),.4634,L
318,319.,Andre Ethier (12),.4633,L
319,319.,Kirk Gibson (17),.4633,L
320,321.,Mike Greenwell (12),.4631,L
321,322.,Mike Tiernan (13),.4627,L
322,323.,Hank Blalock (9),.4626,L
323,324.,Earle Combs+ (12),.4624,L
324,324.,Rondell White (15),.4624,R
325,326.,Carlos Pena (14),.4621,L
326,327.,Hank Leiber (10),.4620,R
327,327.,Carl Yastrzemski+ (23),.4620,L
328,329.,Bobby Thomson (15),.4619,R
329,330.,Ken Boyer (15),.4618,R
330,330.,Adam LaRoche (12),.4618,L
331,330.,Boog Powell (17),.4618,L
332,333.,Hideki Matsui (10),.4617,L
333,333.,Harry Stovey (14),.4617,R
334,335.,Carl Everett (14),.4616,B
335,336.,Buck Freeman (11),.4615,L
336,337.,Torii Hunter (19),.4614,R
337,338.,George Grantham (13),.4612,L
338,339.,Garret Anderson (17),.4611,L
339,340.,Michael Cuddyer (15),.4610,R
340,340.,Bobby Doerr+ (14),.4610,R
341,340.,Dave Nilsson (8),.4610,L
342,343.,Bing Miller (16),.4609,R
343,344.,Hunter Pence (14),.4606,R
344,345.,Vern Stephens (15),.4604,R
345,346.,Greg Colbrunn (13),.4601,R
346,346.,Jackie Jensen (11),.4601,R
347,348.,Ernie Lombardi+ (17),.4599,R
348,349.,Jim Lemon (12),.4598,R
349,350.,Don Demeter (11),.4595,R
350,350.,Minnie Minoso (17),.4595,R
351,352.,Cliff Johnson (15),.4593,R
352,352.,Lee May (18),.4593,R
353,352.,Bill Skowron (14),.4593,R
354,352.,Vernon Wells (15),.4593,R
355,356.,Bob Fothergill (12),.4592,R
356,356.,Mark Trumbo (10),.4592,R
357,358.,"Chris Davis (13, 34)",.4586,L
358,359.,Tony Gwynn+ (20),.4585,L
359,360.,"Jose Altuve (10, 30)",.4584,R
360,361.,Tip O'Neill (10),.4583,R
361,362.,Bill Lange (7),.4582,R
362,363.,Carl Furillo (15),.4581,R
363,363.,Corey Koskie (9),.4581,L
364,365.,Carl Reynolds (13),.4578,R
365,365.,Mike Stanley (15),.4578,R
366,367.,Ellis Valentine (10),.4577,R
367,368.,Paul Sorrento (11),.4572,L
368,369.,"Matt Carpenter (10, 34)",.4571,L
369,370.,Carlton Fisk+ (24),.4567,R
370,370.,Grady Sizemore (10),.4567,L
371,372.,Willie Horton (18),.4566,R
372,373.,Shane Mack (9),.4564,R
373,373.,"Buster Posey (11, 33)",.4564,R
374,375.,Buck Ewing+ (18),.4557,R
375,376.,Bruce Campbell (13),.4555,L
376,376.,Miguel Tejada (16),.4555,R
377,376.,Bill White (13),.4555,L
378,379.,George Harper (11),.4553,L
379,379.,Leon Wagner (12),.4553,L
380,381.,Jayson Werth (15),.4551,R
381,382.,Victor Martinez (16),.4550,B
382,382.,"Daniel Murphy (12, 35)",.4550,L
383,384.,Whitey Kurowski (9),.4549,R
384,385.,Bobby Higginson (11),.4548,L
385,385.,Brian Jordan (15),.4548,R
386,387.,Mike Easler (14),.4544,L
387,387.,Hal McRae (19),.4544,R
388,387.,John Valentin (11),.4544,R
389,390.,Oscar Gamble (17),.4542,L
390,391.,Frank Thomas (16),.4539,R
391,392.,"Xander Bogaerts (8, 27)",.4538,R
392,393.,Eric Karros (14),.4537,R
393,394.,Adam Jones (14),.4536,R
394,395.,Arky Vaughan+ (14),.4535,L
395,396.,"Brandon Belt (10, 32)",.4532,L
396,397.,Tony Batista (11),.4529,R
397,397.,Enos Slaughter+ (19),.4529,L
398,397.,Hank Thompson (9),.4529,L
399,400.,Kendrys Morales (13),.4528,B
400,401.,Tony Armas (14),.4526,R
401,402.,Jay Gibbons (9),.4525,L
402,402.,Mark Reynolds (13),.4525,R
403,404.,High Pockets Kelly+ (16),.4524,R
404,405.,Wally Judnich (7),.4523,L
405,405.,Chet Laabs (11),.4523,R
406,407.,Sam Crawford+ (19),.4522,L
407,407.,Kevin Millar (12),.4522,R
408,409.,Larry Hisle (14),.4521,R
409,409.,Joe Torre+ (18),.4521,R
410,411.,Stan Lopata (13),.4517,R
411,412.,Brian McCann (15),.4516,L
412,412.,Brandon Moss (11),.4516,L
413,412.,Ryne Sandberg+ (16),.4516,R
414,415.,Andre Thornton (14),.4515,R
415,416.,Ryan Ludwick (12),.4514,R
