,Rank,"Player (yrs, age)",Games Finished,Throws
688,678.,"Will Smith (8, 30)",105,L
689,678.,Chuck Stobbs (15),105,L
690,678.,Ken Tatum (6),105,R
691,678.,Ed Walsh+ (14),105,R
692,678.,"Tony Watson (10, 35)",105,L
693,678.,Ryan Webb (8),105,R
694,695.,Kirby Higbe (12),104,R
695,695.,Boone Logan (13),104,L
696,695.,Scott Schoeneweis (12),104,L
697,698.,Scott Bailes (9),103,L
698,698.,Marshall Bridges (7),103,L
699,698.,Luis DeLeon (7),103,R
700,698.,Fred Heimach (13),103,L
701,698.,Hipolito Pichardo (10),103,R
702,698.,Rosy Ryan (10),103,R
703,698.,Dave Sisler (7),103,R
704,698.,Ken Trinkle (5),103,R
