,Rank,"Player (yrs, age)",Earned Run Average,Throws
407,408.,Grant Jackson (18),3.464,L
408,409.,Mace Brown (10),3.465,R
409,410.,"Yu Darvish (8, 33)",3.466,R
410,411.,Dave Rozema (10),3.467,R
411,411.,Bob Welch (17),3.467,R
412,413.,Mario Soto (12),3.469,R
413,414.,Matt Kilroy (10),3.470,L
414,415.,Van Mungo (14),3.471,R
415,416.,Frank Mountain (7),3.472,R
416,417.,Roy Face (16),3.476,R
417,418.,Rip Sewell (13),3.478,R
418,419.,Billy Rhines (9),3.479,R
419,419.,Stan Williams (14),3.479,R
420,421.,Orel Hershiser (18),3.482,R
421,422.,Nig Cuppy (10),3.485,R
422,423.,Ken Holtzman (15),3.487,L
423,424.,Frank Lary (12),3.488,R
424,425.,Johnny Sain (11),3.489,R
425,426.,Tim Hudson (17),3.492,R
426,427.,Johnny Murphy (13),3.497,R
427,428.,Dutch Ruether (11),3.499,L
428,428.,Clyde Wright (10),3.499,L
429,430.,Hank Borowy (10),3.501,R
430,430.,Dennis Eckersley+ (24),3.501,R
431,430.,Bob Moose (10),3.501,R
432,433.,Jack Harshman (10),3.502,L
433,433.,Mel Parnell (10),3.502,L
434,435.,Hardie Henderson (6),3.503,R
435,436.,Mickey Haefner (8),3.504,L
436,437.,Dwight Gooden (16),3.506,R
437,437.,Sadie McMahon (9),3.506,R
438,437.,Howie Pollet (14),3.506,L
439,440.,Jimmy Key (15),3.507,L
440,441.,Wally Bunker (9),3.508,R
441,442.,Bullet Joe Bush (17),3.509,R
442,442.,Freddie Fitzsimmons (19),3.509,R
443,444.,Ed Figueroa (8),3.512,R
444,445.,Pedro Borbon (12),3.515,R
445,446.,Cliff Lee (13),3.518,L
446,446.,Allen Russell (11),3.518,R
447,448.,Joe Gibbon (13),3.521,L
448,448.,Hank Wyse (8),3.521,R
449,450.,Dave Boswell (8),3.523,R
450,450.,Bob Shaw (11),3.523,R
451,452.,Pat Zachry (10),3.524,R
452,453.,Dave LaRoche (14),3.525,L
453,454.,Burleigh Grimes+ (19),3.527,R
454,454.,Bryn Smith (13),3.527,R
455,456.,Ted Lewis (6),3.530,R
456,457.,Ray Washburn (10),3.533,R
457,458.,Red Barrett (11),3.534,R
458,459.,Pat Dobson (11),3.536,R
459,459.,Tom Glavine+ (22),3.536,L
460,461.,Mike Scott (13),3.537,R
461,462.,"Sonny Gray (8, 30)",3.538,R
462,463.,John Montefusco (13),3.540,R
463,464.,Eddie Rommel (13),3.541,R
464,465.,Bill Lee (14),3.542,R
465,465.,Early Wynn+ (23),3.542,R
466,467.,Bill Campbell (15),3.543,R
467,467.,Curt Simmons (20),3.543,L
468,469.,Bob Buhl (15),3.545,R
469,469.,Johnny Schmitz (13),3.545,L
470,469.,Fernando Valenzuela (17),3.545,L
471,472.,Elmer Jacobs (9),3.549,R
472,473.,Jack Harper (8),3.551,R
473,474.,Cy Blanton (9),3.553,R
474,474.,Skip Lockwood (13),3.553,R
475,476.,Thornton Lee (16),3.555,L
476,477.,Jim Barr (12),3.556,R
477,478.,Don Newcombe (10),3.559,R
478,479.,Lee Stange (10),3.560,R
479,480.,Dana Fillingim (8),3.562,R
