,Rank,"Player (yrs, age)",AB per HR,Bats
733,734.,Edgardo Alfonzo (12),36.88,R
734,735.,Rickey Henderson+ (25),36.91,R
735,736.,Jeff Blauser (13),37.07,R
736,737.,Joe Medwick+ (17),37.24,R
737,738.,Nick Etten (9),37.30,L
738,739.,Ken Henderson (16),37.32,B
739,740.,George Harper (11),37.34,L
740,741.,Craig Biggio+ (20),37.37,R
741,742.,"Freddy Galvis (9, 30)",37.53,B
742,743.,Bo Diaz (13),37.63,R
743,744.,Brook Jacoby (11),37.67,R
744,745.,Vada Pinson (18),37.68,L
745,746.,Carlos Guillen (14),37.69,B
746,746.,Delmon Young (10),37.69,R
747,748.,Frankie Hayes (14),37.76,R
748,749.,Juan Samuel (16),37.77,R
749,750.,Hal McRae (19),37.79,R
750,751.,Amos Otis (17),37.82,R
751,752.,Keith Moreland (12),37.86,R
752,753.,Jay Bell (18),37.94,R
753,754.,Toby Harrah (17),37.96,R
754,755.,Alex Rios (12),37.98,R
755,756.,Gary Matthews (12),37.99,B
756,757.,Gene Woodling (17),38.01,L
757,758.,Charlie Neal (8),38.11,R
758,759.,"Jonathan Lucroy (11, 34)",38.16,R
759,760.,Dave May (12),38.23,L
760,760.,Oddibe McDowell (7),38.23,L
761,762.,Jack Fournier (15),38.29,L
762,763.,Henry Blanco (16),38.35,R
763,764.,"Jed Lowrie (12, 36)",38.38,B
764,765.,"Daniel Murphy (12, 35)",38.46,L
765,766.,Darnell Coles (14),38.55,R
766,767.,Ray Durham (14),38.58,B
767,768.,Marcus Giles (7),38.61,R
768,769.,Roberto Kelly (14),38.69,R
769,770.,Merv Rettenmund (13),38.71,R
770,771.,Harry Simpson (8),38.75,L
771,772.,Robby Thompson (11),38.76,R
772,773.,A.J. Pierzynski (19),38.78,L
773,774.,Hoot Evers (12),38.79,R
774,775.,Johnny Lindell (12),38.82,R
775,775.,Orlando Merced (13),38.82,B
776,777.,"Jose Altuve (10, 30)",38.92,R
777,778.,Sean Casey (12),38.97,L
778,778.,John Kruk (10),38.97,L
779,780.,Gary Redus (13),39.03,R
780,781.,Eddie Bressoud (12),39.06,R
781,782.,Chase Headley (12),39.14,B
782,782.,"Kurt Suzuki (14, 36)",39.14,R
783,784.,David Bell (12),39.24,R
784,785.,Roberto Clemente+ (18),39.39,R
785,786.,Mike Lum (15),39.49,L
786,787.,Shawon Dunston (18),39.51,R
787,788.,"Dexter Fowler (13, 34)",39.53,B
788,789.,Gregg Zaun (16),39.65,B
789,790.,Brooks Robinson+ (23),39.75,R
790,791.,Chad Curtis (10),39.77,R
791,792.,Scott Hatteberg (14),39.87,L
792,793.,"Kevin Pillar (8, 31)",39.88,R
793,794.,Willie Crawford (14),39.94,L
794,795.,Jose Vidro (12),39.95,B
795,796.,Geoff Blum (14),40.06,B
796,797.,Hubie Brooks (15),40.09,R
797,797.,Barry Larkin+ (19),40.09,R
798,799.,Jimmy Rollins (17),40.23,B
799,800.,Sandy Alomar (20),40.45,R
800,800.,Bill Madlock (15),40.45,R
801,802.,Ed Charles (8),40.49,R
802,802.,High Pockets Kelly+ (16),40.49,R
803,804.,Carlos Baerga (14),40.59,B
804,805.,Ron Hansen (15),40.67,R
805,806.,Jim Lefebvre (8),40.73,B
806,807.,Stan Spence (9),40.75,L
807,808.,Ed Kirkpatrick (16),40.79,L
808,809.,Frank Malzone (12),40.81,R
809,810.,Mike Shannon (9),40.88,R
810,811.,Chris Chambliss (17),40.92,L
811,812.,Tito Francona (15),40.97,L
812,813.,Davey Lopes (16),40.99,R
813,814.,Kevin Bass (14),41.01,B
814,815.,John Bateman (10),41.11,R
815,816.,Moose Solters (9),41.22,R
816,817.,Johnny Moore (10),41.27,L
817,818.,Al Oliver (18),41.32,L
818,819.,Ival Goodman (10),41.35,L
819,820.,Claudell Washington (17),41.38,L
820,821.,Johnny Damon (18),41.43,L
821,822.,"Brett Gardner (13, 36)",41.47,L
822,823.,"Brandon Crawford (10, 33)",41.53,L
823,824.,Roy White (15),41.56,B
824,825.,Dioner Navarro (13),41.65,B
825,826.,Bill Terry+ (14),41.74,L
826,827.,Jose Lopez (9),41.75,R
827,827.,Gil McDougald (10),41.75,R
828,829.,Casey McGehee (8),41.76,R
829,830.,Eddie Joost (17),41.84,R
830,831.,Bob Skinner (12),41.92,L
831,832.,Johnny Grubb (16),41.96,L
832,833.,Randy Hundley (14),41.98,R
833,834.,Bob Elliott (15),42.01,R
834,835.,Willie Montanez (14),42.04,L
835,836.,"Michael Brantley (12, 33)",42.11,L
836,837.,John Flaherty (14),42.15,R
837,838.,Dick Williams+ (13),42.27,R
838,839.,Glenn Wilson (10),42.36,R
839,840.,Randy Velarde (16),42.44,R
840,841.,"Gordon Beckham (11, 33)",42.54,R
841,842.,Harry Heilmann+ (17),42.55,R
842,843.,Todd Walker (12),42.56,L
843,844.,George McQuinn (12),42.57,L
844,845.,Clint Barmes (13),42.75,R
845,846.,Jim Rivera (10),42.80,L
846,846.,Michael Young (14),42.80,R
847,848.,Shane Victorino (12),42.87,R
848,849.,Mark Teahen (7),42.88,L
849,850.,Rich Rollins (10),42.90,R
850,851.,Mickey Stanley (15),42.92,R
851,852.,Tommy Harper (15),42.94,R
852,852.,Tillie Walker (13),42.94,R
853,854.,Sam Mele (10),42.96,R
