,Rank,"Player (yrs, age)",Outs Made,Bats
881,882.,Hank Greenberg+ (13),3696,R
882,883.,Jack Graney (14),3695,L
883,884.,Steve O'Neill (17),3692,R
884,885.,Hal Trosky (11),3691,L
885,886.,Gerardo Parra (11),3685,L
886,887.,Jose Hernandez (15),3678,R
887,888.,Robby Thompson (11),3677,R
888,889.,Bucky Dent (12),3676,R
889,889.,Jacoby Ellsbury (11),3676,L
890,891.,Tommy Holmes (11),3675,L
891,892.,Chico Carrasquel (10),3668,R
892,893.,Roberto Kelly (14),3667,R
893,894.,Jerry Denny (13),3666,R
894,895.,Juan Encarnacion (11),3664,R
895,896.,Mariano Duncan (12),3663,R
896,897.,Jackie Robinson+ (10),3661,R
897,898.,Tommy McCarthy+ (13),3660,R
898,898.,Hank Sauer (15),3660,R
899,900.,Jay Johnstone (20),3658,L
900,901.,Chris Gomez (16),3655,R
901,902.,Dick Hoblitzell (11),3653,L
902,902.,Candy LaChance (12),3653,B
903,904.,Otto Knabe (11),3649,R
904,904.,David Segui (15),3649,B
905,904.,Chick Stahl (10),3649,L
906,907.,Jim Northrup (12),3648,L
907,908.,Gil McDougald (10),3646,R
908,909.,Bobby Avila (11),3645,R
909,909.,Johnny Edwards (14),3645,L
910,911.,Hector Lopez (12),3644,R
911,911.,Troy Tulowitzki (13),3644,R
912,913.,John Morrill (15),3637,R
913,914.,Roy Hartzell (11),3627,L
914,915.,Mike Napoli (12),3623,R
915,916.,Frankie Gustine (12),3622,R
916,917.,Donn Clendenon (12),3619,R
917,917.,Fred Luderus (12),3619,L
918,919.,Curt Walker (12),3618,L
919,920.,Jeff Heath (14),3617,L
920,921.,Tony Batista (11),3614,R
921,922.,Tom Burns (13),3613,R
922,922.,Rube Oldring (13),3613,R
923,924.,Jerry Morales (15),3612,R
924,925.,Andre Ethier (12),3611,L
925,926.,Jimmie Wilson (18),3609,R
926,927.,Topsy Hartsel (14),3608,L
927,928.,Jody Reed (11),3607,R
928,929.,Ken Henderson (16),3604,B
929,930.,Mike Kreevich (12),3601,R
930,931.,Woody English (12),3594,R
931,932.,Terry Moore (11),3587,R
932,933.,Glenn Hubbard (12),3584,R
933,934.,Dmitri Young (13),3583,B
934,935.,Kevin Millar (12),3582,R
935,936.,Carlos Guillen (14),3580,B
936,937.,"Michael Brantley (12, 33)",3579,L
937,938.,Hans Lobert (14),3578,R
938,939.,Walker Cooper (18),3577,R
939,940.,Ken Williams (14),3576,L
940,941.,Geoff Jenkins (11),3574,L
941,942.,Don Buford (10),3570,B
942,943.,Craig Reynolds (15),3566,L
943,944.,Jim Davenport (13),3563,R
944,945.,Ruppert Jones (12),3560,L
945,945.,Dwayne Murphy (12),3560,L
946,947.,Dan Gladden (11),3559,R
947,947.,Kelly Johnson (11),3559,L
948,947.,Mickey Morandini (11),3559,L
949,947.,Jerry Remy (10),3559,L
950,951.,Les Mann (16),3558,R
951,951.,Keith Moreland (12),3558,R
952,953.,"Paul Goldschmidt (10, 32)",3556,R
953,954.,Irish Meusel (11),3555,R
954,955.,Ray Boone (13),3554,R
955,955.,Joe Hornung (12),3554,R
956,957.,Dick Schofield (14),3545,R
957,958.,Alex Johnson (13),3543,R
958,959.,Derek Bell (11),3542,R
959,959.,Jeff Blauser (13),3542,R
960,959.,Chief Wilson (9),3542,L
961,962.,"Anthony Rizzo (10, 30)",3541,L
962,963.,Ron Hansen (15),3539,R
963,964.,Jerry Hairston (16),3534,R
964,964.,Gus Mancuso (17),3534,R
965,964.,Shane Victorino (12),3534,R
966,967.,Sandy Alomar (20),3532,R
967,967.,Casey Blake (13),3532,R
968,967.,"Neil Walker (12, 34)",3532,B
969,970.,Cub Stricker (11),3529,R
970,971.,Jacque Jones (10),3528,L
971,972.,Tony Clark (15),3526,B
972,973.,Cecil Travis (12),3520,L
973,973.,Chicken Wolf (11),3520,R
974,975.,Brook Jacoby (11),3515,R
975,976.,Rennie Stennett (11),3514,R
976,977.,Lyn Lary (12),3510,R
977,978.,Red Rolfe (10),3509,L
978,978.,Gene Tenace (15),3509,R
979,980.,Johnny Pesky (10),3505,L
980,980.,Ty Wigginton (12),3505,R
981,982.,Bill Robinson (16),3500,R
982,983.,Frankie Hayes (14),3496,R
983,984.,Adam Lind (12),3494,L
984,985.,Bob Bescher (11),3493,B
985,986.,Lee Lacy (16),3492,R
986,987.,Bob Aspromonte (13),3489,R
987,988.,Darryl Hamilton (13),3488,L
988,988.,Hughie Jennings+ (18),3488,R
989,990.,Bruce Campbell (13),3487,L
990,991.,"Pablo Sandoval (13, 33)",3485,B
991,992.,"Brandon Crawford (10, 33)",3484,L
992,992.,"Manny Machado (9, 27)",3484,R
993,994.,Jerry Grote (16),3481,R
994,995.,Dickie Thon (15),3478,R
995,996.,"Todd Frazier (10, 34)",3475,R
996,996.,Muddy Ruel (19),3475,R
997,998.,Gary Ward (12),3474,R
998,999.,Danny Cater (12),3470,R
