,Rank,"Player (yrs, age)",On-Base Plus Slugging,Bats
392,393.,Wally Post (15),.8077,R
393,394.,Buck Freeman (11),.8075,L
394,395.,Baby Doll Jacobson (11),.8074,R
395,396.,Buck Ewing+ (18),.8072,R
396,396.,Bill Madlock (15),.8072,R
397,398.,Smoky Burgess (18),.8071,L
398,399.,Greg Vaughn (15),.8070,R
399,400.,Joe Vosmik (13),.8069,R
400,401.,"Evan Longoria (13, 34)",.8068,R
401,402.,Harvey Hendrick (11),.8066,L
402,403.,Corey Hart (11),.8065,R
403,404.,Roy Johnson (10),.8064,L
404,405.,Bill White (13),.8063,L
405,406.,Grady Sizemore (10),.8062,L
406,406.,Stan Spence (9),.8062,L
407,408.,King Kelly+ (16),.8058,R
408,409.,Aubrey Huff (13),.8057,L
409,410.,Dick Stuart (10),.8056,R
410,410.,Robin Ventura (16),.8056,L
411,412.,Andre Dawson+ (21),.8055,R
412,413.,Hal McRae (19),.8054,R
413,414.,Mike Lowell (13),.8053,R
414,415.,Home Run Baker+ (13),.8052,L
415,415.,Matt Williams (17),.8052,R
416,417.,Michael Cuddyer (15),.8051,R
417,418.,Dale Long (10),.8050,L
418,419.,Cupid Childs (13),.8049,L
419,420.,"Xander Bogaerts (8, 27)",.8047,R
420,421.,"Dustin Pedroia (14, 36)",.8046,R
421,422.,Tony Perez+ (23),.8044,R
422,423.,Milton Bradley (12),.8043,B
423,424.,Jason Thompson (11),.8041,L
424,425.,Jose Vidro (12),.8040,B
425,426.,Joe Sewell+ (14),.8038,L
426,427.,Rick Monday (19),.8037,L
427,427.,Carl Reynolds (13),.8037,R
428,429.,Mike Easler (14),.8036,L
429,429.,Glenallen Hill (13),.8036,R
430,431.,George Van Haltren (17),.8034,L
431,432.,Ron Gant (16),.8033,R
432,433.,Tony Conigliaro (8),.8029,R
433,434.,Lu Blue (13),.8028,B
434,434.,Stan Lopata (13),.8028,R
435,436.,Curtis Granderson (16),.8027,L
436,437.,Cecil Cooper (17),.8025,L
437,437.,Wes Covington (11),.8025,L
438,437.,Earl Torgeson (15),.8025,L
439,440.,Willie Keeler+ (19),.8024,L
440,441.,Carl Everett (14),.8023,B
441,441.,Gary Matthews (16),.8023,R
442,443.,Dom DiMaggio (11),.8022,R
443,444.,Bobby Murcer (17),.8020,L
444,445.,Wally Joyner (16),.8019,L
445,446.,David Segui (15),.8017,B
446,447.,Henry Rodriguez (11),.8016,L
447,448.,Jesse Barfield (12),.8015,R
448,448.,Frank Catalanotto (14),.8015,L
449,448.,Jim Wynn (15),.8015,R
450,451.,Ron Northey (12),.8014,L
451,452.,"Marcell Ozuna (8, 29)",.8012,R
452,453.,Johnny Moore (10),.8010,L
453,454.,Solly Hemus (11),.8008,L
454,454.,Barney McCosky (11),.8008,L
455,456.,Frankie Frisch+ (19),.8007,B
456,456.,Pepper Martin (13),.8007,R
457,458.,Raul Ibanez (19),.8006,L
458,458.,Sam Rice+ (20),.8006,L
459,460.,Freddie Lindstrom+ (13),.8004,R
460,461.,Glenn Davis (10),.7996,R
461,462.,Sixto Lezcano (12),.7993,R
462,463.,Garrett Atkins (8),.7992,R
463,463.,Spud Davis (16),.7992,R
464,465.,Larry Hisle (14),.7990,R
465,465.,John Mayberry (15),.7990,L
466,465.,Andy Pafko (17),.7990,R
467,468.,Rondell White (15),.7988,R
468,469.,Mike Grady (11),.7987,R
469,469.,Taffy Wright (9),.7987,L
470,471.,Nick Swisher (12),.7986,B
471,472.,Ron Cey (17),.7985,R
472,472.,Greg Colbrunn (13),.7985,R
473,472.,Chet Laabs (11),.7985,R
474,475.,Don Mincher (13),.7982,L
475,476.,Carlos Guillen (14),.7981,B
476,477.,Pinky Higgins (14),.7980,R
477,477.,Tommy Holmes (11),.7980,L
478,479.,Luke Appling+ (20),.7978,R
479,479.,Adam LaRoche (12),.7978,L
480,481.,Joe Judge (20),.7977,L
481,481.,Paul Sorrento (11),.7977,L
482,483.,Ivan Rodriguez+ (21),.7976,R
483,484.,Carlton Fisk+ (24),.7974,R
484,485.,Vinny Castilla (16),.7972,R
485,485.,Bill Mueller (11),.7972,B
486,485.,Pie Traynor+ (17),.7972,R
487,488.,George Gore (14),.7971,L
488,488.,Chet Lemon (16),.7971,R
489,490.,Steve Kemp (11),.7970,L
490,490.,John Romano (10),.7970,R
491,490.,Preston Wilson (10),.7970,R
492,493.,Ival Goodman (10),.7969,L
493,494.,Hughie Jennings+ (18),.7968,R
494,495.,Jake Beckley+ (20),.7966,L
495,496.,Craig Biggio+ (20),.7964,R
496,497.,"Daniel Murphy (12, 35)",.7963,L
497,497.,Dean Palmer (14),.7963,R
498,499.,Gus Suhr (11),.7960,L
499,500.,"Nicholas Castellanos (8, 28)",.7959,R
500,500.,Jeff Cirillo (14),.7959,R
501,502.,Walker Cooper (18),.7958,R
502,503.,Brian Downing (20),.7956,R
503,503.,Sam West (16),.7956,L
504,505.,Buddy Myer (17),.7955,L
505,505.,Ryne Sandberg+ (16),.7955,R
506,507.,Al Oliver (18),.7954,L
507,507.,Leon Wagner (12),.7954,L
508,509.,Billy Butler (10),.7952,R
509,510.,Adam Lind (12),.7951,L
510,510.,Wally Westlake (10),.7951,R
511,512.,Lou Boudreau+ (15),.7950,R
512,512.,Mike Griffin (12),.7950,L
513,514.,Jeff Burroughs (16),.7946,R
514,515.,High Pockets Kelly+ (16),.7945,R
515,516.,Kenny Lofton (17),.7944,L
516,517.,Hal Morris (13),.7943,L
517,518.,"Michael Brantley (12, 33)",.7942,L
518,518.,Bobby Grich (17),.7942,R
519,518.,Hunter Pence (14),.7942,R
520,521.,Nick Etten (9),.7939,L
521,521.,Wally Schang (19),.7939,B
522,521.,Bobby Thomson (15),.7939,R
523,524.,Beau Bell (7),.7936,R
524,525.,Ken Caminiti (15),.7935,B
525,526.,"Yasmani Grandal (9, 31)",.7933,B
526,527.,Lenny Dykstra (12),.7931,L
527,528.,Eddie Robinson (13),.7930,L
528,528.,Rusty Staub (23),.7930,L
529,530.,Torii Hunter (19),.7928,R
530,531.,Odell Hale (10),.7927,R
531,532.,John Vander Wal (14),.7921,L
532,533.,Jerry Lynch (13),.7920,L
533,534.,Marty Cordova (9),.7919,R
534,535.,Darrell Evans (21),.7918,L
535,536.,Norm Siebern (12),.7917,L
536,536.,Andy Van Slyke (13),.7917,L
537,538.,Jim Lemon (12),.7916,R
538,538.,Bill Skowron (14),.7916,R
539,540.,Hank Blalock (9),.7914,L
540,540.,Lonnie Smith (17),.7914,R
541,542.,Miguel Tejada (16),.7913,R
542,543.,Rube Bressler (19),.7912,R
543,543.,"Starling Marte (9, 31)",.7912,R
544,545.,Stan Hack (16),.7909,L
545,546.,Phil Bradley (8),.7905,R
546,547.,Mack Jones (10),.7904,L
547,547.,Sherry Magee (16),.7904,R
548,549.,George Watkins (7),.7902,L
549,549.,Brad Wilkerson (8),.7902,L
550,551.,Shannon Stewart (14),.7901,R
551,552.,Ken Griffey (19),.7899,L
552,552.,Richie Hebner (18),.7899,L
553,552.,Seth Smith (11),.7899,L
554,555.,Cesar Cedeno (17),.7897,R
555,556.,Elmer Valo (20),.7896,L
556,557.,Jeff Conine (17),.7895,R
557,557.,Charley Jones (12),.7895,R
558,559.,Ray Boone (13),.7894,R
559,560.,Max Bishop (12),.7890,L
560,560.,Willie Horton (18),.7890,R
561,560.,Lou Whitaker (19),.7890,L
562,563.,Harry Rice (10),.7887,L
563,564.,Buddy Lewis (11),.7886,L
564,564.,Brian McCann (15),.7886,L
565,566.,Kip Selbach (13),.7884,R
566,567.,Brian Jordan (15),.7881,R
567,568.,Phil Cavarretta (22),.7879,L
568,569.,Ray Durham (14),.7878,B
569,570.,Frank Chance+ (17),.7876,R
570,570.,Cal Ripken Jr.+ (21),.7876,R
571,572.,Lew Fonseca (12),.7875,R
572,573.,Brady Anderson (15),.7873,L
573,573.,"DJ LeMahieu (10, 31)",.7873,R
574,575.,Mickey Vernon (20),.7872,L
575,576.,Marty McManus (15),.7871,R
576,577.,Jeffrey Hammonds (13),.7870,R
577,577.,Al Smith (12),.7870,R
578,577.,Michael Young (14),.7870,R
579,580.,Mike Hargrove (12),.7869,L
580,581.,Freddy Leach (10),.7868,L
581,582.,Ben Oglivie (16),.7864,L
582,582.,Merv Rettenmund (13),.7864,R
583,584.,Cecil Travis (12),.7861,L
584,585.,Howard Johnson (14),.7858,B
585,586.,Gary Roenicke (12),.7854,R
586,586.,Fernando Tatis (11),.7854,R
587,588.,George Bell (12),.7853,R
588,589.,Bernard Gilkey (12),.7852,R
589,589.,Matt Lawton (12),.7852,L
590,591.,Chick Stahl (10),.7850,L
591,592.,Ted Simmons+ (21),.7849,B
592,593.,Garret Anderson (17),.7848,L
593,593.,Johnny Damon (18),.7848,L
594,595.,Hank Bauer (14),.7847,R
595,596.,Pete Rose (24),.7844,B
596,597.,Ed Bailey (14),.7841,L
597,598.,Dale Mitchell (11),.7840,L
598,598.,J.T. Snow (16),.7840,L
599,600.,Darren Daulton (14),.7838,L
600,601.,Les Bell (9),.7835,R
601,601.,Chuck Knoblauch (12),.7835,R
602,601.,Jack Tobin (13),.7835,L
603,604.,Mike Lieberthal (14),.7832,R
604,605.,"Jay Bruce (13, 33)",.7831,L
605,605.,Moose Solters (9),.7831,R
606,607.,Todd Walker (12),.7830,L
607,608.,George Burns (16),.7829,R
608,608.,Braggo Roth (8),.7829,R
609,610.,Al Martin (11),.7828,L
610,610.,Dan Uggla (10),.7828,R
611,612.,Jose Cruz (12),.7825,B
612,612.,Ben Zobrist (14),.7825,B
613,614.,Lucas Duda (10),.7821,L
614,615.,Marcus Giles (7),.7820,R
615,615.,Johnny Hopp (14),.7820,L
616,617.,Edgardo Alfonzo (12),.7818,R
