,Rank,"Player (yrs, age)",Total Bases,Bats
145,146.,Scott Rolen (17),3628,R
146,147.,Johnny Mize+ (15),3621,L
147,148.,Julio Franco (23),3620,R
148,149.,Ruben Sierra (20),3616,B
149,150.,Jim Edmonds (17),3615,L
150,151.,Max Carey+ (20),3612,B
151,152.,Enos Slaughter+ (19),3599,L
152,153.,Jim O'Rourke+ (23),3591,R
153,154.,Matt Holliday (15),3576,R
154,155.,Don Baylor (19),3571,R
155,156.,Mark Grace (16),3565,L
156,157.,Will Clark (15),3562,L
157,157.,Willie Keeler+ (19),3562,L
158,159.,Joe Torre+ (18),3560,R
159,160.,Joe Cronin+ (20),3546,R
160,161.,Mark Teixeira (14),3533,B
161,162.,John Olerud (17),3530,L
162,163.,Luke Appling+ (20),3528,R
163,164.,Barry Larkin+ (19),3527,R
164,165.,"Ryan Braun (14, 36)",3525,R
165,166.,Chuck Klein+ (17),3522,L
166,167.,"Nick Markakis (15, 36)",3513,L
167,168.,Magglio Ordonez (15),3506,R
168,169.,Luis Aparicio+ (18),3504,R
169,170.,Shawn Green (15),3502,L
170,171.,Bob Johnson (13),3501,R
171,172.,Dan Brouthers+ (19),3498,L
172,173.,Gary Carter+ (19),3497,R
173,174.,Lee May (18),3495,R
174,175.,"Edwin Encarnacion (16, 37)",3494,R
175,176.,Michael Young (14),3491,R
176,177.,Lance Berkman (15),3485,B
177,178.,Lave Cross (21),3475,R
178,178.,Raul Ibanez (19),3475,L
179,180.,Adrian Gonzalez (15),3462,L
180,181.,Kirby Puckett+ (12),3453,R
181,182.,Bill Dahlen (21),3452,R
182,183.,Derrek Lee (15),3444,R
183,184.,Ken Boyer (15),3443,R
184,185.,Alan Trammell+ (20),3442,R
185,186.,Paul O'Neill (17),3441,L
186,187.,Reggie Smith (17),3439,B
187,188.,Kenny Lofton (17),3433,L
188,189.,Doc Cramer (20),3430,L
189,189.,Marquis Grissom (17),3430,R
190,191.,Cecil Cooper (17),3424,L
191,192.,Del Ennis (14),3423,R
192,192.,Rabbit Maranville+ (23),3423,R
193,194.,Gil Hodges (18),3422,R
194,195.,Matt Williams (17),3420,R
