,Rank,"Player (yrs, age)",Walks & Hits per IP,Throws
898,898.,Allie Reynolds (13),1.3858,R
899,900.,Bruce Chen (17),1.3864,L
900,900.,Al Leiter (19),1.3864,L
901,902.,Jon Garland (13),1.3866,R
902,903.,Bob Klinger (8),1.3867,R
903,903.,Bill Travers (9),1.3867,L
904,905.,Tomo Ohka (10),1.3869,R
905,906.,Jersey Bakley (6),1.3872,R
906,907.,Ray Kolp (12),1.3874,R
907,908.,Rick Sutcliffe (18),1.3875,R
908,909.,General Crowder (11),1.3876,R
909,910.,Howard Ehmke (15),1.3880,R
910,911.,Jose Lima (13),1.3881,R
911,912.,Ted Power (13),1.3888,R
912,913.,Mark Clark (10),1.3889,R
913,914.,Paul Minner (10),1.3897,L
914,914.,Lefty Stewart (10),1.3897,L
915,916.,Wilson Alvarez (14),1.3899,L
916,917.,Don Aase (13),1.3900,R
917,918.,Cal McLish (15),1.3903,R
918,919.,Art Houtteman (12),1.3904,R
919,920.,Pat Hentgen (14),1.3906,R
920,921.,Jerome Williams (11),1.3907,R
921,922.,John Thomson (10),1.3910,R
922,923.,Johnny Schmitz (13),1.3919,L
923,924.,Huck Betts (10),1.3920,R
924,925.,Storm Davis (13),1.3922,R
925,925.,Kyle Kendrick (10),1.3922,R
926,927.,Ice Box Chamberlain (10),1.3923,R
927,928.,Wiley Piatt (6),1.3925,L
928,929.,Johnny Vander Meer (13),1.3926,L
929,930.,Ubaldo Jimenez (12),1.3930,R
930,931.,Kris Benson (9),1.3935,R
931,932.,Sadie McMahon (9),1.3937,R
932,932.,Ray Moore (11),1.3937,R
933,934.,Johnny Humphries (9),1.3942,R
934,934.,Kirk Rueter (13),1.3942,L
935,936.,Pat Zachry (10),1.3947,R
936,937.,Ted Abernathy (14),1.3951,R
937,938.,Kirk McCaskill (12),1.3956,R
938,939.,Chan Ho Park (17),1.3959,R
939,940.,Bud Norris (10),1.3960,R
940,941.,Carlos Silva (9),1.3965,R
941,942.,Tom Underwood (11),1.3972,L
942,943.,Justin Masterson (8),1.3980,R
943,944.,Bob Smith (15),1.3987,R
944,945.,Matt Clement (9),1.3988,R
945,946.,Mark Davis (15),1.3991,L
946,947.,Guy Bush (17),1.3993,R
947,948.,Elmer Riddle (10),1.3998,R
948,949.,Don Larsen (14),1.3999,R
949,949.,Bob McClure (19),1.3999,L
950,949.,Mike Morgan (22),1.3999,R
951,952.,Vern Bickford (7),1.4001,R
952,953.,Bob Wickman (15),1.4004,R
953,954.,Cal Eldred (14),1.4006,R
954,955.,Stubby Overmire (10),1.4009,L
955,956.,Si Johnson (17),1.4014,R
956,957.,Russ Meyer (13),1.4020,R
957,958.,Neal Heaton (12),1.4021,L
958,959.,Kenny Rogers (20),1.4025,L
959,960.,Andy Hawkins (10),1.4028,R
960,960.,Tommy Thomas (12),1.4028,R
961,962.,Elmer Dessens (14),1.4033,R
962,963.,Hugh McQuillan (10),1.4036,R
963,964.,Al Mays (6),1.4037,R
964,965.,Dutch Ruether (11),1.4040,L
965,966.,Ray Burris (15),1.4045,R
966,966.,Kirby Higbe (12),1.4045,R
967,968.,Paul Maholm (10),1.4046,L
968,969.,George Uhle (17),1.4050,R
969,970.,Jake Westbrook (13),1.4053,R
970,971.,Jock Menefee (9),1.4055,R
971,972.,LaTroy Hawkins (21),1.4060,R
972,972.,Carl Morton (8),1.4060,R
973,972.,Jack Stivetts (11),1.4060,R
974,975.,Mike Bielecki (14),1.4070,R
975,975.,Mace Brown (10),1.4070,R
976,977.,Jim Slaton (16),1.4074,R
977,978.,Ryan Vogelsong (12),1.4076,R
978,979.,Glen Hobbie (8),1.4078,R
979,980.,Mel Harder (20),1.4079,R
980,981.,Pete Schourek (11),1.4082,L
981,982.,Esteban Loaiza (14),1.4083,R
982,983.,Jeremy Bonderman (9),1.4086,R
983,984.,Kevin Gross (15),1.4090,R
984,985.,Darryl Kile (12),1.4099,R
985,986.,Max Butcher (10),1.4102,R
986,987.,Omar Daal (11),1.4107,L
987,988.,Pete Smith (11),1.4108,R
988,989.,Mel Parnell (10),1.4110,L
989,990.,Roberto Hernandez (11),1.4113,R
990,990.,Sad Sam Jones (22),1.4113,R
991,992.,Steve Trachsel (16),1.4114,R
992,993.,Tim Leary (13),1.4115,R
993,994.,Danny Jackson (15),1.4117,L
994,995.,Richard Dotson (12),1.4128,R
995,996.,Todd Jones (16),1.4132,R
996,997.,Boom-Boom Beck (12),1.4138,R
997,998.,Ken Hill (14),1.4141,R
998,999.,Al Javery (7),1.4142,R
