,Rank,"Player (yrs, age)",Base-Out Wins Saved (REW),Throws
618,619.,Steve Busby (8),4.18,R
619,620.,"Justin Wilson (9, 32)",4.17,L
620,621.,Eric Plunk (14),4.14,R
621,622.,"Luis Avilan (9, 30)",4.12,L
622,622.,"Luis Castillo (4, 27)",4.12,R
623,622.,John Smiley (12),4.12,L
624,625.,Kerry Ligtenberg (8),4.10,R
625,626.,Bill Stafford (8),4.09,R
626,627.,Larry Andersen (17),4.08,R
627,627.,Ramiro Mendoza (10),4.08,R
628,629.,Andrew Bailey (8),4.07,R
629,629.,"Brad Keller (3, 24)",4.07,R
630,629.,David Riske (11),4.07,R
631,629.,Jose Rosado (5),4.07,L
632,629.,Ken Sanders (10),4.07,R
633,634.,Pedro Feliciano (9),4.06,L
634,634.,"Tommy Hunter (13, 33)",4.06,R
635,636.,Erik Hanson (11),4.03,R
636,637.,Stan Williams (14),4.02,R
637,638.,Mace Brown (10),4.01,R
638,638.,"Taylor Rogers (5, 29)",4.01,L
639,640.,Chad Billingsley (9),3.99,R
640,640.,Guy Bush (17),3.99,R
641,642.,Scott Baker (10),3.98,R
642,642.,Terry Leach (11),3.98,R
643,644.,Mickey McDermott (12),3.96,L
644,645.,Harry Gumbert (15),3.93,R
645,646.,Rick Honeycutt (21),3.91,L
646,647.,George Mogridge (15),3.90,L
647,648.,"Andrew Miller (15, 35)",3.88,L
648,648.,Satchel Paige+ (6),3.88,R
649,650.,"Jair Jurrjens (8, 34)",3.87,R
650,650.,"Jake Odorizzi (9, 30)",3.87,R
651,650.,Danny Salazar (6),3.87,R
652,653.,Cecilio Guante (9),3.86,R
653,653.,Jim Kaat (25),3.86,L
654,653.,"Jake McGee (11, 33)",3.86,L
655,656.,Hugh Casey (9),3.85,R
656,657.,Bill Lee (14),3.84,L
657,658.,Michael Wuertz (8),3.82,R
658,659.,C.J. Wilson (11),3.81,L
659,660.,Syl Johnson (19),3.80,R
660,660.,"Ryan Pressly (8, 31)",3.80,R
661,660.,Lefty Williams (7),3.80,L
662,663.,"AJ Ramos (8, 33)",3.79,R
663,663.,Turk Wendell (11),3.79,R
664,665.,"Mike Soroka (3, 22)",3.78,R
665,666.,"Jeurys Familia (9, 30)",3.77,R
666,667.,Don Aase (13),3.75,R
667,667.,Charles Nagy (14),3.75,R
668,669.,Cy Blanton (9),3.73,R
669,670.,"Danny Duffy (10, 31)",3.72,L
670,670.,Dave Tobik (8),3.72,R
671,672.,Frank Francisco (10),3.71,R
672,673.,Bobby Thigpen (9),3.70,R
673,674.,Burleigh Grimes+ (19),3.68,R
674,675.,Elden Auker (10),3.67,R
675,675.,"Zach Davies (6, 27)",3.67,R
676,675.,Geoff Zahn (13),3.67,L
677,678.,Bill Bevens (4),3.66,R
678,679.,"Brad Brach (10, 34)",3.65,R
679,679.,"Adam Ottavino (10, 34)",3.65,R
680,679.,Kazuhiro Sasaki (4),3.65,R
681,682.,Bob Ojeda (15),3.63,L
682,683.,Ernie Broglio (8),3.61,R
683,683.,Earl Hamilton (14),3.61,L
684,685.,Elmer Riddle (10),3.59,R
685,686.,Virgil Barnes (9),3.56,R
686,686.,Darold Knowles (16),3.56,L
687,688.,Gene Garber (19),3.55,R
688,688.,Roger McDowell (12),3.55,R
689,690.,Atley Donald (8),3.51,R
690,690.,"Neftali Feliz (9, 32)",3.51,R
691,692.,Johnny Cooney (20),3.50,L
692,692.,Ray Narleski (6),3.50,R
693,694.,Francisco Cordova (5),3.48,R
694,694.,Curt Leskanic (11),3.48,R
695,696.,Phil Douglas (9),3.47,R
696,696.,Turk Farrell (14),3.47,R
697,696.,"Kyle Freeland (4, 27)",3.47,L
698,696.,Bob Porterfield (12),3.47,R
699,696.,"Adam Warren (8, 32)",3.47,R
700,701.,"Jerry Blevins (13, 36)",3.46,L
701,701.,Josh Collmenter (7),3.46,R
702,701.,Marv Grissom (10),3.46,R
703,701.,Dick Hughes (3),3.46,R
704,701.,Steve Karsay (11),3.46,R
705,701.,Connie Marrero (5),3.46,R
706,707.,"Daniel Hudson (11, 33)",3.44,R
707,708.,T.J. Mathews (8),3.43,R
708,708.,Cliff Melton (8),3.43,L
709,710.,Pat Dobson (11),3.41,R
710,710.,Frank Miller (7),3.41,R
711,710.,Jim Rooker (13),3.41,L
712,713.,Daniel Bard (6),3.40,R
713,713.,"Keone Kela (6, 27)",3.40,R
714,715.,Bill Doak (16),3.39,R
715,715.,Alexi Ogando (8),3.39,R
716,715.,Rafael Perez (7),3.39,L
717,718.,Paul Shuey (11),3.38,R
718,719.,Noah Lowry (5),3.37,L
719,719.,Elias Sosa (12),3.37,R
720,721.,Nelson Briles (14),3.36,R
721,722.,"Dan Otero (8, 35)",3.35,R
722,723.,Moose Haas (12),3.33,R
723,723.,Danny MacFayden (17),3.33,R
724,725.,Steve Swetonic (6),3.32,R
725,726.,Jonny Venters (5),3.30,L
726,727.,Bob Moose (10),3.28,R
727,727.,Vito Tamulis (6),3.28,L
728,729.,John Fulgham (2),3.27,R
729,729.,Rich Garces (10),3.27,R
730,729.,"Michael Pineda (7, 31)",3.27,R
731,732.,Howard Ehmke (15),3.25,R
732,733.,Clem Labine (13),3.24,R
733,734.,Ralph Terry (12),3.23,R
734,735.,"Hector Neris (7, 31)",3.22,R
735,735.,"Jameson Taillon (4, 28)",3.22,R
736,737.,Scott Bankhead (10),3.21,R
737,737.,Bill Caudill (9),3.21,R
738,739.,Randy Choate (15),3.17,L
739,739.,Hod Eller (5),3.17,R
740,739.,"Zac Gallen (2, 24)",3.17,R
741,742.,Drew Storen (8),3.16,R
742,743.,Lloyd Brown (12),3.15,L
743,743.,Dickey Kerr (4),3.15,L
744,743.,Red Munger (10),3.15,R
745,746.,Rip Collins (11),3.14,R
746,746.,"Collin McHugh (8, 33)",3.14,R
747,746.,"Zach Plesac (2, 25)",3.14,R
748,749.,"Max Fried (4, 26)",3.13,L
749,750.,Andy McGaffigan (11),3.12,R
750,750.,Al Worthington (14),3.12,R
751,752.,Tom Morgan (12),3.11,R
752,752.,Peter Moylan (12),3.11,R
753,752.,"Nick Wittgren (5, 29)",3.11,R
754,755.,Grant Jackson (18),3.10,L
755,756.,Jose Guzman (8),3.09,R
756,756.,Aurelio Lopez (11),3.09,R
757,756.,Sam Zoldak (9),3.09,L
758,759.,Juan Berenguer (15),3.08,R
759,759.,Victor Cruz (5),3.08,R
760,761.,"Al Alburquerque (7, 34)",3.07,R
761,761.,"Brandon Morrow (12, 35)",3.07,R
762,761.,"Drew Pomeranz (10, 31)",3.07,L
763,764.,Darren Oliver (20),3.06,L
764,764.,"Brandon Woodruff (4, 27)",3.06,R
765,766.,Hideki Okajima (6),3.05,L
766,766.,Jon Rauch (11),3.05,R
767,768.,Bobby Bolin (13),3.04,R
768,769.,Erik Bedard (11),3.03,L
769,770.,"Seth Lugo (5, 30)",3.02,R
770,771.,Doc Medich (11),3.01,R
771,771.,Hank Wyse (8),3.01,R
772,773.,"Mike Fiers (10, 35)",3.00,R
