,Rank,Player (age that year),Errors Committed as P,Year,Throws
483,473.,Steve Busby (24),8,1974,R
484,473.,Jimmy Callahan (28),8,1902,R
485,473.,Bill Carrick (27),8,1901,R
486,473.,Kid Carsey (20),8,1893,R
487,473.,Larry Cheney (29),8,1915,R
488,473.,Larry Christenson (23),8,1977,R
489,473.,Eddie Cicotte (24),8,1908,R
490,473.,Dad Clarke (31),8,1896,R
491,473.,Dad Clarkson (26),8,1893,R
492,473.,Tony Cloninger (25),8,1966,R
493,473.,Andy Coakley (22),8,1905,R
494,473.,Wilbur Cooper (22),8,1914,L
495,473.,Larry Corcoran (22),8,1882,R
496,473.,Frank Corridon (24),8,1905,R
497,473.,Roger Craig (33),8,1963,R
498,473.,Jack Cronin (30),8,1904,R
499,473.,Ray Culp (27),8,1969,R
