,Rank,Player (age that year),On-Base%,Year,Bats
414,414.,Wade Boggs+ (36),.4329,1994,L
415,414.,Pat Collins (29),.4329,1926,R
416,417.,Rod Carew+ (28),.4328,1974,L
417,417.,Arky Vaughan+ (26),.4328,1938,L
418,419.,Tom Daly (28),.4325,1894,B
419,420.,Miller Huggins+ (35),.4324,1913,B
420,420.,Larry Rosenthal (30),.4324,1940,L
421,420.,Tris Speaker+ (36),.4324,1924,L
422,423.,Jackie Robinson+ (30),.4323,1949,R
423,424.,George Gore (36),.4322,1890,L
424,424.,Harry Heilmann+ (27),.4322,1922,R
425,424.,Tris Speaker+ (29),.4322,1917,L
426,427.,Jeff Burroughs (27),.4321,1978,R
427,428.,Willie Keeler+ (24),.4320,1896,L
428,428.,Stan Musial+ (31),.4320,1952,L
429,430.,Rickey Henderson+ (34),.4319,1993,R
430,431.,Ralph Kiner+ (26),.4318,1949,R
431,432.,Dan Brouthers+ (34),.4317,1892,L
432,432.,Brian Giles (29),.4317,2000,L
433,432.,Todd Helton (27),.4317,2001,L
434,435.,Toby Harrah (36),.4316,1985,R
435,435.,Mike Trout (21),.4316,2013,R
436,437.,Barry Bonds (30),.4315,1995,L
437,438.,Johnny Evers+ (30),.4314,1912,L
438,439.,Max Bishop (26),.4313,1926,L
439,439.,Charlie Gehringer+ (33),.4313,1936,L
440,439.,Mike Piazza+ (28),.4313,1997,R
441,442.,Arky Vaughan+ (22),.4312,1934,L
442,443.,Bob Johnson (38),.4311,1944,R
443,444.,Rogers Hornsby+ (24),.4310,1920,R
444,445.,Lou Gehrig+ (26),.4309,1929,L
445,446.,Mickey Mantle+ (23),.4308,1955,B
446,447.,Will Clark (30),.4307,1994,L
447,447.,Marcell Ozuna (29),.4307,2020,R
448,449.,Ty Cobb+ (22),.4306,1909,L
449,449.,Albert Pujols (26),.4306,2006,R
450,451.,Miguel Cabrera (23),.4305,2006,R
451,452.,Tommy McCarthy+ (26),.4304,1890,R
