,Rank,Player (age that year),Bases on Balls,Year,Throws
331,323.,Sam McDowell (24),123,1967,L
332,323.,Earl Moseley (26),123,1914,R
333,323.,Frank Mountain (23),123,1883,R
334,323.,Allie Reynolds (30),123,1947,R
335,323.,Allie Reynolds (32),123,1949,R
336,323.,Jim Shaw (23),123,1917,R
337,323.,Bill Stoneman (25),123,1969,R
338,339.,Wilson Alvarez (23),122,1993,L
339,339.,Steve Arlin (26),122,1972,R
340,339.,Mark Baldwin (23),122,1887,R
341,339.,Rex Barney (23),122,1948,R
342,339.,Bo Belinsky (25),122,1962,L
343,339.,Vern Bickford (29),122,1950,R
344,339.,Bill Carrick (25),122,1899,R
345,339.,Wes Ferrell (29),122,1937,R
346,339.,Lefty Gomez+ (27),122,1936,L
347,339.,Pink Hawley (22),122,1895,R
348,339.,Kirby Higbe (32),122,1947,R
349,339.,Byron Houck (21),122,1913,R
350,339.,Vern Kennedy (33),122,1940,R
351,339.,Sam Leever (27),122,1899,R
352,339.,Mickey Lolich (28),122,1969,L
353,339.,Kid Madden (19),122,1887,L
354,339.,Walt Masterson (28),122,1948,R
355,339.,Doc McJames (24),122,1899,R
356,339.,Roy Moore (22),122,1921,L
357,339.,Mickey Welch+ (30),122,1890,R
358,359.,Charlie Buffinton (28),121,1889,R
359,359.,Bob Buhl (28),121,1957,R
360,359.,Nig Cuppy (22),121,1892,R
361,359.,Duke Esper (23),121,1891,L
362,359.,Chuck Estrada (24),121,1962,R
363,359.,Kirby Higbe (25),121,1940,R
364,359.,George Kahler (22),121,1912,R
365,359.,Al Mattern (27),121,1910,L
366,359.,Andy Messersmith (25),121,1971,R
367,359.,Earl Moore (32),121,1910,R
368,359.,Tony Mullane (28),121,1887,R
369,359.,Kid Nichols+ (22),121,1892,R
370,359.,Kid Nichols+ (24),121,1894,R
371,359.,Don Schwall (26),121,1962,R
372,359.,Mike Sullivan (27),121,1894,R
373,359.,Mike Torrez (32),121,1979,R
374,375.,Charlie Buffinton (30),120,1891,R
375,375.,Pete Dowling (21),120,1898,L
376,375.,Al Downing (23),120,1964,L
377,375.,Hal Gregg (23),120,1945,R
378,375.,Mark Gubicza (24),120,1987,R
379,375.,Randy Johnson+ (26),120,1990,L
380,375.,Clay Kirby (22),120,1970,R
381,375.,Hugh Mulcahy (24),120,1938,R
382,375.,Phil Niekro+ (46),120,1985,R
383,375.,Henry Porter (28),120,1886,R
384,375.,Henry Porter (30),120,1888,R
385,375.,Henry Schmidt (30),120,1903,R
386,375.,Tom Seaton (27),120,1915,R
387,375.,Elam Vangilder (27),120,1923,R
388,375.,Gus Weyhing (27),120,1894,R
389,390.,Joe Boehling (24),119,1915,L
390,390.,Tommy Bridges (25),119,1932,R
391,390.,John Clarkson+ (26),119,1888,R
392,390.,Tony Cloninger (24),119,1965,R
393,390.,Jack Coombs (28),119,1911,R
394,390.,Howard Ehmke (29),119,1923,R
395,390.,Wes Ferrell (28),119,1936,R
396,390.,Bob Gibson+ (25),119,1961,R
397,390.,Henry Gruber (27),119,1891,R
398,390.,Bill Hill (23),119,1898,L
399,390.,Charlie Hough (42),119,1990,R
400,390.,Jay Hughes (25),119,1899,R
401,390.,Frank Killen (25),119,1896,L
402,390.,Al Leiter (30),119,1996,L
403,390.,Johnny Lush (20),119,1906,L
404,390.,Lee Meadows (21),119,1916,R
405,390.,Jimmy Ring (30),119,1925,R
406,390.,Ed Stein (23),119,1893,R
407,390.,Jeff Tesreau (25),119,1913,R
408,390.,Bob Veale (29),119,1965,L
409,390.,Bob Veale (31),119,1967,L
410,390.,Brandon Webb (25),119,2004,R
411,390.,Jack Wilson (25),119,1937,R
412,390.,Early Wynn+ (39),119,1959,R
413,414.,Rube Benton (22),118,1912,L
414,414.,Rube Bressler (20),118,1915,L
415,414.,Lou Brissie (25),118,1949,L
416,414.,Kid Carsey (22),118,1895,R
417,414.,Pete Dowling (24),118,1901,L
418,414.,Bob Feller+ (21),118,1940,R
419,414.,Rip Hagerman (28),118,1914,R
420,414.,Egyptian Healy (19),118,1886,R
421,414.,Guy Hecker (30),118,1886,R
422,414.,Bill James (22),118,1914,R
423,414.,Al Javery (26),118,1944,R
424,414.,Mark Langston (23),118,1984,L
425,414.,Phil Marchildon (27),118,1941,R
426,414.,Ed Morris (23),118,1886,L
427,414.,Van Mungo (25),118,1936,R
428,414.,Bobo Newsom (33),118,1941,R
429,414.,Kid Nichols+ (23),118,1893,R
430,414.,Red Ruffing+ (24),118,1929,R
431,414.,Babe Ruth+ (21),118,1916,L
432,414.,Carl Scheib (22),118,1949,R
433,414.,George Uhle (27),118,1926,R
434,414.,Bill Voiselle (25),118,1944,R
435,414.,Earl Whitehill (32),118,1931,L
436,414.,Floyd Youmans (22),118,1986,R
437,414.,Cy Young+ (25),118,1892,R
438,439.,Stan Bahnsen (28),117,1973,R
439,439.,Lou Brissie (26),117,1950,L
440,439.,Bullet Joe Bush (30),117,1923,R
441,439.,George Caster (30),117,1938,R
442,439.,Ice Box Chamberlain (19),117,1887,R
443,439.,Dad Clarkson (27),117,1894,R
444,439.,Hardie Henderson (22),117,1885,R
445,439.,Hardie Henderson (23),117,1886,R
446,439.,Bill Hutchison (29),117,1889,R
447,439.,Bill Kennedy (27),117,1948,L
448,439.,Willard Mains (22),117,1891,R
449,439.,Willie McGill (20),117,1894,L
450,439.,Win Mercer (22),117,1896,R
451,439.,Cy Morgan (31),117,1910,R
452,439.,Hank O'Day+ (28),117,1888,R
453,439.,Emmett O'Neill (27),117,1945,R
454,439.,Jerry Reuss (24),117,1973,L
455,439.,Charlie Root (28),117,1927,R
456,439.,Pete Schneider (21),117,1917,R
457,439.,Pete Schneider (22),117,1918,R
458,439.,Park Swartzel (23),117,1889,R
459,439.,Herm Wehmeier (22),117,1949,R
460,439.,Vic Willis+ (23),117,1899,R
461,462.,Wade Blasingame (21),116,1965,L
462,462.,Buster Brown (29),116,1911,R
463,462.,Tony Cloninger (25),116,1966,R
464,462.,Larry Corcoran (24),116,1884,R
465,462.,Bob Feller+ (29),116,1948,R
466,462.,Bob Harmon (24),116,1912,R
