,Rank,Player (age that year),Intentional Bases on Balls,Year,Bats
399,339.,Rafael Palmeiro (37),16,2002,L
400,339.,Dave Parker (35),16,1986,L
401,339.,Gerardo Parra (24),16,2011,L
402,339.,Albert Pujols (32),16,2012,R
403,339.,Manny Ramirez (34),16,2006,R
404,339.,Nap Reyes (25),16,1945,R
405,339.,Eddie Robinson (31),16,1952,L
406,339.,Frank Robinson+ (26),16,1962,R
407,339.,Hank Sauer (37),16,1954,R
408,339.,Ruben Sierra (27),16,1993,B
409,339.,Ted Simmons+ (25),16,1975,B
410,339.,Ken Singleton (32),16,1979,B
411,339.,Alfonso Soriano (30),16,2006,R
412,339.,Willie Stargell+ (26),16,1966,L
413,339.,Ichiro Suzuki (32),16,2006,L
414,339.,Robin Ventura (25),16,1993,L
415,339.,Hal Wagner (30),16,1946,L
416,339.,Dixie Walker (33),16,1944,L
417,339.,Bob Watson (32),16,1978,R
418,339.,Billy Williams+ (28),16,1966,L
419,339.,David Wright (29),16,2012,R
420,339.,Carl Yastrzemski+ (34),16,1974,L
421,339.,Christian Yelich (27),16,2019,L
422,339.,Dmitri Young (29),16,2003,B
423,424.,Hank Aaron+ (23),15,1957,R
424,424.,Hank Aaron+ (32),15,1966,R
425,424.,Hank Aaron+ (36),15,1970,R
426,424.,Hank Aaron+ (38),15,1972,R
427,424.,Bobby Abreu (31),15,2005,L
428,424.,José Abreu (27),15,2014,R
429,424.,Dick Allen (26),15,1968,R
430,424.,Javier Baez (24),15,2017,R
431,424.,Albert Belle (29),15,1996,R
432,424.,Albert Belle (32),15,1999,R
433,424.,Carlos Beltran (35),15,2012,B
434,424.,Johnny Bench+ (26),15,1974,R
435,424.,Barry Bonds (25),15,1990,L
436,424.,Ryan Braun (28),15,2012,R
437,424.,George Brett+ (35),15,1988,L
438,424.,Lou Brock+ (30),15,1969,L
439,424.,Lou Brock+ (34),15,1973,L
440,424.,Hubie Brooks (27),15,1984,R
441,424.,Don Buford (34),15,1971,B
442,424.,Billy Butler (25),15,2011,R
443,424.,Miguel Cabrera (32),15,2015,R
444,424.,Miguel Cabrera (33),15,2016,R
445,424.,Roy Campanella+ (28),15,1950,R
446,424.,Roy Campanella+ (34),15,1956,R
447,424.,Rod Carew+ (31),15,1977,L
448,424.,Andujar Cedeno (24),15,1994,R
449,424.,Ron Cey (27),15,1975,R
450,424.,Chris Chambliss (34),15,1983,L
451,424.,Cecil Cooper (30),15,1980,L
452,424.,Scott Cooper (25),15,1993,L
453,424.,Del Crandall (26),15,1956,R
454,424.,Warren Cromartie (28),15,1982,L
455,424.,Clay Dalrymple (26),15,1963,L
456,424.,Alvin Davis (28),15,1989,L
457,424.,Chili Davis (27),15,1987,B
458,424.,Jody Davis (27),15,1984,R
459,424.,Joe DiMaggio+ (32),15,1947,R
460,424.,Shawon Dunston (26),15,1989,R
461,424.,Cecil Fielder (29),15,1993,R
462,424.,Ray Fosse (25),15,1972,R
463,424.,Bill Freehan (25),15,1967,R
464,424.,Carl Furillo (34),15,1956,R
465,424.,Phil Garner (30),15,1979,R
466,424.,Paul Goldschmidt (28),15,2016,R
467,424.,Paul Goldschmidt (29),15,2017,R
468,424.,Joe Gordon+ (28),15,1943,R
469,424.,Mike Greenwell (25),15,1989,L
470,424.,Ken Griffey Jr.+ (22),15,1992,L
471,424.,Tom Haller (28),15,1965,L
472,424.,Bryce Harper (22),15,2015,L
473,424.,Todd Helton (27),15,2001,L
474,424.,Todd Helton (32),15,2006,L
475,424.,George Hendrick (33),15,1983,R
476,424.,Keith Hernandez (31),15,1985,L
477,424.,Gil Hodges (27),15,1951,R
478,424.,Art Howe (35),15,1982,R
479,424.,Kent Hrbek (24),15,1984,L
480,424.,Todd Hundley (27),15,1996,B
481,424.,Raul Ibanez (34),15,2006,L
482,424.,Reggie Jackson+ (34),15,1980,L
483,424.,Nick Johnson (27),15,2006,L
484,424.,Terry Kennedy (27),15,1983,L
485,424.,Harmon Killebrew+ (31),15,1967,R
486,424.,Ted Kluszewski (27),15,1952,L
487,424.,Ted Kluszewski (29),15,1954,L
488,424.,Ed Kranepool (22),15,1967,L
489,424.,John Kruk (26),15,1987,L
490,424.,Ray Lamanno (28),15,1948,R
491,424.,Hobie Landrith (26),15,1956,L
492,424.,Greg Luzinski (27),15,1978,R
493,424.,Bill Madlock (25),15,1976,R
494,424.,Tino Martinez (27),15,1995,L
495,424.,Willie Mays+ (26),15,1957,R
496,424.,Willie Mays+ (30),15,1961,R
497,424.,Bill Mazeroski+ (23),15,1960,R
498,424.,Tim McCarver (22),15,1964,L
499,424.,George McQuinn (37),15,1947,L
500,424.,Don Mincher (27),15,1965,L
501,424.,Kevin Mitchell (32),15,1994,R
502,424.,Bobby Murcer (32),15,1978,L
503,424.,Dale Murphy (29),15,1985,R
504,424.,Stan Musial+ (28),15,1949,L
505,424.,Stan Musial+ (35),15,1956,L
506,424.,Bill Nicholson (28),15,1943,L
507,424.,Paul O'Neill (29),15,1992,L
508,424.,Tony Oliva (36),15,1975,L
509,424.,Al Oliver (35),15,1982,L
510,424.,Joe Oliver (24),15,1990,R
511,424.,David Ortiz (40),15,2016,L
512,424.,Rafael Palmeiro (39),15,2004,L
513,424.,Freddie Patek (24),15,1969,R
514,424.,Tony Perez+ (30),15,1972,R
515,424.,Tony Perez+ (35),15,1977,R
516,424.,Biff Pocoroba (23),15,1977,B
517,424.,Albert Pujols (31),15,2011,R
518,424.,Jose Ramirez (25),15,2018,B
519,424.,Manny Ramirez (32),15,2004,R
520,424.,Cal Ripken Jr.+ (30),15,1991,R
521,424.,Anthony Rizzo (28),15,2018,L
522,424.,Pete Rose (27),15,1968,B
523,424.,Pete Rose (30),15,1971,B
524,424.,Manny Sanguillen (31),15,1975,R
525,424.,Mike Schmidt+ (37),15,1987,R
526,424.,Andy Seminick (27),15,1948,R
527,424.,Ted Simmons+ (23),15,1973,B
528,424.,Sammy Sosa (33),15,2002,R
529,424.,Stan Spence (29),15,1944,L
530,424.,Willie Stargell+ (32),15,1972,L
531,424.,Darryl Strawberry (22),15,1984,L
532,424.,Darryl Strawberry (28),15,1990,L
533,424.,Ichiro Suzuki (35),15,2009,L
534,424.,Dansby Swanson (24),15,2018,R
535,424.,Mike Trout (25),15,2017,R
536,424.,Robin Ventura (26),15,1994,L
537,424.,Robin Ventura (30),15,1998,L
538,424.,Joey Votto (27),15,2011,L
539,424.,Joey Votto (31),15,2015,L
540,424.,Joey Votto (32),15,2016,L
541,424.,Wes Westrum (28),15,1951,R
542,424.,Billy Williams+ (31),15,1969,L
543,424.,Billy Williams+ (38),15,1976,L
