,Rank,Player (age that year),Championship WPA (cWPA),Year,Bats
467,467.,Fred Lynn (26),8.03,1978,L
468,469.,Tim Raines+ (23),8.02,1983,B
469,470.,Gil Hodges (33),8.00,1957,R
470,471.,Johnny Pesky (29),7.99,1948,L
471,472.,Bill Madlock (28),7.98,1979,R
472,472.,George Selkirk (28),7.98,1936,L
473,474.,Gavvy Cravath (35),7.97,1916,R
474,474.,Happy Felsch (28),7.97,1920,R
475,474.,Eddie Mayo (35),7.97,1945,L
476,474.,Joe Medwick+ (29),7.97,1941,R
477,478.,Johnny Lindell (27),7.96,1944,R
478,478.,Joe Medwick+ (27),7.96,1939,R
479,480.,Jim Lefebvre (24),7.95,1966,B
480,481.,Larry Doby+ (24),7.94,1948,L
481,482.,Jim Bottomley+ (29),7.93,1929,L
482,482.,Bob Meusel (25),7.93,1922,R
483,484.,Arky Vaughan+ (31),7.92,1943,L
484,485.,Frank Robinson+ (30),7.90,1966,R
485,485.,Duke Snider+ (34),7.90,1961,L
486,487.,Wade Boggs+ (28),7.88,1986,L
487,487.,Vada Pinson (28),7.88,1967,L
488,487.,Ted Williams+ (36),7.88,1955,L
489,490.,Wally Post (31),7.86,1961,R
490,491.,Stan Hack (35),7.85,1945,L
491,492.,Ival Goodman (29),7.84,1938,L
492,492.,Reggie Smith (27),7.84,1972,B
493,494.,George Binks (30),7.83,1945,L
494,494.,Roy Campanella+ (30),7.83,1952,R
495,494.,Jack Clark (31),7.83,1987,R
496,494.,Art Howe (33),7.83,1980,R
497,498.,Bill Dickey+ (29),7.82,1936,L
498,499.,Merv Rettenmund (28),7.81,1971,R
499,500.,Jimmie Foxx+ (30),7.80,1938,R
