,Rank,Player (age that year),Range Factor/Game as SS,Year,Throws
306,307.,Rogers Hornsby+ (21),5.521,1917,R
307,308.,Tommy Corcoran (22),5.519,1891,R
308,308.,Art Fletcher (29),5.519,1914,R
309,308.,Freddie Patek (28),5.519,1973,R
310,311.,Eddie Joost (33),5.514,1949,R
311,312.,Travis Jackson+ (27),5.510,1931,R
312,312.,Joe Sewell+ (26),5.510,1925,R
313,314.,Charlie Gelbert (25),5.508,1931,R
314,315.,George Davis+ (34),5.503,1905,R
315,316.,Leo Cardenas (30),5.500,1969,R
316,316.,Ray Chapman (24),5.500,1915,R
317,316.,Woody English (22),5.500,1928,R
318,316.,Billy Jurges (26),5.500,1934,R
319,316.,Freddy Parent (33),5.500,1909,R
320,321.,Herman Long (33),5.497,1899,R
321,321.,Billy Rogell (28),5.497,1933,R
322,321.,Joe Sewell+ (28),5.497,1927,R
323,324.,Leo Durocher+ (24),5.495,1930,R
324,325.,Tommy Corcoran (35),5.493,1904,R
325,326.,Charlie Babb (31),5.490,1904,R
326,326.,Johnny Butler (33),5.490,1926,R
327,328.,Billy Clingman (31),5.489,1901,R
328,329.,Tommy Corcoran (37),5.487,1906,R
329,329.,Joe Cronin+ (23),5.487,1930,R
330,329.,Charlie Hollocher (26),5.487,1922,R
331,332.,Jack Glasscock (31),5.485,1889,R
332,333.,Kid Elberfeld (29),5.484,1904,R
333,333.,Arky Vaughan+ (28),5.484,1940,R
334,335.,Freddy Parent (30),5.483,1906,R
335,336.,Art Fletcher (37),5.481,1922,R
336,337.,Tommy Corcoran (34),5.478,1903,R
337,338.,Leo Norris (28),5.471,1936,R
338,338.,John Ward+ (31),5.471,1891,R
339,340.,Bill Knickerbocker (23),5.469,1935,R
340,341.,Everett Scott (25),5.468,1918,R
341,341.,Terry Turner (29),5.468,1910,R
342,343.,Eddie Miller (29),5.466,1946,R
343,344.,Frankie Crosetti (27),5.465,1938,R
344,345.,Wid Conroy (25),5.463,1902,R
345,346.,Ed Abbaticchio (27),5.455,1904,R
346,346.,Everett Scott (29),5.455,1922,R
347,348.,Woody English (21),5.452,1927,R
348,348.,Eddie Miller (28),5.452,1945,R
349,348.,Roger Peckinpaugh (23),5.452,1914,R
350,351.,Ike Davis (30),5.451,1925,R
351,351.,John Knight (25),5.451,1911,R
352,351.,Gordon Slade (26),5.451,1931,R
353,354.,Johnny Logan (31),5.450,1957,R
354,354.,Honus Wagner+ (34),5.450,1908,R
355,356.,Mickey Doolin (27),5.448,1907,R
356,357.,Garry Templeton (23),5.447,1979,R
357,358.,Joe Sewell+ (23),5.446,1922,R
358,358.,Billy Shindle (29),5.446,1890,R
359,360.,Donie Bush (27),5.445,1915,R
360,361.,Eddie Joost (31),5.444,1947,R
361,362.,Al Bridwell (23),5.443,1907,R
362,362.,Skeeter Newsome (26),5.443,1937,R
363,364.,Freddie Patek (27),5.441,1972,R
364,365.,Eddie Joost (32),5.437,1948,R
365,365.,Cass Michaels (19),5.437,1945,R
366,365.,Billy Myers (28),5.437,1939,R
367,368.,Woody English (24),5.436,1930,R
368,369.,Monte Cross (25),5.435,1895,R
369,369.,Honus Wagner+ (36),5.435,1910,R
370,371.,Ivy Olson (34),5.432,1920,R
371,371.,Cal Ripken Jr.+ (23),5.432,1984,R
372,371.,Joe Tinker+ (33),5.432,1914,R
373,374.,Neal Ball (27),5.431,1908,R
374,375.,Arky Vaughan+ (22),5.430,1934,R
375,376.,Skeeter Newsome (32),5.429,1943,R
376,377.,Joe Cronin+ (26),5.428,1933,R
377,377.,Ernie Johnson (27),5.428,1915,R
378,379.,Frank Shugart (24),5.427,1891,R
379,380.,Bill Almon (24),5.426,1977,R
380,380.,Dick Bartell (31),5.426,1939,R
381,380.,Germany Smith (31),5.426,1890,R
382,380.,Phil Tomney (27),5.426,1890,R
383,384.,Bobby Wallace+ (35),5.425,1909,R
384,385.,Ed McKean (29),5.424,1893,R
385,385.,Pee Wee Reese+ (22),5.424,1941,R
386,385.,Pee Wee Reese+ (23),5.424,1942,R
387,388.,Hal Rhyne (32),5.422,1931,R
388,389.,John Sullivan (22),5.421,1943,R
389,390.,Barry McCormick (26),5.420,1901,R
390,390.,Lee Tannehill (22),5.420,1903,R
391,392.,George Scharein (22),5.418,1937,R
392,393.,Mickey Doolin (25),5.415,1905,R
393,393.,Bill Hallman (22),5.415,1889,R
394,395.,Billy Jurges (28),5.414,1936,R
395,396.,Billy Jurges (25),5.413,1933,R
396,396.,Gene Michael (34),5.413,1972,R
397,396.,Germany Smith (32),5.413,1891,R
398,399.,Dave Bancroft+ (24),5.412,1915,R
399,400.,Blondy Ryan (27),5.411,1933,R
400,401.,Jack Glasscock (34),5.410,1892,R
401,401.,Freddy Parent (27),5.410,1903,R
402,403.,Ozzie Guillen (24),5.404,1988,R
403,404.,Ozzie Smith+ (29),5.403,1984,R
404,405.,Johnny Logan (26),5.402,1952,R
405,406.,Dave Concepcion (28),5.400,1976,R
406,407.,Heinie Sand (27),5.399,1925,R
407,407.,Billy Urbanski (30),5.399,1933,R
408,409.,Gene Alley (29),5.398,1970,R
409,409.,Doc Farrell (25),5.398,1927,R
410,409.,Billy Myers (25),5.398,1936,R
411,412.,Jackie Tavener (30),5.397,1928,R
412,413.,Eddie Kasko (28),5.393,1959,R
413,414.,Bones Ely (33),5.391,1896,R
414,414.,Roy Smalley (26),5.391,1979,R
415,416.,Roger Peckinpaugh (31),5.388,1922,R
416,416.,Billy Rogell (33),5.388,1938,R
417,416.,John Ward+ (27),5.388,1887,R
418,419.,Jimmy Esmond (25),5.387,1915,R
419,420.,Bobby Bragan (22),5.386,1940,R
420,420.,Mickey Doolin (34),5.386,1914,R
421,420.,Germany Smith (28),5.386,1887,R
422,423.,George McBride (28),5.385,1909,R
423,424.,Ivan de Jesus (24),5.383,1977,R
424,425.,Ed Holly (27),5.381,1907,R
425,425.,Lyn Lary (30),5.381,1936,R
426,427.,Bill Gleason (23),5.380,1882,R
427,428.,Glenn Wright (25),5.379,1926,R
428,429.,Tommy Thevenow (25),5.378,1929,R
429,430.,John Peters (31),5.377,1881,R
430,430.,Honus Wagner+ (33),5.377,1907,R
431,432.,Doc Lavan (27),5.376,1918,R
432,432.,Joe Tinker+ (32),5.376,1913,R
433,434.,Charles Moran (24),5.375,1903,R
434,435.,George McBride (32),5.373,1913,R
435,436.,Bud Harrelson (30),5.371,1974,R
436,437.,Lou Boudreau+ (25),5.368,1943,R
437,437.,Bill Cissell (25),5.368,1929,R
438,437.,Ivy Olson (31),5.368,1917,R
439,440.,Larry Kopf (30),5.366,1921,R
440,441.,Otto Krueger (25),5.365,1902,R
441,441.,Joe Sewell+ (29),5.365,1928,R
442,441.,Skeeter Webb (35),5.365,1945,R
443,444.,George Davis+ (36),5.364,1907,R
444,444.,Arnold Hauser (23),5.364,1912,R
445,444.,Everett Scott (27),5.364,1920,R
446,447.,Germany Smith (38),5.357,1897,R
447,448.,Jimmy Brown (29),5.356,1939,R
448,448.,Doc Farrell (26),5.356,1928,R
449,450.,Joe Tinker+ (26),5.354,1907,R
450,451.,Rick Burleson (29),5.348,1980,R
451,451.,Joe Cronin+ (25),5.348,1932,R
452,453.,Sam Wise (29),5.347,1887,R
453,454.,Roger Peckinpaugh (24),5.345,1915,R
454,455.,Monte Cross (36),5.343,1906,R
455,456.,Johnny Pesky (23),5.340,1942,R
456,456.,Phil Rizzuto+ (24),5.340,1942,R
457,458.,George Magoon (26),5.339,1901,R
458,458.,Rabbit Maranville+ (36),5.339,1928,R
459,460.,Dick Groat (28),5.338,1959,R
460,461.,Joe Dugan (22),5.337,1919,R
461,462.,Eddie Joost (35),5.336,1951,R
462,462.,Buddy Myer (23),5.336,1927,R
463,464.,Mickey Doolin (28),5.333,1908,R
464,464.,Leo Durocher+ (23),5.333,1929,R
465,464.,Dud Lee (25),5.333,1925,R
466,467.,Luke Appling+ (30),5.331,1937,R
467,467.,Eddie Miller (24),5.331,1941,R
468,467.,Roger Peckinpaugh (32),5.331,1923,R
469,470.,Dick Groat (21),5.330,1952,R
470,470.,Ed Holly (34),5.330,1914,R
471,472.,Topper Rigney (29),5.329,1926,R
472,473.,Jimmy Cooney (32),5.327,1927,R
473,473.,Lou Say (28),5.327,1882,R
474,475.,Ollie Beard (27),5.326,1889,R
475,475.,Rick Burleson (27),5.326,1978,R
476,475.,Roy Smalley (23),5.326,1949,R
477,478.,Cecil Travis (24),5.322,1938,R
478,479.,Ivan de Jesus (28),5.321,1981,R
479,480.,Frank O'Rourke (29),5.320,1921,R
480,481.,Skeeter Newsome (33),5.318,1944,R
481,481.,General Stafford (29),5.318,1897,R
482,483.,Simon Nicholls (24),5.317,1907,R
483,484.,Charlie Hollocher (22),5.313,1918,R
484,485.,Wally Gerber (29),5.310,1921,R
485,485.,Marty Marion (29),5.310,1946,R
486,485.,Troy Tulowitzki (22),5.310,2007,R
487,488.,Luke Appling+ (27),5.309,1934,R
488,488.,Gordon Slade (29),5.309,1934,R
489,488.,Rabbit Warstler (33),5.309,1937,R
490,488.,Bobby Wheelock (26),5.309,1891,R
491,492.,Frankie Crosetti (26),5.306,1937,R
492,493.,Joe Cronin+ (31),5.303,1938,R
493,493.,Mickey Doolin (31),5.303,1911,R
494,495.,Billy Rogell (32),5.301,1937,R
495,496.,Larry Bowa (25),5.299,1971,R
496,496.,Mickey Haslin (25),5.299,1935,R
497,498.,Howie Shanks (28),5.298,1919,R
498,498.,Honus Wagner+ (30),5.298,1904,R
499,500.,Buddy Kerr (24),5.297,1947,R
