,Rank,Player (age that year),Putouts as P,Year,Throws
267,241.,Al Nipper (25),28,1984,R
268,241.,Al Nipper (27),28,1986,R
269,241.,Camilo Pascual (28),28,1962,R
270,241.,Casey Patten (31),28,1905,L
271,241.,Dan Petry (23),28,1982,R
272,241.,Chuck Rainey (28),28,1983,R
273,241.,Rick Reuschel (25),28,1974,R
274,241.,Rick Reuschel (31),28,1980,R
275,241.,Steve Rogers (33),28,1983,R
276,241.,Amos Rusie+ (23),28,1894,R
277,241.,Dupee Shaw (25),28,1884,L
278,241.,Ben Sheets (23),28,2002,R
279,241.,Lary Sorensen (22),28,1978,R
280,241.,Dave Stieb (25),28,1983,R
281,241.,John Thornton (22),28,1891,R
282,241.,Bill Wegman (28),28,1991,R
283,241.,Doc White (29),28,1908,L
284,241.,Stump Weidman (22),28,1883,R
285,286.,Elden Auker (29),27,1940,R
286,286.,Jose Bautista (23),27,1988,R
287,286.,Steve Blass (29),27,1971,R
288,286.,Tommy Bond (22),27,1878,R
289,286.,Lew Burdette (31),27,1958,R
290,286.,Lew Burdette (34),27,1961,R
291,286.,Jimmy Callahan (24),27,1898,R
292,286.,Tom Candiotti (28),27,1986,R
293,286.,Russ Christopher (26),27,1944,R
294,286.,John Clarkson+ (29),27,1891,R
295,286.,Matt Clement (25),27,2000,R
296,286.,Roger Clemens (23),27,1986,R
297,286.,Jim Colborn (31),27,1977,R
298,286.,Ed Crane (30),27,1892,R
299,286.,Bert Cunningham (31),27,1897,R
300,286.,Ed Daily (27),27,1890,R
301,286.,Doug Drabek (28),27,1991,R
302,286.,Dennis Eckersley+ (29),27,1984,R
303,286.,Bob Emslie (25),27,1884,R
304,286.,Scott Erickson (27),27,1995,R
305,286.,Charlie Ferguson (22),27,1885,R
306,286.,Alex Fernandez (26),27,1996,R
307,286.,Jack Fisher (26),27,1965,R
308,286.,Chick Fraser (26),27,1900,R
309,286.,Wayne Garland (25),27,1976,R
310,286.,Bob Gibson+ (27),27,1963,R
311,286.,Bob Gibson+ (29),27,1965,R
312,286.,Dwight Gooden (23),27,1988,R
313,286.,Zack Greinke (34),27,2018,R
314,286.,Clark Griffith+ (25),27,1895,R
315,286.,Bill Gullickson (24),27,1983,R
316,286.,Hardie Henderson (21),27,1884,R
317,286.,Felix Hernandez (25),27,2011,R
318,286.,Charlie Hough (40),27,1988,R
319,286.,Tim Hudson (29),27,2005,R
320,286.,Tim Hudson (31),27,2007,R
321,286.,Fergie Jenkins+ (32),27,1975,R
322,286.,John Lackey (38),27,2017,R
323,286.,Rick Langford (26),27,1978,R
324,286.,Dennis Martinez (24),27,1978,R
325,286.,Christy Mathewson+ (27),27,1908,R
326,286.,Denny McLain (27),27,1971,R
327,286.,Bob Milacki (24),27,1989,R
328,286.,Mike Moore (33),27,1993,R
329,286.,Jack Morris+ (31),27,1986,R
330,286.,Kid Nichols+ (31),27,1901,R
331,286.,Blue Moon Odom (24),27,1969,R
332,286.,Jim Palmer+ (25),27,1971,R
333,286.,Jim Palmer+ (30),27,1976,R
334,286.,Jim Palmer+ (32),27,1978,R
335,286.,Mike Parrott (24),27,1979,R
336,286.,Joel Pineiro (30),27,2009,R
337,286.,Rick Reuschel (28),27,1977,R
338,286.,Rick Reuschel (30),27,1979,R
339,286.,Jose Rijo (28),27,1993,R
340,286.,Amos Rusie+ (21),27,1892,R
341,286.,Chris Sampson (29),27,2007,R
342,286.,Frank Smith (25),27,1905,R
343,286.,John Smoltz+ (29),27,1996,R
344,286.,Gerry Staley (31),27,1952,R
345,286.,Dave Stieb (24),27,1982,R
346,286.,Mel Stottlemyre (24),27,1966,R
347,286.,Mel Stottlemyre (31),27,1973,R
348,286.,Don Sutton+ (26),27,1971,R
349,286.,Adonis Terry (27),27,1892,R
350,286.,Rube Waddell+ (27),27,1904,L
351,286.,Adam Wainwright (27),27,2009,R
352,286.,Ed Walsh+ (30),27,1911,R
353,286.,Gus Weyhing (24),27,1891,R
354,286.,Cy Young+ (26),27,1893,R
355,286.,Irv Young (28),27,1906,L
356,357.,Nick Altrock (29),26,1906,L
357,357.,Nick Altrock (30),26,1907,L
358,357.,Kevin Appier (25),26,1993,R
359,357.,Jim Bagby (27),26,1917,R
360,357.,Mark Baldwin (26),26,1890,R
361,357.,Gary Bell (24),26,1961,R
362,357.,Vern Bickford (29),26,1950,R
363,357.,Mike Boddicker (27),26,1985,R
364,357.,Ricky Bones (24),26,1993,R
365,357.,Henry Boyle (24),26,1885,R
366,357.,Bob Buhl (31),26,1960,R
367,357.,Harry Byrd (27),26,1952,R
368,357.,Jhoulys Chacin (23),26,2011,R
369,357.,Russ Christopher (27),26,1945,R
370,357.,John Clarkson+ (23),26,1885,R
371,357.,Rubby De La Rosa (26),26,2015,R
372,357.,Murry Dickson (32),26,1949,R
373,357.,Frank Dwyer (27),26,1895,R
374,357.,Cal Eldred (25),26,1993,R
375,357.,Jack Fisher (27),26,1966,R
376,357.,Al Fitzmorris (29),26,1975,R
377,357.,Ned Garver (25),26,1951,R
378,357.,Bob Gibson+ (30),26,1966,R
379,357.,Fred Goldsmith (26),26,1882,R
380,357.,Zack Greinke (33),26,2017,R
381,357.,Noodles Hahn (24),26,1903,L
382,357.,Roy Halladay+ (32),26,2009,R
383,357.,Harry Howell (27),26,1904,R
384,357.,Tim Hudson (26),26,2002,R
385,357.,Larry Jackson (37),26,1968,R
386,357.,Addie Joss+ (26),26,1906,R
387,357.,Rick Langford (27),26,1979,R
388,357.,Terry Larkin (21),26,1877,R
389,357.,Frank Lary (33),26,1963,R
390,357.,Mat Latos (25),26,2013,R
391,357.,Mike Leake (25),26,2013,R
392,357.,Mike Leake (26),26,2014,R
393,357.,Dennis Martinez (25),26,1979,R
394,357.,Denny McLain (25),26,1969,R
395,357.,Jack Morris+ (27),26,1982,R
