,Rank,Player (age that year),Putouts as RF (s.1901),Year,Throws
387,388.,Bobby Abreu (24),276,1998,R
388,388.,Roberto Clemente+ (29),276,1964,R
389,388.,Brian Giles (37),276,2008,L
390,388.,Jose Guillen (22),276,1998,R
391,388.,Jackie Jensen (28),276,1955,R
392,388.,Dick Kokos (21),276,1949,L
393,388.,Walt Moryn (31),276,1957,R
394,388.,Sam Rice+ (35),276,1925,R
395,388.,Ellis Valentine (24),276,1979,R
396,388.,Ross Youngs+ (25),276,1922,R
397,398.,Bruce Campbell (22),275,1932,R
398,398.,Warren Cromartie (28),275,1982,L
399,398.,Bobby Higginson (27),275,1998,R
400,398.,Reggie Jackson+ (33),275,1979,L
401,398.,Jacque Jones (31),275,2006,L
402,398.,Mike Mitchell (31),275,1911,R
403,398.,Dave Parker (36),275,1987,R
404,398.,Josh Reddick (25),275,2012,R
405,398.,Whitey Witt (25),275,1921,R
406,398.,Ross Youngs+ (26),275,1923,R
407,408.,Jose Bautista (36),274,2017,R
408,408.,Mookie Betts (26),274,2019,R
409,408.,Johnny Callison (27),274,1966,R
410,408.,Ival Goodman (28),274,1937,R
411,408.,Harry Heilmann+ (30),274,1925,R
412,408.,Ron Northey (24),274,1944,R
413,408.,Tony Oliva (26),274,1965,R
414,408.,Magglio Ordonez (24),274,1998,R
415,408.,Mark Whiten (26),274,1993,R
416,417.,Bing Miller (35),273,1930,R
417,417.,Paul O'Neill (27),273,1990,L
418,417.,Stephen Piscotty (27),273,2018,R
419,417.,Manny Ramirez (24),273,1996,R
420,417.,Tim Salmon (31),273,2000,R
421,417.,Nick Swisher (30),273,2011,L
422,417.,Larry Walker+ (26),273,1993,R
423,424.,Johnny Callison (30),272,1969,R
424,424.,Rocky Colavito (26),272,1960,R
425,424.,Corey Hart (28),272,2010,R
426,424.,Harry Heilmann+ (28),272,1923,R
427,424.,Felix Jose (27),272,1992,R
428,424.,Trot Nixon (28),272,2002,L
429,424.,Vic Wertz (24),272,1949,R
430,431.,Bob Allison (25),271,1960,R
431,431.,Gus Bell (22),271,1951,R
432,431.,Roberto Clemente+ (32),271,1967,R
433,431.,Jermaine Dye (27),271,2001,R
434,431.,Jackie Jensen (26),271,1953,R
435,431.,Jackie Jensen (34),271,1961,R
436,431.,Hunter Pence (29),271,2012,R
437,431.,Gary Sheffield (35),271,2004,R
438,431.,Darryl Strawberry (25),271,1987,L
439,431.,Darryl Strawberry (27),271,1989,L
440,431.,Jack Tobin (31),271,1923,L
441,431.,Earl Webb (33),271,1931,R
442,431.,Dave Winfield+ (24),271,1976,R
443,444.,Bobby Abreu (34),270,2008,R
444,444.,Roberto Clemente+ (27),270,1962,R
445,444.,Tony Gwynn+ (32),270,1992,L
446,444.,Raul Mondesi (32),270,2003,R
447,444.,Walt Moryn (30),270,1956,R
448,444.,Sam Rice+ (39),270,1929,R
449,444.,Ruben Sierra (21),270,1987,R
450,444.,Rusty Staub (23),270,1967,R
451,444.,Rusty Staub (31),270,1975,R
452,453.,Roberto Clemente+ (36),269,1971,R
453,453.,Andre Dawson+ (32),269,1987,R
454,453.,Andre Dawson+ (33),269,1988,R
455,453.,Ival Goodman (27),269,1936,R
456,453.,Bryce Harper (22),269,2015,R
