,Rank,Player (age that year),Stolen Bases,Year,Bats
191,181.,Tommy Tucker (25),63,1889,B
192,181.,John Ward+ (30),63,1890,L
193,194.,Lou Brock+ (29),62,1968,L
194,194.,George Burns (24),62,1914,R
195,194.,Bert Campaneris (26),62,1968,R
196,194.,Bert Campaneris (27),62,1969,R
197,194.,Luis Castillo (24),62,2000,B
198,194.,Ed Daily (27),62,1890,R
199,194.,Jack Doyle (27),62,1897,R
200,194.,Chone Figgins (27),62,2005,B
201,194.,Jack Glasscock (29),62,1887,R
202,194.,Chuck Knoblauch (28),62,1997,R
203,194.,Arlie Latham (34),62,1894,R
204,194.,Danny Moeller (28),62,1913,B
205,194.,Tim Shinnick (22),62,1890,B
206,194.,Jonathan Villar (25),62,2016,B
207,194.,John Ward+ (29),62,1889,L
208,209.,Michael Bourn (26),61,2009,L
209,209.,Michael Bourn (28),61,2011,L
210,209.,Max Carey+ (23),61,1913,B
211,209.,George Case (27),61,1943,R
212,209.,Cesar Cedeno (26),61,1977,R
213,209.,Ben Chapman (22),61,1931,R
214,209.,Ty Cobb+ (25),61,1912,L
215,209.,Josh Devore (23),61,1911,L
216,209.,Miguel Dilone (25),61,1980,B
217,209.,John McGraw+ (22),61,1895,L
218,209.,Gene Richards (26),61,1980,L
219,209.,Jake Stenzel (27),61,1894,R
220,209.,George Tebeau (27),61,1889,R
221,209.,Honus Wagner+ (33),61,1907,R
222,223.,Dave Collins (31),60,1984,B
223,223.,Carl Crawford (27),60,2009,L
224,223.,Bill Dahlen (22),60,1892,R
225,223.,Ed Daily (26),60,1889,R
226,223.,Shorty Fuller (22),60,1890,R
227,223.,Dee Strange-Gordon (29),60,2017,L
228,223.,Dummy Hoy (30),60,1892,L
229,223.,Hughie Jennings+ (28),60,1897,R
230,223.,Arlie Latham (26),60,1886,R
231,223.,Kenny Lofton (27),60,1994,L
232,223.,Herman Long (25),60,1891,L
233,223.,Omar Moreno (29),60,1982,L
234,223.,Joe Morgan+ (32),60,1976,L
235,223.,Jose Reyes (22),60,2005,B
236,223.,Harold Reynolds (26),60,1987,B
237,223.,Jimmy Ryan (25),60,1888,R
238,223.,Cub Stricker (29),60,1888,R
239,223.,Tony Womack (27),60,1997,L
240,241.,Hick Carpenter (32),59,1888,R
241,241.,Fred Clarke+ (24),59,1897,L
242,241.,Carl Crawford (22),59,2004,L
243,241.,Julio Cruz (23),59,1978,B
244,241.,Art Devlin (25),59,1905,R
245,241.,Tommy Dowd (24),59,1893,R
246,241.,Billy Hamilton (26),59,2017,B
