,Rank,Player (age that year),Strikeouts,Year,Bats
426,412.,Eugenio Suarez (25),147,2017,R
427,412.,Jim Thome+ (35),147,2006,L
428,412.,Jim Thome+ (37),147,2008,L
429,412.,Jayson Werth (31),147,2010,R
430,412.,Brad Wilkerson (28),147,2005,L
431,432.,Steve Balboni (29),146,1986,R
432,432.,Jesse Barfield (26),146,1986,R
433,432.,Cody Bellinger (21),146,2017,L
434,432.,Jay Buhner (27),146,1992,R
435,432.,Matt Chapman (25),146,2018,R
436,432.,Nate Colbert (27),146,1973,R
437,432.,Khris Davis (31),146,2019,R
438,432.,Ian Desmond (32),146,2018,R
439,432.,Andres Galarraga (34),146,1995,R
440,432.,Andres Galarraga (37),146,1998,R
441,432.,Carlos Gomez (27),146,2013,R
442,432.,Todd Hundley (27),146,1996,B
443,432.,Pete Incaviglia (26),146,1990,R
444,432.,Bo Jackson (25),146,1988,R
445,432.,Deron Johnson (32),146,1971,R
446,432.,Jason Kipnis (29),146,2016,L
447,432.,Ryan Ludwick (29),146,2008,R
448,432.,J.D. Martinez (30),146,2018,R
449,432.,Dean Palmer (31),146,2000,R
450,432.,Carlos Pena (26),146,2004,L
451,432.,Jhonny Peralta (25),146,2007,R
452,432.,Ed Sprague (28),146,1996,R
453,432.,Jim Thome+ (26),146,1997,L
454,455.,Jay Bruce (28),145,2015,L
455,455.,Marlon Byrd (37),145,2015,R
456,455.,Mike Cameron (26),145,1999,R
457,455.,Jack Clark (33),145,1989,R
458,455.,C.J. Cron (28),145,2018,R
459,455.,Bobby Darwin (29),145,1972,R
460,455.,Ian Desmond (27),145,2013,R
461,455.,Freddie Freeman (24),145,2014,L
462,455.,Freddy Galvis (29),145,2019,B
463,455.,Troy Glaus (28),145,2005,R
464,455.,Paul Goldschmidt (25),145,2013,R
465,455.,Anthony Gose (24),145,2015,L
466,455.,Brad Hawpe (30),145,2009,L
467,455.,Jose Hernandez (29),145,1999,R
468,455.,Matt Kemp (29),145,2014,R
469,455.,Ray Lankford (34),145,2001,L
470,455.,Lee May (29),145,1972,R
471,455.,Andrew McCutchen (31),145,2018,R
472,455.,Dale Murphy (22),145,1978,R
473,455.,David Ortiz (34),145,2010,L
474,455.,Dean Palmer (27),145,1996,R
475,455.,Hunter Pence (29),145,2012,R
476,455.,Alex Rodriguez (39),145,2015,R
477,455.,Jose Valentin (26),145,1996,B
478,455.,Mo Vaughn (34),145,2002,L
479,455.,Chris Young (26),145,2010,R
480,481.,Dick Allen (27),144,1969,R
481,481.,Javier Baez (24),144,2017,R
482,481.,Mark Bellhorn (27),144,2002,B
483,481.,Jay Buhner (28),144,1993,R
484,481.,Marlon Byrd (35),144,2013,R
485,481.,Tony Clark (25),144,1997,B
486,481.,Travis Fryman (23),144,1992,R
487,481.,Troy Glaus (25),144,2002,R
488,481.,Austin Jackson (27),144,2014,R
489,481.,Bobby Knoop (27),144,1966,R
490,481.,Brett Lawrie (25),144,2015,R
491,481.,Adam Lind (26),144,2010,L
492,481.,Evan Longoria (30),144,2016,R
493,481.,Chris Owings (23),144,2015,R
494,481.,Marcell Ozuna (26),144,2017,R
495,481.,Sammy Sosa (33),144,2002,R
496,481.,Steven Souza Jr. (26),144,2015,R
497,481.,Dick Stuart (30),144,1963,R
498,481.,Jim Thome+ (33),144,2004,L
499,481.,Mo Vaughn (30),144,1998,L
