,Rank,Player (age that year),Strikeouts per 9 IP,Year,Throws
157,158.,A.J. Burnett (36),9.8482,2013,R
158,159.,David Price (28),9.8215,2014,L
159,160.,Nolan Ryan+ (39),9.8090,1986,R
160,161.,Drew Pomeranz (27),9.8086,2016,L
161,162.,John Smoltz+ (29),9.7924,1996,R
162,163.,Tim Lincecum (26),9.7912,2010,R
163,164.,Masahiro Tanaka (28),9.7907,2017,R
164,165.,J.A. Happ (35),9.7767,2018,L
165,166.,Javier Vazquez (32),9.7660,2009,R
166,167.,Jonathan Sanchez (26),9.7531,2009,L
167,168.,Jose Fernandez (20),9.7471,2013,R
168,169.,Clayton Kershaw (21),9.7368,2009,L
169,170.,Jon Lester (26),9.7356,2010,L
170,171.,Tyson Ross (28),9.7347,2015,R
171,172.,Yovani Gallardo (24),9.7297,2010,R
172,173.,Jose Berrios (26),9.7143,2020,R
173,174.,Francisco Liriano (30),9.7023,2014,L
174,175.,Herb Score (22),9.6994,1955,L
175,176.,Framber Valdez (26),9.6792,2020,L
176,177.,Jake Peavy (26),9.6716,2007,R
177,177.,Hyun Jin Ryu (33),9.6716,2020,L
178,179.,Pedro Martinez+ (26),9.6676,1998,R
179,180.,Jacob deGrom (27),9.6597,2015,R
180,181.,Johan Santana (28),9.6575,2007,L
181,182.,Nolan Ryan+ (37),9.6534,1984,R
182,183.,Dylan Bundy (25),9.6466,2018,R
183,184.,Madison Bumgarner (25),9.6458,2015,L
184,185.,Matt Harvey (24),9.6393,2013,R
185,186.,J.R. Richard (29),9.6363,1979,R
186,187.,James Shields (33),9.6079,2015,R
187,188.,Roger Clemens (39),9.6000,2002,R
188,189.,Jake Peavy (24),9.5764,2005,R
189,190.,Mario Soto (25),9.5705,1982,R
190,191.,Justin Verlander (34),9.5680,2017,R
191,192.,Clayton Kershaw (23),9.5657,2011,L
192,193.,Zack Greinke (33),9.5634,2017,R
193,193.,Jake Peavy (25),9.5634,2006,R
194,195.,A.J. Burnett (30),9.5614,2007,R
195,196.,Ubaldo Jimenez (29),9.5584,2013,R
196,197.,Tom Griffin (21),9.5575,1969,R
197,198.,Jon Gray (26),9.5571,2018,R
198,199.,Jonathan Sanchez (27),9.5431,2010,L
199,200.,Clayton Kershaw (31),9.5383,2019,L
200,201.,Lance Lynn (33),9.5357,2020,R
201,202.,Roger Clemens (33),9.5316,1996,R
202,203.,Jim Maloney (23),9.5273,1963,R
203,204.,Carlos Martinez (25),9.5268,2017,R
204,205.,Jason Schmidt (29),9.5180,2002,R
205,206.,Felix Hernandez (27),9.5139,2013,R
206,207.,Sid Fernandez (22),9.5108,1985,L
207,208.,Corey Kluber (30),9.5023,2016,R
208,209.,Zack Greinke (25),9.4971,2009,R
209,210.,Aaron Nola (25),9.4945,2018,R
210,211.,Herb Score (23),9.4933,1956,L
211,212.,Chris Sale (24),9.4899,2013,L
212,213.,Ricky Nolasco (26),9.4865,2009,R
213,213.,Danny Salazar (25),9.4865,2015,R
214,215.,Sandy Koufax+ (25),9.4694,1961,L
215,216.,Sam McDowell (25),9.4684,1968,L
216,217.,Edinson Volquez (24),9.4592,2008,R
217,218.,Felix Hernandez (28),9.4576,2014,R
218,219.,Jose Berrios (24),9.4523,2018,R
219,220.,Andrew Heaney (29),9.4500,2020,L
220,221.,Matt Clement (29),9.4475,2004,R
221,222.,Matt Clement (27),9.4390,2002,R
222,223.,Francisco Liriano (26),9.4383,2010,L
223,224.,Johan Santana (27),9.4365,2006,L
224,225.,Eduardo Rodriguez (26),9.4279,2019,L
225,226.,Danny Duffy (27),9.4174,2016,L
226,227.,Pedro Martinez+ (32),9.4147,2004,R
227,228.,David Cone (29),9.4085,1992,R
228,229.,Frank Tanana (21),9.4080,1975,L
229,230.,Javier Vazquez (26),9.4032,2003,R
230,231.,Don Wilson (24),9.4000,1969,R
231,232.,Max Fried (25),9.3984,2019,L
232,233.,Stephen Strasburg (24),9.3934,2013,R
233,234.,A.J. Burnett (31),9.3931,2008,R
234,235.,Jorge De La Rosa (28),9.3892,2009,L
235,236.,Jake Peavy (23),9.3607,2004,R
236,237.,Jered Weaver (27),9.3477,2010,R
237,238.,Gio Gonzalez (26),9.3462,2012,L
238,239.,Bob Veale (29),9.3383,1965,L
239,240.,Clayton Kershaw (22),9.3377,2010,L
240,241.,Zack Godley (28),9.3364,2018,R
241,242.,Nolan Ryan+ (41),9.3273,1988,R
242,243.,David Cone (28),9.3223,1991,R
243,244.,Jake Odorizzi (24),9.3214,2014,R
244,245.,Mike Clevinger (27),9.3150,2018,R
245,246.,Ian Kennedy (30),9.3030,2015,R
246,247.,Corey Kluber (32),9.2930,2018,R
247,248.,John Smoltz+ (31),9.2863,1998,R
248,249.,Francisco Liriano (32),9.2761,2016,L
249,250.,Jake Arrieta (29),9.2751,2015,R
250,251.,Jeff Samardzija (27),9.2748,2012,R
251,252.,Ian Kennedy (29),9.2687,2014,R
252,253.,Anibal Sanchez (27),9.2598,2011,R
253,254.,Chris Sale (27),9.2515,2016,L
254,255.,Johan Santana (26),9.2460,2005,L
255,256.,Luis Tiant (26),9.2246,1967,R
256,257.,Hideo Nomo (27),9.2234,1996,R
257,258.,Pedro Martinez+ (24),9.2215,1996,R
258,259.,Brandon Duckworth (26),9.2209,2002,R
259,260.,Carlos Martinez (23),9.2171,2015,R
260,261.,Mark Langston (25),9.2131,1986,L
261,262.,Mat Latos (22),9.2112,2010,R
262,263.,Zack Greinke (30),9.2076,2014,R
263,264.,Cliff Lee (32),9.2063,2011,L
264,265.,Lance Lynn (25),9.2045,2012,R
265,266.,Luis Tiant (27),9.1974,1968,R
266,267.,Noah Syndergaard (26),9.1973,2019,R
267,268.,Dave Boswell (21),9.1949,1966,R
268,269.,Max Scherzer (24),9.1937,2009,R
269,270.,Tim Lincecum (28),9.1935,2012,R
270,271.,David Price (29),9.1906,2015,L
271,272.,Sam McDowell (21),9.1904,1964,L
272,273.,Kenta Maeda (28),9.1708,2016,R
273,274.,Carlos Rodon (23),9.1636,2016,L
274,275.,Roger Clemens (41),9.1540,2004,R
275,276.,Kerry Wood (25),9.1404,2002,R
276,277.,Tim Lincecum (27),9.1244,2011,R
277,278.,Josh Johnson (26),9.1143,2010,R
278,279.,Cole Hamels (31),9.1130,2015,L
279,280.,Sonny Siebert (28),9.1113,1965,R
280,281.,Michael Pineda (22),9.1053,2011,R
281,282.,Cole Hamels (26),9.1006,2010,L
282,283.,Sid Fernandez (25),9.0963,1988,L
283,284.,Justin Masterson (28),9.0933,2013,R
284,285.,Orlando Hernandez (40),9.0924,2006,R
285,286.,Jon Lester (31),9.0878,2015,L
286,287.,Tom Seaver+ (26),9.0838,1971,R
287,288.,Sid Fernandez (27),9.0836,1990,L
288,289.,Zack Wheeler (24),9.0809,2014,R
289,290.,Jason Hammel (32),9.0703,2015,R
290,291.,Madison Bumgarner (24),9.0690,2014,L
291,292.,David Cone (35),9.0578,1998,R
292,293.,Clayton Kershaw (24),9.0527,2012,L
293,294.,German Marquez (24),9.0517,2019,R
294,295.,David Price (32),9.0511,2018,L
295,296.,Dennis Eckersley+ (21),9.0301,1976,R
296,297.,Cole Hamels (28),9.0279,2012,L
297,298.,Justin Verlander (29),9.0252,2012,R
298,299.,Anthony DeSclafani (29),9.0180,2019,R
299,300.,Drew Pomeranz (28),9.0173,2017,L
300,301.,John Smoltz+ (28),9.0156,1995,R
301,302.,Chad Billingsley (23),9.0150,2008,R
302,303.,Jason Schmidt (30),9.0144,2003,R
303,304.,Jeff Samardzija (28),9.0140,2013,R
304,305.,Jon Lester (30),9.0137,2014,L
305,306.,Nolan Ryan+ (32),9.0135,1979,R
306,307.,Kevin Brown (33),9.0000,1998,R
307,307.,Yovani Gallardo (26),9.0000,2012,R
308,307.,Zack Greinke (36),9.0000,2020,R
309,307.,Andrew Heaney (27),9.0000,2018,L
310,307.,Darryl Kile (27),9.0000,1996,R
311,307.,Sandy Koufax+ (28),9.0000,1964,L
312,307.,Chris Sale (23),9.0000,2012,L
313,314.,Sam McDowell (24),8.9873,1967,L
314,315.,Yovani Gallardo (25),8.9855,2011,R
315,316.,Zack Wheeler (29),8.9846,2019,R
316,317.,Mike Fiers (30),8.9834,2015,R
317,318.,Cliff Lee (34),8.9731,2013,L
318,319.,Sam McDowell (27),8.9705,1970,L
319,320.,Cole Hamels (32),8.9701,2016,L
320,321.,Tyson Ross (27),8.9693,2014,R
321,322.,Drew Hutchison (23),8.9675,2014,R
322,323.,Jon Lester (33),8.9668,2017,L
323,324.,Justin Verlander (28),8.9641,2011,R
324,325.,Bobby Witt (26),8.9595,1990,R
325,326.,Matt Garza (27),8.9545,2011,R
326,327.,Matthew Boyd (29),8.9503,2020,L
