,Rank,Player (age that year),AB per HR,Year,Bats
265,266.,Mark Reynolds (25),13.14,2009,R
266,267.,Adam Dunn (32),13.15,2012,L
267,268.,Hank Aaron+ (28),13.16,1962,R
268,268.,Jeff Bagwell+ (29),13.16,1997,R
269,268.,Khris Davis (29),13.16,2017,R
270,268.,Ted Williams+ (30),13.16,1949,L
271,268.,Carl Yastrzemski+ (27),13.16,1967,L
272,273.,Todd Hundley (27),13.17,1996,B
273,274.,Mickey Mantle+ (28),13.18,1960,B
274,274.,Fernando Tatis Jr. (21),13.18,2020,R
275,274.,Frank Thomas+ (28),13.18,1996,R
276,277.,Wil Myers (29),13.20,2020,R
277,277.,Eugenio Suarez (28),13.20,2020,R
278,279.,Hank Aaron+ (38),13.21,1972,R
279,279.,Khris Davis (28),13.21,2016,R
280,279.,Manny Ramirez (30),13.21,2002,R
281,279.,Manny Ramirez (32),13.21,2004,R
282,283.,J.D. Martinez (30),13.23,2018,R
283,284.,Gus Zernial (30),13.24,1953,R
284,285.,Mickey Mantle+ (32),13.29,1964,B
285,285.,Richie Sexson (26),13.29,2001,R
286,285.,Jim Thome+ (25),13.29,1996,L
287,288.,Barry Bonds (32),13.30,1997,L
288,289.,Andres Galarraga (35),13.32,1996,R
289,289.,Phil Nevin (30),13.32,2001,R
290,291.,Carlos Quentin (25),13.33,2008,R
291,292.,Jimmie Foxx+ (31),13.34,1939,R
292,293.,Mike Piazza+ (30),13.35,1999,R
293,293.,Franmil Reyes (23),13.35,2019,R
294,293.,Mike Schmidt+ (33),13.35,1983,R
295,296.,Brian Giles (28),13.36,1999,L
296,297.,Jeff Bagwell+ (31),13.38,1999,R
297,297.,Rico Petrocelli (26),13.38,1969,R
298,299.,Chris Carter (29),13.39,2016,R
299,299.,Frank Thomas+ (25),13.39,1993,R
300,301.,Nelson Cruz (34),13.41,2015,R
301,301.,Mark McGwire (26),13.41,1990,R
302,301.,Mickey Tettleton (34),13.41,1995,B
303,304.,Matt Olson (25),13.42,2019,L
304,305.,Johnny Bench+ (22),13.44,1970,R
305,306.,Johnny Bench+ (24),13.45,1972,R
306,306.,Andres Galarraga (33),13.45,1994,R
307,308.,Lou Gehrig+ (28),13.46,1931,L
308,309.,Juan Gonzalez (28),13.47,1998,R
309,309.,Johnny Mize+ (27),13.47,1940,L
310,309.,Logan Morrison (29),13.47,2017,L
311,309.,Richie Sexson (28),13.47,2003,R
312,313.,Dick Allen (28),13.50,1970,R
313,313.,Jay Buhner (32),13.50,1997,R
314,313.,Joe DiMaggio+ (22),13.50,1937,R
315,313.,Tino Martinez (29),13.50,1997,L
316,313.,Babe Ruth+ (38),13.50,1933,L
317,313.,George Springer (30),13.50,2020,R
318,319.,Alex Bregman (25),13.51,2019,R
319,319.,Alex Rodriguez (24),13.51,2000,R
320,321.,Frank Thomas+ (32),13.53,2000,R
321,321.,Ted Williams+ (27),13.53,1946,L
322,323.,Edwin Encarnacion (32),13.54,2015,R
