,Rank,Player (age that year),Fielding % as CF (s.1901),Year,Throws
256,251.,Bill Virdon (27),.9927,1958,R
257,251.,Bernie Williams (28),.9927,1997,R
258,259.,Brett Butler (37),.9926,1994,L
259,259.,Curtis Granderson (28),.9926,2009,R
260,259.,Aaron Hicks (28),.9926,2018,R
261,259.,Lee Mazzilli (22),.9926,1977,R
262,259.,Kirby Puckett+ (32),.9926,1992,R
263,259.,Goody Rosen (32),.9926,1945,L
264,259.,Andres Torres (34),.9926,2012,R
265,259.,Devon White (30),.9926,1993,R
