,Rank,Player (age that year),Wins,Year,Throws
333,292.,Sam Leever (31),25,1903,R
334,292.,Mickey Lolich (30),25,1971,L
335,292.,Juan Marichal+ (25),25,1963,R
336,292.,Juan Marichal+ (28),25,1966,R
337,292.,Christy Mathewson+ (28),25,1909,R
338,292.,Christy Mathewson+ (32),25,1913,R
339,292.,George McConnell (37),25,1915,R
340,292.,Jumbo McGinnis (28),25,1882,
341,292.,Sadie McMahon (26),25,1894,R
342,292.,Win Mercer (22),25,1896,R
343,292.,Johnny Morrison (27),25,1923,R
344,292.,Hal Newhouser+ (24),25,1945,L
345,292.,Mel Parnell (27),25,1949,L
346,292.,Jeff Pfeffer (28),25,1916,R
347,292.,Deacon Phillippe (31),25,1903,R
348,292.,Old Hoss Radbourn+ (26),25,1881,R
349,292.,Lee Richmond (24),25,1881,L
350,292.,Eppa Rixey+ (31),25,1922,L
351,292.,Tom Seaton (26),25,1914,R
352,292.,Tom Seaver+ (24),25,1969,R
353,292.,Ed Seward (20),25,1887,R
354,292.,Cy Seymour (25),25,1898,L
355,292.,Frank Smith (29),25,1909,R
356,292.,Phenomenal Smith (22),25,1887,L
357,292.,Steve Stone (32),25,1980,R
358,292.,Jesse Tannehill (23),25,1898,L
359,292.,Rube Waddell+ (27),25,1904,L
360,292.,Mickey Welch+ (23),25,1883,R
361,292.,Stump Weidman (21),25,1882,R
362,292.,Vic Willis+ (22),25,1898,R
363,292.,Cy Young+ (31),25,1898,R
364,365.,Vida Blue (21),24,1971,L
365,365.,Ron Bryant (25),24,1973,L
366,365.,Steve Carlton+ (35),24,1980,L
367,365.,Kid Carsey (22),24,1895,R
368,365.,Dan Casey (23),24,1886,L
369,365.,Roger Clemens (23),24,1986,R
370,365.,Tony Cloninger (24),24,1965,R
371,365.,Wilbur Cooper (28),24,1920,L
372,365.,Joe Corbett (21),24,1897,R
373,365.,Stan Coveleski+ (29),24,1919,R
374,365.,Stan Coveleski+ (30),24,1920,R
375,365.,General Crowder (34),24,1933,R
376,365.,Mike Cuellar (33),24,1970,L
377,365.,Nig Cuppy (24),24,1894,R
378,365.,Hooks Dauss (25),24,1915,R
379,365.,Dizzy Dean+ (26),24,1936,R
380,365.,Frank Dwyer (28),24,1896,R
381,365.,George Earnshaw (29),24,1929,R
382,365.,Red Faber+ (26),24,1915,R
383,365.,Bob Feller+ (20),24,1939,R
384,365.,Whitey Ford+ (34),24,1963,L
385,365.,Kid Gleason (24),24,1891,R
386,365.,Fred Goldsmith (25),24,1881,R
387,365.,Lefty Gomez+ (23),24,1932,L
388,365.,Dwight Gooden (20),24,1985,R
389,365.,Clark Griffith+ (28),24,1898,R
390,365.,Clark Griffith+ (31),24,1901,R
391,365.,Bob Groom (27),24,1912,R
392,365.,Lefty Grove+ (28),24,1928,L
393,365.,Lefty Grove+ (33),24,1933,L
394,365.,Jesse Haines+ (33),24,1927,R
395,365.,Claude Hendrix (23),24,1912,R
396,365.,LaMarr Hoyt (28),24,1983,R
397,365.,Larry Jackson (33),24,1964,R
398,365.,Fergie Jenkins+ (28),24,1971,R
399,365.,Randy Johnson+ (38),24,2002,L
400,365.,Addie Joss+ (28),24,1908,R
401,365.,Brickyard Kennedy (26),24,1894,R
402,365.,Rube Marquard+ (24),24,1911,L
403,365.,Christy Mathewson+ (26),24,1907,R
404,365.,Christy Mathewson+ (33),24,1914,R
405,365.,Jumbo McGinnis (30),24,1884,
406,365.,Denny McLain (25),24,1969,R
407,365.,Dave McNally (27),24,1970,L
408,365.,Gaylord Perry+ (33),24,1972,R
409,365.,Jim Perry (34),24,1970,R
410,365.,Wiley Piatt (23),24,1898,L
411,365.,George Pipgras (28),24,1928,R
412,365.,Eddie Plank+ (29),24,1905,L
413,365.,Eddie Plank+ (31),24,1907,L
414,365.,Old Hoss Radbourn+ (32),24,1887,R
415,365.,Ed Reulbach (25),24,1908,R
416,365.,Schoolboy Rowe (24),24,1934,R
417,365.,Babe Ruth+ (22),24,1917,L
418,365.,Johnny Sain (30),24,1948,R
419,365.,Jack Sanford (33),24,1962,R
420,365.,Jim Scott (27),24,1915,R
421,365.,Bobby Shantz (26),24,1952,L
422,365.,Bob Shawkey (25),24,1916,R
423,365.,Urban Shocker (31),24,1922,R
424,365.,John Smoltz+ (29),24,1996,R
425,365.,Harry Staley (24),24,1891,R
426,365.,George Suggs (31),24,1914,R
427,365.,Ed Summers (23),24,1908,R
428,365.,Jesse Tannehill (24),24,1899,L
429,365.,Fred Toney (28),24,1917,R
430,365.,Justin Verlander (28),24,2011,R
431,365.,Tom Vickery (23),24,1890,R
432,365.,Frank Viola (28),24,1988,L
433,365.,Rube Waddell+ (25),24,1902,L
434,365.,Ed Walsh+ (26),24,1907,R
435,365.,Sam Weaver (27),24,1883,R
436,365.,Jim Whitney (24),24,1882,R
437,365.,Jim Whitney (29),24,1887,R
438,365.,Wilbur Wood (30),24,1972,L
439,365.,Wilbur Wood (31),24,1973,L
440,441.,Frank Allen (26),23,1915,L
441,441.,Nick Altrock (28),23,1905,L
442,441.,Jim Bagby (27),23,1917,R
443,441.,Red Barrett (30),23,1945,R
444,441.,Chief Bender+ (26),23,1910,R
445,441.,Bill Bernhard (33),23,1904,R
446,441.,Theodore Breitenstein (28),23,1897,L
447,441.,Tommy Bridges (29),23,1936,R
448,441.,Dick Burns (20),23,1884,L
449,441.,Steve Carlton+ (32),23,1977,L
450,441.,Steve Carlton+ (37),23,1982,L
451,441.,Bob Caruthers (26),23,1890,R
452,441.,Jack Chesbro+ (32),23,1906,R
453,441.,Joe Coleman (26),23,1973,R
454,441.,Wilbur Cooper (30),23,1922,L
455,441.,Stan Coveleski+ (31),23,1921,R
456,441.,Mike Cuellar (32),23,1969,L
457,441.,Hugh Daily (35),23,1883,R
458,441.,Bill Dinneen (28),23,1904,R
459,441.,Don Drysdale+ (28),23,1965,R
460,441.,Jack Dunn (26),23,1899,R
461,441.,Red Faber+ (31),23,1920,R
462,441.,Cy Falkenberg (33),23,1913,R
463,441.,Wes Ferrell (24),23,1932,R
464,441.,Mike Flanagan (27),23,1979,L
465,441.,Jocko Flynn (22),23,1886,R
466,441.,Frank Foreman (26),23,1889,R
467,441.,Pud Galvin+ (31),23,1888,R
468,441.,Pud Galvin+ (32),23,1889,R
469,441.,Pretzels Getzien (26),23,1890,R
470,441.,Bob Gibson+ (34),23,1970,R
471,441.,Vean Gregg (26),23,1911,L
472,441.,Clark Griffith+ (26),23,1896,R
473,441.,Burleigh Grimes+ (26),23,1920,R
474,441.,Ad Gumbert (22),23,1890,R
475,441.,Noodles Hahn (20),23,1899,L
476,441.,Noodles Hahn (23),23,1902,L
477,441.,Bob Harmon (23),23,1911,R
478,441.,Jack Harper (23),23,1901,R
479,441.,Jack Harper (26),23,1904,R
480,441.,Orel Hershiser (29),23,1988,R
481,441.,Waite Hoyt+ (28),23,1928,R
482,441.,Carl Hubbell+ (30),23,1933,L
483,441.,Carl Hubbell+ (32),23,1935,L
484,441.,Jay Hughes (24),23,1898,R
485,441.,Catfish Hunter+ (29),23,1975,R
486,441.,Danny Jackson (26),23,1988,L
487,441.,Larry Jansen (30),23,1951,R
488,441.,Walter Johnson+ (29),23,1917,R
489,441.,Walter Johnson+ (30),23,1918,R
490,441.,Walter Johnson+ (36),23,1924,R
491,441.,Sad Sam Jones (28),23,1921,R
492,441.,Ed Killian (28),23,1905,L
493,441.,Ellis Kinder (34),23,1949,R
494,441.,Frank Lary (31),23,1961,R
495,441.,Bob Lemon+ (29),23,1950,R
496,441.,Bob Lemon+ (33),23,1954,R
497,441.,Tom Lovett (27),23,1891,R
498,441.,Jack Lynch (28),23,1885,R
499,441.,Nick Maddox (21),23,1908,R
500,441.,Sal Maglie (34),23,1951,R
501,441.,Jim Maloney (23),23,1963,R
502,441.,Rube Marquard+ (26),23,1913,L
503,441.,Pedro Martinez+ (27),23,1999,R
504,441.,Christy Mathewson+ (31),23,1912,R
505,441.,Sadie McMahon (25),23,1893,R
506,441.,George McQuillan (23),23,1908,R
507,441.,Roscoe Miller (24),23,1901,R
508,441.,Frank Mountain (24),23,1884,R
509,441.,Tony Mullane (32),23,1891,R
510,441.,Phil Niekro+ (30),23,1969,R
511,441.,Orval Overall (26),23,1907,R
512,441.,Jim Palmer+ (29),23,1975,R
513,441.,Herb Pennock+ (32),23,1926,L
514,441.,Gaylord Perry+ (31),23,1970,R
515,441.,Jeff Pfeffer (26),23,1914,R
516,441.,Wiley Piatt (24),23,1899,L
517,441.,Togie Pittinger (33),23,1905,R
518,441.,Eddie Plank+ (27),23,1903,L
519,441.,Eddie Plank+ (35),23,1911,L
520,441.,Jack Powell (23),23,1898,R
521,441.,Jack Powell (24),23,1899,R
522,441.,Jack Powell (29),23,1904,R
523,441.,Bob Purkey (32),23,1962,R
524,441.,Toad Ramsey (25),23,1890,L
525,441.,Robin Roberts+ (26),23,1953,R
526,441.,Robin Roberts+ (27),23,1954,R
527,441.,Robin Roberts+ (28),23,1955,R
528,441.,Amos Rusie+ (24),23,1895,R
529,441.,Babe Ruth+ (21),23,1916,L
530,441.,Bret Saberhagen (25),23,1989,R
531,441.,Curt Schilling (35),23,2002,R
532,441.,Hal Schumacher (23),23,1934,R
533,441.,Dupee Shaw (26),23,1885,L
534,441.,Frank Smith (27),23,1907,R
535,441.,Warren Spahn+ (32),23,1953,L
536,441.,Warren Spahn+ (42),23,1963,L
537,441.,Jack Taylor (21),23,1894,R
538,441.,Jack Taylor (28),23,1902,R
