,Rank,Player (age that year),Wins Above Replacement,Year,Bats/Throws
338,333.,Lefty Gomez+ (28),9.0,1937,L
339,333.,Rogers Hornsby+ (32),9.0,1928,R
340,333.,Carl Hubbell+ (30),9.0,1933,R
341,333.,Cliff Lee (32),9.0,2011,L
342,333.,Thornton Lee (34),9.0,1941,L
343,333.,Jim Maloney (25),9.0,1965,L
344,333.,Willie Mays+ (35),9.0,1966,R
345,333.,Tris Speaker+ (35),9.0,1923,L
346,333.,Chase Utley (29),9.0,2008,L
347,333.,Arky Vaughan+ (26),9.0,1938,L
348,333.,Honus Wagner+ (33),9.0,1907,R
349,350.,John Clarkson+ (28),8.9,1890,R
350,350.,Roberto Clemente+ (32),8.9,1967,R
351,350.,Stan Coveleski+ (30),8.9,1920,R
352,350.,Lenny Dykstra (27),8.9,1990,L
353,350.,Charlie Gehringer+ (31),8.9,1934,L
354,350.,Todd Helton (26),8.9,2000,L
355,350.,Fred Lynn (27),8.9,1979,L
356,350.,Christy Mathewson+ (20),8.9,1901,R
357,350.,Christy Mathewson+ (26),8.9,1907,R
358,350.,Christy Mathewson+ (29),8.9,1910,R
359,350.,George McQuillan (23),8.9,1908,R
360,350.,Stan Musial+ (23),8.9,1944,L
361,350.,Mel Ott+ (29),8.9,1938,L
362,350.,Ron Santo+ (24),8.9,1964,R
363,350.,Ron Santo+ (26),8.9,1966,R
364,350.,Mike Schmidt+ (27),8.9,1977,R
365,350.,Mike Schmidt+ (30),8.9,1980,R
366,350.,Marcus Semien (28),8.9,2019,R
367,350.,Mike Trout (21),8.9,2013,R
368,369.,Dick Allen (22),8.8,1964,R
369,369.,Bret Boone (32),8.8,2001,R
370,369.,Dan Brouthers+ (34),8.8,1892,L
371,369.,Roger Clemens (23),8.8,1986,R
372,369.,Eddie Collins+ (25),8.8,1912,L
373,369.,Lou Gehrig+ (28),8.8,1931,L
374,369.,Ken Griffey Jr.+ (23),8.8,1993,L
375,369.,Rickey Henderson+ (21),8.8,1980,R
376,369.,Walter Johnson+ (23),8.8,1911,R
377,369.,Addie Joss+ (28),8.8,1908,R
378,369.,Pedro Martinez+ (25),8.8,1997,R
379,369.,Stan Musial+ (30),8.8,1951,L
380,369.,Kid Nichols+ (22),8.8,1892,B
381,369.,Alex Rodriguez (26),8.8,2002,R
382,369.,Johan Santana (25),8.8,2004,L
383,369.,Lonnie Smith (33),8.8,1989,R
384,369.,Snuffy Stirnweiss (26),8.8,1945,R
385,386.,Ewell Blackwell (24),8.7,1947,R
386,386.,Hal Carlson (34),8.7,1926,R
387,386.,Dean Chance (23),8.7,1964,R
388,386.,Roger Clemens (29),8.7,1992,R
389,386.,Lou Gehrig+ (32),8.7,1935,L
390,386.,Lefty Grove+ (35),8.7,1935,L
391,386.,Noodles Hahn (23),8.7,1902,L
392,386.,Josh Hamilton (29),8.7,2010,L
393,386.,Rickey Henderson+ (30),8.7,1989,R
394,386.,Matt Kilroy (23),8.7,1889,L
395,386.,Chuck Knoblauch (27),8.7,1996,R
396,386.,Greg Maddux+ (28),8.7,1994,R
397,386.,Mickey Mantle+ (26),8.7,1958,B
398,386.,Jon Matlack (24),8.7,1974,L
399,386.,Willie Mays+ (30),8.7,1961,R
400,386.,Joe McGinnity+ (31),8.7,1902,R
401,386.,Mike Piazza+ (28),8.7,1997,R
402,386.,Albert Pujols (23),8.7,2003,R
403,386.,Albert Pujols (27),8.7,2007,R
404,386.,Robin Roberts+ (24),8.7,1951,B
405,386.,Robin Roberts+ (27),8.7,1954,B
406,386.,Frank Robinson+ (26),8.7,1962,R
407,386.,Nap Rucker (26),8.7,1911,R
408,386.,Amos Rusie+ (20),8.7,1891,R
409,386.,George Sisler+ (29),8.7,1922,L
410,386.,George Stone (29),8.7,1906,L
411,386.,Jim Whitney (23),8.7,1881,L
412,386.,Irv Young (27),8.7,1905,L
413,414.,Hank Aaron+ (25),8.6,1959,R
414,414.,Dick Allen (30),8.6,1972,R
415,414.,Jake Arrieta (29),8.6,2015,R
416,414.,Jim Bagby (27),8.6,1917,B
417,414.,Johnny Bench+ (24),8.6,1972,R
418,414.,George Brett+ (26),8.6,1979,L
