,Rank,Player (age that year),Range Factor/9Inn as CF (s.1948),Year,Throws
426,426.,Ray Lankford (26),2.862,1993,L
427,426.,Victor Reyes (25),2.862,2020,R
428,429.,Anthony Gose (24),2.861,2015,L
429,430.,Dave May (28),2.859,1972,R
430,431.,Ron LeFlore (31),2.858,1979,R
431,432.,Sam Chapman (33),2.857,1949,R
432,433.,Ken Boyer (26),2.856,1957,R
433,433.,Larry Hisle (26),2.856,1973,R
434,433.,Rudy Law (25),2.856,1982,L
435,433.,Willie McGee (25),2.856,1984,R
436,437.,Torii Hunter (33),2.855,2009,R
437,437.,Mickey Rivers (25),2.855,1974,L
438,437.,Del Unser (30),2.855,1975,L
439,440.,Kevin Kiermaier (28),2.854,2018,R
440,441.,Kirby Puckett+ (32),2.853,1992,R
441,441.,Chris Young (26),2.853,2010,R
442,443.,Andre Dawson+ (28),2.852,1983,R
443,443.,Larry Doby+ (32),2.852,1956,R
444,443.,Jerry Mumphrey (29),2.852,1982,R
445,443.,Ben Revere (23),2.852,2011,R
446,447.,Bill Bruton (35),2.851,1961,R
447,447.,Brady Clark (32),2.851,2005,R
448,447.,Luis Robert (22),2.851,2020,R
449,450.,Byron Buxton (22),2.850,2016,R
450,450.,Mark Kotsay (25),2.850,2001,L
451,452.,Bobby Del Greco (19),2.849,1952,R
452,453.,Juan Lagares (25),2.848,2014,R
453,454.,Darren Lewis (24),2.847,1992,R
454,455.,Kenny Lofton (35),2.845,2002,L
455,455.,Jerry Mumphrey (27),2.845,1980,R
456,455.,Gorman Thomas (31),2.845,1982,R
457,455.,Robin Yount+ (36),2.845,1992,R
458,459.,Bill Tuttle (30),2.844,1960,R
459,460.,Mike Cameron (27),2.843,2000,R
460,460.,Vic Harris (23),2.843,1973,R
461,462.,Carlos Beltran (24),2.841,2001,R
462,463.,Ken Griffey (31),2.840,1981,L
463,463.,Melvin Upton Jr. (23),2.840,2008,R
464,465.,Andruw Jones (21),2.839,1998,R
465,466.,Ryan Christenson (24),2.838,1998,R
466,466.,Don Lock (26),2.838,1963,R
467,466.,Manny Martinez (28),2.838,1999,R
468,466.,Gorman Thomas (24),2.838,1975,R
469,470.,Cesar Geronimo (30),2.836,1978,L
470,471.,Pete Whisenant (26),2.835,1956,R
471,471.,Brad Wilkerson (28),2.835,2005,L
472,473.,Omar Moreno (30),2.834,1983,L
473,473.,Hunter Pence (24),2.834,2007,R
474,475.,Jacque Jones (32),2.833,2007,L
475,475.,John Shelby (25),2.833,1983,R
476,475.,Drew Stubbs (25),2.833,2010,R
477,478.,Richie Ashburn+ (25),2.832,1952,R
478,478.,Joe Carter (30),2.832,1990,R
479,480.,Ken Griffey Jr.+ (28),2.831,1998,L
480,481.,Jim Busby (28),2.830,1955,R
481,481.,Lee Mazzilli (23),2.830,1978,R
482,481.,Chris Singleton (27),2.830,2000,L
483,481.,Andy Van Slyke (31),2.830,1992,R
484,485.,Jim Busby (29),2.829,1956,R
485,485.,Bill Virdon (29),2.829,1960,R
486,487.,Steve Finley (27),2.828,1992,L
487,487.,Jimmie Hall (25),2.828,1963,R
488,489.,George Foster (22),2.827,1971,R
489,489.,Melvin Mora (29),2.827,2001,R
490,489.,Del Unser (27),2.827,1972,L
491,492.,Doug Glanville (28),2.826,1999,R
492,492.,Rudy Law (27),2.826,1984,L
493,492.,Andy Van Slyke (27),2.826,1988,R
494,495.,Rich Becker (25),2.825,1997,L
495,495.,Bobby Thomson (26),2.825,1950,R
496,497.,Alex Cole (25),2.824,1991,L
497,497.,Larry Doby+ (30),2.824,1954,R
498,497.,Al Oliver (24),2.824,1971,L
499,500.,Ken Griffey Jr.+ (30),2.823,2000,L
