,Rank,Player (age that year),Walks & Hits per IP,Year,Throws
326,325.,Chris Short (26),1.0196,1964,L
327,328.,Babe Adams (31),1.0202,1913,R
328,329.,Rube Foster (26),1.0205,1914,R
329,330.,Bugs Raymond (26),1.0206,1908,R
330,331.,Charlie Geggus (22),1.0207,1884,
331,331.,Gaylord Perry+ (35),1.0207,1974,R
332,331.,Smoky Joe Wood (19),1.0207,1909,R
333,334.,Tommy Bond (23),1.0210,1879,R
334,334.,Addie Joss+ (25),1.0210,1905,R
335,336.,Robin Roberts+ (25),1.0212,1952,R
336,337.,Dupee Shaw (25),1.0215,1884,L
337,338.,Dazzy Vance+ (33),1.0216,1924,R
338,339.,Larry Dierker (22),1.0218,1969,R
339,340.,Doc Ayers (24),1.0221,1915,R
340,341.,Mickey Welch+ (25),1.0224,1885,R
341,341.,Don Wilson (26),1.0224,1971,R
342,343.,Clayton Kershaw (24),1.0234,2012,L
343,344.,Sam Weaver (22),1.0235,1878,R
344,345.,Dan Haren (30),1.0238,2011,R
345,346.,John Ward+ (18),1.0240,1878,R
346,347.,LaMarr Hoyt (28),1.0243,1983,R
347,348.,Fred Goldsmith (26),1.0247,1882,R
348,349.,Robin Roberts+ (27),1.0248,1954,R
349,350.,Dennis Martinez (38),1.0250,1992,R
350,351.,Mickey Welch+ (28),1.0251,1888,R
351,352.,Dick Ellsworth (23),1.0252,1963,L
352,352.,Roy Oswalt (32),1.0252,2010,R
353,352.,Sonny Siebert (30),1.0252,1967,R
354,355.,Jim Whitney (25),1.0253,1883,R
355,356.,Jeff Pfeffer (28),1.0254,1916,R
356,357.,Ed Karger (24),1.0255,1907,L
357,358.,Dick Donovan (33),1.0257,1961,R
358,359.,Javier Vazquez (32),1.0258,2009,R
359,360.,Josh Beckett (31),1.0259,2011,R
360,361.,Jesse Tannehill (29),1.0260,1904,L
361,362.,Charlie Chech (30),1.0262,1908,R
362,363.,Bret Saberhagen (30),1.0263,1994,R
363,364.,Tully Sparks (32),1.0264,1907,R
364,365.,Danny Darwin (34),1.0266,1990,R
365,366.,Ray Fisher (31),1.0268,1919,R
366,367.,Nat Hudson (19),1.0270,1888,R
367,367.,Phil Niekro+ (30),1.0270,1969,R
368,369.,Max Scherzer (34),1.0271,2019,R
369,370.,Cliff Lee (32),1.0272,2011,L
370,371.,Bob Gibson+ (30),1.0273,1966,R
371,371.,Hooks Wiltse (28),1.0273,1908,L
372,373.,Fred Glade (30),1.0275,1906,R
373,373.,Randy Jones (26),1.0275,1976,L
374,375.,Madison Bumgarner (26),1.0279,2016,L
375,376.,Jack Coombs (27),1.0283,1910,R
376,377.,Dave Foutz (31),1.0284,1888,R
377,378.,Gaylord Perry+ (29),1.0287,1968,R
378,378.,Jack Powell (31),1.0287,1906,R
379,378.,Billy Taylor (29),1.0287,1884,R
380,381.,Jumbo McGinnis (29),1.0296,1883,
381,382.,Art Ditmar (30),1.0297,1959,R
382,383.,Andy Pettitte (33),1.0300,2005,L
383,383.,Deacon Phillippe (31),1.0300,1903,R
384,385.,Bob Shawkey (25),1.0301,1916,R
385,386.,Roger Clemens (34),1.0303,1997,R
386,387.,Orel Hershiser (26),1.0306,1985,R
387,388.,Bill Dinneen (28),1.0308,1904,R
388,388.,Randy Johnson+ (38),1.0308,2002,L
389,388.,Adam Wainwright (32),1.0308,2014,R
390,391.,Jim Palmer+ (29),1.0310,1975,R
391,392.,Rube Marquard+ (26),1.0313,1913,L
392,393.,Babe Adams (32),1.0318,1914,R
393,393.,Ed Morris (23),1.0318,1886,L
394,393.,Steve Ontiveros (33),1.0318,1994,R
395,396.,Carl Hubbell+ (31),1.0319,1934,L
396,397.,Dummy Taylor (29),1.0326,1904,R
397,398.,Greg Maddux+ (30),1.0327,1996,R
398,399.,Jumbo McGinnis (30),1.0329,1884,
399,400.,Madison Bumgarner (23),1.0331,2013,L
400,401.,Gerrit Cole (27),1.0333,2018,R
401,402.,Kid Nichols+ (28),1.0335,1898,R
402,403.,George McQuillan (24),1.0336,1909,R
403,404.,Jim Bunning+ (32),1.0340,1964,R
404,405.,Jose DeLeon (28),1.0341,1989,R
405,405.,John Ward+ (19),1.0341,1879,R
406,407.,Nolan Ryan+ (43),1.0343,1990,R
407,408.,Art Nehf (26),1.0345,1919,L
408,409.,Hugh Daily (36),1.0346,1884,R
409,410.,Lefty Tyler (26),1.0348,1916,L
410,411.,Bob Ewing (35),1.0352,1908,R
411,412.,Vic Willis+ (31),1.0353,1907,R
412,413.,Dylan Bundy (27),1.0355,2020,R
413,414.,Hooks Wiltse (29),1.0359,1909,L
414,415.,Sandy Koufax+ (26),1.0362,1962,L
415,416.,Doc Ayers (23),1.0364,1914,R
416,417.,Chris Sale (27),1.0368,2016,L
417,418.,Lucas Giolito (25),1.0369,2020,R
418,419.,Harry Brecheen (33),1.0371,1948,L
419,419.,Bob Moose (20),1.0371,1968,R
420,421.,Guy Morton (22),1.0375,1915,R
421,421.,Garrett Richards (26),1.0375,2014,R
422,423.,Tommy John (25),1.0376,1968,L
423,424.,Juan Pizarro (27),1.0377,1964,L
424,424.,Dick Rudolph (26),1.0377,1914,R
425,426.,Don Sutton+ (30),1.0380,1975,R
426,427.,Bill Bernhard (32),1.0382,1903,R
427,428.,Fergie Jenkins+ (27),1.0383,1970,R
428,428.,Stephen Strasburg (30),1.0383,2019,R
429,430.,Jim Bunning+ (35),1.0386,1967,R
430,431.,Atlee Hammaker (25),1.0387,1983,L
431,432.,Pud Galvin+ (22),1.0388,1879,R
432,433.,Reb Russell (24),1.0389,1913,L
433,434.,Wilbur Cooper (26),1.0390,1918,L
434,434.,Fergie Jenkins+ (25),1.0390,1968,R
435,434.,Tom Seaver+ (24),1.0390,1969,R
436,437.,Rube Waddell+ (27),1.0392,1904,L
437,438.,Pedro Martinez+ (31),1.0393,2003,R
438,439.,Matt Cain (27),1.0395,2012,R
439,440.,Luis Severino (23),1.0397,2017,R
440,441.,Roy Halladay+ (34),1.0399,2011,R
441,442.,Roy Halladay+ (33),1.0412,2010,R
442,442.,Lee Richmond (23),1.0412,1880,L
443,444.,Rick Reed (32),1.0416,1997,R
444,445.,Earl Moore (25),1.0417,1903,R
445,446.,Walker Buehler (24),1.0420,2019,R
446,447.,Wally Bunker (19),1.0421,1964,R
447,448.,Bob Friend (32),1.0422,1963,R
448,448.,Rube Waddell+ (25),1.0422,1902,L
449,450.,Roy Patterson (27),1.0424,1904,R
450,450.,Smoky Joe Wood (25),1.0424,1915,R
451,452.,Nick Maddox (22),1.0426,1909,R
452,453.,James Shields (29),1.0428,2011,R
453,454.,Clayton Kershaw (31),1.0430,2019,L
454,455.,Jack Warhop (29),1.0431,1914,R
455,456.,Cy Morgan (30),1.0432,1909,R
