,Rank,Player (age that year),Passed Balls,Year,Throws
436,416.,Grover Hartley (26),17,1915,R
437,416.,Bill Haselman (31),17,1997,R
438,416.,Scott Hatteberg (27),17,1997,R
439,416.,Scott Hatteberg (28),17,1998,R
440,416.,Frankie Hayes (21),17,1936,R
441,416.,Bill Holbert (23),17,1878,R
442,416.,Ray Katt (28),17,1955,R
443,416.,Tom Kinslow (28),17,1894,R
444,416.,Ernie Lombardi+ (24),17,1932,R
445,416.,Billy Maloney (23),17,1901,R
446,416.,Deacon McGuire (29),17,1893,R
447,416.,Deacon McGuire (32),17,1896,R
448,416.,Deacon McGuire (35),17,1899,R
449,416.,Chief Meyers (29),17,1910,R
450,416.,Steve O'Neill (24),17,1916,R
451,416.,Steve O'Neill (30),17,1922,R
452,416.,Lance Parrish (24),17,1980,R
453,416.,Heinie Peitz (32),17,1903,R
454,416.,Jorge Posada (28),17,1999,R
455,416.,Wilbert Robinson+ (38),17,1902,R
456,416.,John Russell (25),17,1986,R
457,416.,Wally Schang (24),17,1914,R
458,416.,Admiral Schlei (27),17,1905,R
459,416.,Andy Seminick (26),17,1947,R
460,416.,Harry Smith (21),17,1877,R
461,416.,Hal Smith (26),17,1957,R
462,416.,Oscar Stanage (29),17,1912,R
463,416.,Oscar Stanage (31),17,1914,R
464,416.,Jim Sundberg (29),17,1980,R
465,416.,Josh Thole (29),17,2016,R
466,416.,Art Twineham (27),17,1894,L
467,416.,Farmer Vaughn (31),17,1895,R
468,416.,Ned Williamson (22),17,1880,R
469,416.,Bob Wood (35),17,1901,R
470,471.,Doug Allison (30),16,1877,R
471,471.,Jimmy Archer (31),16,1914,R
472,471.,Joe Azcue (24),16,1964,R
473,471.,John Bateman (22),16,1963,R
474,471.,Claude Berry (34),16,1914,R
475,471.,Dick Bertell (26),16,1962,R
476,471.,Dick Billings (28),16,1971,R
477,471.,Frank Bowerman (33),16,1902,R
478,471.,Bob Brenly (31),16,1985,R
479,471.,Roger Bresnahan+ (27),16,1906,R
480,471.,Dick Brown (23),16,1958,R
481,471.,Billy Bryan (26),16,1965,R
482,471.,Vic Correll (29),16,1975,R
483,471.,Clay Dalrymple (25),16,1962,R
484,471.,Dick Dietz (26),16,1968,R
485,471.,Tim Donahue (25),16,1895,R
486,471.,Red Dooin (28),16,1907,R
487,471.,Johnny Edwards (24),16,1962,R
488,471.,Joe Ferguson (30),16,1977,R
489,471.,Tyler Flowers (33),16,2019,R
490,471.,Bill Freehan (25),16,1967,R
491,471.,Joe Girardi (25),16,1990,R
492,471.,Yasmani Grandal (28),16,2017,R
493,471.,John Grim (26),16,1894,R
494,471.,Ed Herrmann (24),16,1971,R
495,471.,Pete Hotaling (22),16,1879,R
496,471.,Randy Hundley (24),16,1966,R
497,471.,Johnny Kling (28),16,1904,R
498,471.,Johnny Kling (29),16,1905,R
499,471.,Ernie Lombardi+ (33),16,1941,R
