,Rank,Player (age that year),Range Factor/Game as CF (s.1901),Year,Throws
324,325.,Jim Piersall (30),2.825,1960,R
325,325.,Claudell Washington (33),2.825,1988,L
326,327.,Chick Hafey+ (30),2.824,1933,R
327,328.,Richie Ashburn+ (23),2.823,1950,R
328,329.,Alex Sanchez (26),2.822,2003,L
329,329.,Mickey Stanley (31),2.822,1974,R
330,331.,Chick Hafey+ (31),2.821,1934,R
331,331.,Terry Puhl (21),2.821,1978,R
332,333.,Joe DiMaggio+ (22),2.820,1937,R
333,334.,Mike Devereaux (29),2.819,1992,R
334,334.,Dixie Walker (29),2.819,1940,R
335,336.,Baby Doll Jacobson (29),2.818,1920,R
336,337.,Willie McGee (31),2.815,1990,R
337,338.,Bill Bruton (30),2.813,1956,R
338,339.,Wally Berger (29),2.812,1935,R
339,340.,Johnny Frederick (28),2.810,1930,L
340,340.,Stan Spence (32),2.810,1947,L
341,342.,Coco Crisp (33),2.809,2013,R
342,342.,Mike Kreevich (36),2.809,1944,R
343,344.,Dom DiMaggio (33),2.807,1950,R
344,345.,Sam Chapman (31),2.806,1947,R
345,345.,Bob Coluccio (22),2.806,1974,R
346,345.,Bake McBride (25),2.806,1974,R
347,348.,Richie Ashburn+ (25),2.805,1952,R
348,348.,Mike Cameron (28),2.805,2001,R
349,348.,Sam Chapman (33),2.805,1949,R
350,348.,Willie Davis (36),2.805,1976,L
351,348.,Aaron Rowand (30),2.805,2008,R
352,348.,Andy Van Slyke (31),2.805,1992,R
353,354.,Andre Dawson+ (23),2.804,1978,R
354,354.,Carl Furillo (24),2.804,1946,R
355,354.,Mickey Rivers (29),2.804,1978,L
356,357.,Liz Funk (25),2.803,1930,L
357,357.,Leonys Martín (26),2.803,2014,R
358,359.,Vince DiMaggio (32),2.802,1945,R
359,359.,Carl Furillo (26),2.802,1948,R
360,361.,Carlos Beltran (30),2.801,2007,R
361,362.,Doug Glanville (30),2.800,2001,R
362,362.,Hunter Pence (24),2.800,2007,R
363,364.,Vada Pinson (20),2.799,1959,L
364,364.,Sam Rice+ (31),2.799,1921,R
365,364.,Tris Speaker+ (38),2.799,1926,L
366,367.,Terry Moore (24),2.797,1936,R
367,368.,Garry Maddox (31),2.796,1981,R
