,Rank,Player (age that year),Adj. Pitching Wins,Year,Throws
59,60.,Jim Palmer+ (29),6.11,1975,R
60,61.,Hal Newhouser+ (25),6.08,1946,L
61,61.,Dazzy Vance+ (33),6.08,1924,R
62,63.,Clark Griffith+ (28),6.07,1898,R
63,64.,Kevin Brown (31),6.06,1996,R
64,64.,Lefty Gomez+ (25),6.06,1934,L
65,64.,Walter Johnson+ (30),6.06,1918,R
66,67.,Bob Caruthers (21),6.05,1885,R
67,67.,Dazzy Vance+ (39),6.05,1930,R
68,69.,Toad Ramsey (21),6.03,1886,L
69,70.,Warren Spahn+ (32),6.02,1953,L
70,71.,Jouett Meekin (27),6.01,1894,R
71,72.,Bucky Walters (30),5.99,1939,R
72,73.,Zack Greinke (25),5.98,2009,R
73,74.,Robin Roberts+ (26),5.96,1953,R
74,75.,Claude Hendrix (25),5.94,1914,R
75,75.,Vic Willis+ (23),5.94,1899,R
76,77.,Thornton Lee (34),5.93,1941,L
77,77.,Joe McGinnity+ (33),5.93,1904,R
78,77.,Billy Taylor (29),5.93,1884,R
79,80.,Roger Clemens (42),5.92,2005,R
80,80.,Cy Young+ (35),5.92,1902,R
81,82.,Jake Arrieta (29),5.91,2015,R
82,83.,Tom Seaver+ (28),5.90,1973,R
83,84.,Pete Alexander+ (33),5.84,1920,R
84,84.,Will White (27),5.84,1882,R
85,86.,Kid Nichols+ (23),5.83,1893,R
86,86.,Mickey Welch+ (25),5.83,1885,R
87,88.,Walter Johnson+ (27),5.82,1915,R
88,88.,Walter Johnson+ (31),5.82,1919,R
89,88.,Dizzy Trout (29),5.82,1944,R
90,91.,Greg Maddux+ (31),5.81,1997,R
91,92.,Pete Alexander+ (29),5.77,1916,R
92,92.,Bob Gibson+ (33),5.77,1969,R
93,92.,John Tudor (31),5.77,1985,L
94,95.,Smoky Joe Wood (22),5.76,1912,R
95,96.,Jacob deGrom (30),5.73,2018,R
96,97.,Bob Feller+ (27),5.72,1946,R
97,97.,Matt Kilroy (21),5.72,1887,L
98,99.,Ed Morris (22),5.70,1885,L
99,100.,Roger Clemens (27),5.69,1990,R
100,100.,Cy Young+ (26),5.69,1893,R
101,102.,Lefty Grove+ (32),5.65,1932,L
102,102.,Warren Spahn+ (26),5.65,1947,L
103,104.,Carl Hubbell+ (31),5.62,1934,L
104,105.,Juan Marichal+ (28),5.59,1966,R
105,106.,Greg Maddux+ (32),5.57,1998,R
106,107.,Juan Marichal+ (27),5.56,1965,R
107,108.,Ed Walsh+ (27),5.55,1908,R
108,109.,Charlie Buffinton (23),5.54,1884,R
109,109.,Randy Johnson+ (31),5.54,1995,L
110,109.,Walter Johnson+ (26),5.54,1914,R
111,112.,Johan Santana (25),5.53,2004,L
