,Rank,Player (age that year),Bases On Balls per 9 IP,Year,Throws
372,373.,John Clarkson+ (23),1.4013,1885,R
373,374.,Dave Rozema (20),1.4015,1977,R
374,375.,Juan Marichal+ (27),1.4018,1965,R
375,376.,Curt Davis (34),1.4019,1938,R
376,377.,Ray Herbert (33),1.4021,1963,R
377,378.,Carl Hubbell+ (36),1.4026,1939,L
378,379.,Syl Johnson (30),1.4032,1931,R
379,380.,Addie Joss+ (24),1.4038,1904,R
380,381.,Deacon Phillippe (32),1.4040,1904,R
381,382.,Lady Baldwin (26),1.4052,1885,L
382,383.,Babe Adams (31),1.4060,1913,R
383,384.,Clayton Kershaw (26),1.4067,2014,L
384,385.,Nick Altrock (27),1.4072,1904,L
385,386.,Jim McCormick (27),1.4077,1884,R
386,387.,Gaylord Perry+ (27),1.4081,1966,R
387,388.,Doug Bird (26),1.4115,1976,R
388,389.,Mordecai Brown+ (31),1.4120,1908,R
389,390.,Tony Mullane (25),1.4127,1884,R
390,391.,Doug Bird (32),1.4136,1982,R
391,392.,Robin Roberts+ (38),1.4161,1965,R
392,393.,Bill Monbouquette (26),1.4175,1963,R
393,394.,Babe Adams (41),1.4181,1923,R
394,395.,Slim Sallee (32),1.4189,1917,L
395,396.,Kid Nichols+ (34),1.4196,1904,R
396,397.,Huck Betts (35),1.4211,1932,R
397,398.,Charlie Ferguson (24),1.4226,1887,R
398,399.,Fritz Peterson (27),1.4228,1969,L
399,400.,Corey Kluber (32),1.4233,2018,R
400,401.,John Burkett (32),1.4261,1997,R
401,401.,Herb Pennock+ (37),1.4261,1931,L
402,403.,Roy Halladay+ (31),1.4268,2008,R
403,404.,Jack Jones (22),1.4271,1883,R
404,404.,Randy Jones (26),1.4271,1976,L
405,406.,Noodles Hahn (24),1.4291,1903,L
406,407.,Reb Russell (27),1.4300,1916,L
407,408.,Wilbur Cooper (28),1.4312,1920,L
408,409.,Robin Roberts+ (36),1.4324,1963,R
409,410.,Carl Mays (32),1.4336,1924,R
410,410.,Gaylord Perry+ (42),1.4336,1981,R
411,412.,Addie Joss+ (27),1.4350,1907,R
412,413.,Jim Kaat (28),1.4354,1967,L
413,414.,Paul Derringer (31),1.4365,1938,R
414,414.,Jack Taylor (27),1.4365,1901,R
415,416.,Jim McCormick (24),1.4373,1881,R
416,417.,Shane Reynolds (31),1.4374,1999,R
417,418.,Eddie Cicotte (35),1.4380,1919,R
418,419.,Guy Hecker (27),1.4392,1883,R
419,420.,Atlee Hammaker (24),1.4400,1982,L
420,420.,Greg Maddux+ (39),1.4400,2005,R
421,422.,Art Nehf (27),1.4430,1920,L
422,423.,Rube Benton (30),1.4431,1920,L
423,424.,Billy Taylor (29),1.4455,1884,R
424,424.,John Ward+ (21),1.4455,1881,R
425,426.,Tony Mullane (24),1.4457,1883,R
426,427.,Addie Joss+ (25),1.4476,1905,R
427,428.,Al Orth (31),1.4479,1904,R
428,428.,Jack Quinn (44),1.4479,1928,R
429,430.,Vern Law (35),1.4494,1965,R
430,431.,Gene Packard (29),1.4516,1917,L
431,432.,Dutch Leonard (35),1.4520,1944,R
432,433.,The Only Nolan (22),1.4524,1878,R
433,434.,Herb Pennock+ (32),1.4531,1926,L
434,435.,Bret Saberhagen (21),1.4533,1985,R
435,436.,Jesse Tannehill (24),1.4534,1899,L
436,437.,Bryn Smith (32),1.4545,1988,R
437,438.,Pete Alexander+ (32),1.4553,1919,R
438,439.,Jim Bunning+ (32),1.4560,1964,R
439,440.,Fred Corey (28),1.4562,1883,R
440,440.,Paul Derringer (33),1.4562,1940,R
441,442.,Carl Hubbell+ (32),1.4570,1935,L
442,443.,Pete Donohue (23),1.4573,1924,R
443,444.,Pete Meegan (21),1.4581,1884,
444,445.,Dutch Leonard (36),1.4583,1945,R
445,446.,Doyle Alexander (35),1.4584,1986,R
446,447.,Ron Guidry (34),1.4595,1985,L
447,447.,Jack Manning (22),1.4595,1876,R
448,447.,Barney Wolfe (28),1.4595,1904,R
449,450.,Will White (29),1.4605,1884,R
450,451.,Don Newcombe (29),1.4636,1955,R
451,452.,Red Lucas (25),1.4645,1927,R
452,453.,Pete Donohue (24),1.4651,1925,R
453,454.,Jim Whitney (23),1.4665,1881,R
454,455.,Pol Perritt (26),1.4678,1918,R
