,Rank,Player (age that year),Assists as OF,Year,Throws
416,373.,Mike Mitchell (33),23,1913,R
417,373.,Danny Murphy (34),23,1911,R
418,373.,Hi Myers (26),23,1915,R
419,373.,Rebel Oakes (30),23,1914,R
420,373.,Mel Ott+ (21),23,1930,R
421,373.,Dode Paskert (38),23,1920,R
422,373.,Sam Rice+ (32),23,1922,R
423,373.,Cy Seymour (28),23,1901,L
424,373.,Al Shaw (27),23,1908,R
425,373.,Jimmy Slagle (27),23,1901,R
426,373.,Enos Slaughter+ (30),23,1946,R
427,373.,Tris Speaker+ (29),23,1917,L
428,373.,Jake Stenzel (27),23,1894,R
429,373.,Jake Stenzel (28),23,1895,R
430,373.,Ed Swartwood (28),23,1887,R
431,373.,Ed Swartwood (31),23,1890,R
432,373.,Lou Sylvester (29),23,1884,R
433,373.,Roy Thomas (28),23,1902,L
434,373.,John Titus (30),23,1906,L
435,373.,John Titus (33),23,1909,L
436,373.,George Van Haltren (35),23,1901,L
437,373.,Curt Welch (26),23,1888,R
438,373.,Jimmy Welsh (23),23,1926,R
439,373.,Al Wickland (26),23,1914,L
440,373.,Cy Williams (29),23,1917,L
441,373.,Ken Williams (33),23,1923,R
442,373.,Chief Wilson (26),23,1910,R
443,373.,Ross Youngs+ (22),23,1919,R
444,373.,Ross Youngs+ (28),23,1925,R
445,446.,Myron Allen (33),22,1887,R
446,446.,Mel Almada (22),22,1935,L
447,446.,Jesse Barfield (25),22,1985,R
448,446.,Bill Barrett (27),22,1927,R
449,446.,Jimmy Barrett (27),22,1902,R
450,446.,Beau Bell (29),22,1937,R
451,446.,Bob Bescher (29),22,1913,L
452,446.,Jud Birchall (27),22,1883,
453,446.,Steve Brodie (27),22,1896,R
454,446.,Tom Brown (22),22,1883,R
455,446.,George Burns (23),22,1913,R
456,446.,Max Carey+ (32),22,1922,R
457,446.,Cliff Carroll (26),22,1886,R
458,446.,Roberto Clemente+ (23),22,1958,R
459,446.,Monk Cline (30),22,1888,L
460,446.,Ty Cobb+ (26),22,1913,R
461,446.,Ty Cobb+ (28),22,1915,R
462,446.,Shano Collins (35),22,1921,R
463,446.,Sam Crawford+ (27),22,1907,L
464,446.,Ed Delahanty+ (23),22,1891,R
465,446.,Ray Demmitt (25),22,1909,R
466,446.,Joe DiMaggio+ (21),22,1936,R
467,446.,Bibb Falk (28),22,1927,L
468,446.,Max Flack (26),22,1916,L
469,446.,Elmer Flick+ (31),22,1907,R
470,446.,Curry Foley (26),22,1882,L
471,446.,Jack Graney (25),22,1911,L
472,446.,Jack Graney (30),22,1916,L
473,446.,Danny Green (22),22,1899,R
474,446.,Cliff Heathcote (28),22,1926,L
475,446.,Emmet Heidrick (27),22,1904,R
476,446.,Charlie Hemphill (25),22,1901,L
477,446.,Jim Hickman (25),22,1917,R
478,446.,Richard Hidalgo (28),22,2003,R
479,446.,Bug Holliday (27),22,1894,R
480,446.,Harry Hooper+ (24),22,1912,R
481,446.,Harry Hooper+ (32),22,1920,R
482,446.,Harry Hooper+ (36),22,1924,R
483,446.,Charlie Jamieson (35),22,1928,L
484,446.,Dick Johnston (26),22,1889,R
485,446.,Charley Jones (33),22,1885,R
486,446.,Fielder Jones (25),22,1897,R
487,446.,Benny Kauff (26),22,1916,L
488,446.,Willie Keeler+ (28),22,1900,L
489,446.,Bill Keister (31),22,1903,R
490,446.,Joe Kelley+ (21),22,1893,R
491,446.,Jay Kirke (24),22,1912,R
492,446.,Lon Knight (27),22,1880,R
493,446.,Lon Knight (30),22,1883,R
494,446.,Bill Lange (28),22,1899,R
495,446.,Nemo Leibold (22),22,1914,R
496,446.,Duffy Lewis (26),22,1914,R
497,446.,Jack McGeachey (23),22,1887,R
498,446.,Red Murray (24),22,1908,R
499,446.,Joe Orsulak (29),22,1991,L
