,Rank,Player (age that year),Championship WPA (cWPA),Year,Throws
424,424.,Mike Smithson (29),7.15,1984,R
425,426.,Dennis Eckersley+ (37),7.13,1992,R
426,427.,Steve Bedrosian (24),7.07,1982,R
427,427.,Don Mossi (25),7.07,1954,L
428,429.,Joe Hatten (31),7.06,1948,L
429,429.,Jakie May (30),7.06,1926,L
430,429.,Hugh McQuillan (26),7.06,1922,R
431,432.,Frank Lary (31),7.05,1961,R
432,433.,Burt Hooton (28),7.03,1978,R
433,434.,Bill Singer (25),7.00,1969,R
434,435.,Tex Carleton (26),6.99,1933,R
435,435.,Lefty Gomez+ (28),6.99,1937,L
436,437.,Ray Kremer (34),6.98,1929,R
437,437.,Dutch Leonard (25),6.98,1917,L
438,437.,Preacher Roe (35),6.98,1951,L
439,440.,Luis Arroyo (33),6.95,1960,L
440,441.,Al Jurisich (22),6.94,1944,R
441,441.,Harry Taylor (28),6.94,1947,R
442,443.,Jack Bentley (29),6.93,1924,L
443,443.,Don Newcombe (29),6.93,1955,R
444,443.,Jim Perry (29),6.93,1965,R
445,446.,Freddie Fitzsimmons (34),6.92,1936,R
446,446.,Milt Pappas (21),6.92,1960,R
447,448.,Bob Turley (24),6.91,1955,R
448,449.,Al Worthington (36),6.90,1965,R
449,450.,Vida Blue (21),6.87,1971,L
450,450.,Stu Miller (37),6.87,1965,R
451,450.,Tom Seaver+ (24),6.87,1969,R
452,453.,Fritz Dorish (30),6.86,1952,R
453,454.,Roy Face (32),6.85,1960,R
454,454.,Red Shea (22),6.85,1921,R
455,456.,Whitey Ford+ (31),6.84,1960,L
456,456.,Joe Nathan (34),6.84,2009,R
457,458.,Whitey Ford+ (32),6.81,1961,L
458,458.,Mule Watson (26),6.81,1923,R
459,460.,Wilbur Cooper (28),6.80,1920,L
460,461.,Mudcat Grant (34),6.77,1970,R
461,462.,Slim Sallee (32),6.76,1917,L
462,462.,Bill Walker (30),6.76,1934,L
463,464.,Preacher Roe (34),6.75,1950,L
464,465.,Kirby Higbe (31),6.73,1946,R
