,Rank,Player (age that year),Double Plays Turned as 1B,Year,Throws
318,299.,Dave Stapleton (29),129,1983,R
319,299.,Hal Trosky (22),129,1935,R
320,299.,Hal Trosky (27),129,1940,R
321,322.,José Abreu (32),128,2019,R
322,322.,Jeff Bagwell+ (32),128,2000,R
323,322.,Daric Barton (22),128,2008,R
324,322.,Miguel Cabrera (26),128,2009,R
325,322.,Elbie Fletcher (24),128,1940,L
326,322.,Freddie Freeman (29),128,2019,R
327,322.,Lou Gehrig+ (33),128,1936,L
328,322.,Jason Giambi (28),128,1999,R
329,322.,Mike Hargrove (30),128,1980,L
330,322.,Ryan Howard (28),128,2008,L
331,322.,Wally Joyner (24),128,1986,L
332,322.,Lee May (26),128,1969,R
333,322.,Mark McGwire (33),128,1997,R
334,322.,Mark McGwire (34),128,1998,R
335,322.,Kevin Millar (36),128,2008,R
336,322.,Carlos Pena (26),128,2004,L
337,322.,Joe Pepitone (23),128,1964,L
338,322.,Anthony Rizzo (28),128,2018,L
339,322.,Lee Stevens (31),128,1999,L
340,322.,Bill Terry+ (31),128,1930,L
341,322.,Frank Thomas+ (25),128,1993,R
342,322.,Phil Todt (27),128,1929,L
343,322.,Mo Vaughn (27),128,1995,R
344,322.,Mickey Vernon (30),128,1948,L
345,346.,Lu Blue (32),127,1929,L
346,346.,Jim Bottomley+ (30),127,1930,L
347,346.,Jake Daubert (38),127,1922,L
348,346.,Paul Goldschmidt (28),127,2016,R
349,346.,Charlie Grimm (33),127,1932,L
350,346.,Buddy Hassett (27),127,1939,L
351,346.,Keith Hernandez (30),127,1984,L
352,346.,High Pockets Kelly+ (33),127,1929,R
353,346.,Frank McCormick (27),127,1938,R
354,346.,Stan Musial+ (37),127,1958,L
355,346.,John Olerud (30),127,1999,L
356,346.,Rafael Palmeiro (33),127,1998,L
357,346.,Justin Smoak (30),127,2017,L
358,346.,Joey Votto (27),127,2011,R
359,360.,Will Clark (24),126,1988,L
360,360.,Nate Colbert (24),126,1970,R
361,360.,Lou Gehrig+ (31),126,1934,L
362,360.,Gil Hodges (31),126,1955,R
363,360.,Joe Kuhel (27),126,1933,L
364,360.,Mark McGwire (26),126,1990,R
365,360.,Willie Montanez (26),126,1974,L
366,360.,John Olerud (34),126,2003,L
367,360.,Richie Sexson (26),126,2001,R
368,360.,Mark Teixeira (25),126,2005,R
369,360.,Phil Todt (23),126,1925,L
370,360.,Earl Torgeson (26),126,1950,L
371,360.,Hal Trosky (23),126,1936,R
372,360.,Bob Watson (30),126,1976,R
373,360.,Bill White (29),126,1963,L
374,375.,Joe Adcock (26),125,1954,R
375,375.,Jeff Bagwell+ (35),125,2003,R
376,375.,Orlando Cepeda+ (24),125,1962,R
377,375.,Will Clark (31),125,1995,L
378,375.,Nate Colbert (25),125,1971,R
379,375.,Lucas Duda (28),125,2014,R
380,375.,Adrian Gonzalez (28),125,2010,L
381,375.,Charlie Grimm (26),125,1925,L
382,375.,Kent Hrbek (22),125,1982,R
383,375.,Kent Hrbek (23),125,1983,R
384,375.,Don Hurst (23),125,1929,L
385,375.,Casey Kotchman (25),125,2008,L
386,375.,Pete O'Brien (27),125,1985,L
387,375.,John Olerud (28),125,1997,L
388,375.,Pete Runnels (34),125,1962,R
389,375.,Bill Terry+ (33),125,1932,L
390,375.,Mickey Vernon (25),125,1943,L
391,375.,Bill White (27),125,1961,L
392,375.,Bill White (30),125,1964,L
393,394.,Miguel Cabrera (33),124,2016,R
394,394.,Nate Colbert (27),124,1973,R
395,394.,Nick Etten (27),124,1941,L
396,394.,Ferris Fain (30),124,1951,L
397,394.,Ferris Fain (31),124,1952,L
398,394.,Andres Galarraga (27),124,1988,R
399,394.,Hank Greenberg+ (23),124,1934,R
400,394.,Keith Hernandez (24),124,1978,L
401,394.,Eric Hosmer (27),124,2017,L
402,394.,Ryan Howard (27),124,2007,L
403,394.,Deron Johnson (32),124,1971,R
404,394.,Wally Joyner (29),124,1991,L
405,394.,Paul Konerko (34),124,2010,R
406,394.,Adam Lind (31),124,2015,L
407,394.,Pete O'Brien (30),124,1988,L
408,394.,Pete O'Brien (33),124,1991,L
409,394.,Lyle Overbay (29),124,2006,L
410,394.,Rafael Palmeiro (32),124,1997,L
411,394.,Pete Rose (38),124,1979,R
412,394.,Mike Sweeney (27),124,2001,R
413,394.,Joey Votto (32),124,2016,R
414,394.,Babe Young (25),124,1941,L
415,416.,Jeff Bagwell+ (33),123,2001,R
416,416.,Zeke Bonura (28),123,1937,R
417,416.,Billy Butler (23),123,2009,R
418,416.,Dolph Camilli (35),123,1942,L
419,416.,Chris Chambliss (27),123,1976,R
420,416.,Joe Collins (29),123,1952,L
421,416.,Harry Davis (24),123,1932,L
422,416.,Dan Driessen (30),123,1982,R
423,416.,Mike Epstein (28),123,1971,L
424,416.,Bill Everitt (29),123,1898,R
425,416.,Ryan Garko (27),123,2008,R
426,416.,Mike Jorgensen (26),123,1975,L
427,416.,Eric Karros (32),123,2000,R
428,416.,High Pockets Kelly+ (26),123,1922,R
429,416.,James Loney (24),123,2008,L
430,416.,Tino Martinez (29),123,1997,R
431,416.,Don Mattingly (32),123,1993,L
432,416.,Johnny Mize+ (26),123,1939,R
433,416.,Justin Morneau (24),123,2005,R
434,416.,Pete O'Brien (28),123,1986,L
435,416.,Rafael Palmeiro (25),123,1990,L
436,416.,Eddie Robinson (27),123,1948,R
437,416.,J.T. Snow (31),123,1999,L
438,416.,Jim Thome+ (26),123,1997,R
439,416.,Willie Upshaw (25),123,1982,L
440,416.,Mo Vaughn (28),123,1996,R
441,416.,Mickey Vernon (29),123,1947,L
442,443.,Ernie Banks+ (33),122,1964,R
443,443.,Lance Berkman (32),122,2008,L
444,443.,Lance Berkman (33),122,2009,L
445,443.,Jim Bottomley+ (29),122,1929,L
446,443.,George Burns (33),122,1926,R
447,443.,Dolph Camilli (29),122,1936,L
448,443.,Chris Carter (29),122,2016,R
449,443.,Donn Clendenon (31),122,1967,R
450,443.,Chris Davis (31),122,2017,R
451,443.,Jimmie Foxx+ (29),122,1937,R
452,443.,Freddie Freeman (22),122,2012,R
453,443.,Steve Garvey (31),122,1980,R
454,443.,Jim Gentile (29),122,1963,L
455,443.,Eric Karros (30),122,1998,R
456,443.,Whitey Lockman (27),122,1954,R
457,443.,Don Mattingly (26),122,1987,L
458,443.,Mark McGwire (25),122,1989,R
459,443.,George McQuinn (29),122,1939,L
460,443.,Justin Morneau (26),122,2007,R
461,443.,Justin Morneau (33),122,2014,R
462,443.,Eddie Murray+ (33),122,1989,R
463,443.,John Olerud (33),122,2002,L
464,443.,George Scott (27),122,1971,R
465,443.,David Segui (26),122,1993,L
466,443.,Norm Siebern (28),122,1962,R
467,443.,Hal Trosky (31),122,1944,R
468,443.,Mickey Vernon (23),122,1941,L
469,443.,Joey Votto (31),122,2015,R
470,443.,Vic Wertz (32),122,1957,R
471,472.,Daric Barton (24),121,2010,R
472,472.,Lu Blue (31),121,1928,L
473,472.,Rod Carew+ (39),121,1985,R
474,472.,Norm Cash (27),121,1961,L
475,472.,Phil Cavarretta (27),121,1944,L
476,472.,Carlos Delgado (30),121,2002,R
477,472.,Walt Dropo (30),121,1953,R
478,472.,Leon Durham (27),121,1985,L
479,472.,Steve Garvey (29),121,1978,R
480,472.,Jim Gentile (28),121,1962,L
481,472.,Eric Hosmer (25),121,2015,L
482,472.,Wally Joyner (33),121,1995,L
483,472.,Adam LaRoche (28),121,2008,L
484,472.,Travis Lee (26),121,2001,L
485,472.,Wally Pipp (28),121,1921,L
486,472.,Dutch Schliebner (32),121,1923,R
487,472.,Richie Sexson (30),121,2005,R
488,472.,Norm Siebern (30),121,1964,R
489,472.,Phil Todt (25),121,1927,L
490,472.,Hal Trosky (25),121,1938,R
491,472.,Mickey Vernon (32),121,1950,L
492,472.,Mickey Vernon (33),121,1951,L
493,472.,Eddie Waitkus (31),121,1951,L
494,472.,Kevin Young (31),121,2000,R
495,496.,Lou Gehrig+ (28),120,1931,L
496,496.,Jason Giambi (27),120,1998,R
497,496.,Mark Grace (32),120,1996,L
498,496.,Jack Graham (32),120,1949,L
499,496.,Paul Konerko (25),120,2001,R
