,Rank,Player (age that year),Situ. Wins Added (WPA/LI),Year,Bats
350,350.,Prince Fielder (23),5.33,2007,L
351,350.,Andrew McCutchen (26),5.33,2013,R
352,353.,Bob Allison (28),5.32,1963,R
353,353.,Rocky Colavito (27),5.32,1961,R
354,353.,Tony Gwynn+ (37),5.32,1997,L
355,353.,Derek Jeter+ (25),5.32,1999,R
356,357.,Willie Mays+ (35),5.31,1966,R
357,358.,Albert Belle (27),5.30,1994,R
358,358.,Charlie Keller (25),5.30,1942,L
359,358.,Mickey Mantle+ (22),5.30,1954,B
360,358.,Dale Murphy (31),5.30,1987,R
361,358.,Alex Rodriguez (27),5.30,2003,R
362,363.,Hank Aaron+ (31),5.29,1965,R
363,363.,Larry Walker+ (31),5.29,1998,L
364,365.,Joe Medwick+ (24),5.28,1936,R
365,365.,Johnny Mize+ (35),5.28,1948,L
366,365.,Magglio Ordonez (33),5.28,2007,R
367,365.,Larry Walker+ (32),5.28,1999,L
368,369.,Chipper Jones+ (35),5.27,2007,B
369,369.,Eddie Mathews+ (23),5.27,1955,L
370,371.,Adrian Beltre (25),5.26,2004,R
371,371.,George Brett+ (32),5.26,1985,L
372,371.,Paul Goldschmidt (25),5.26,2013,R
373,374.,Ernie Banks+ (28),5.25,1959,R
374,374.,Mickey Mantle+ (28),5.25,1960,B
375,376.,Frank Robinson+ (28),5.24,1964,R
376,376.,Dixie Walker (33),5.24,1944,L
377,378.,Carlos Delgado (31),5.23,2003,L
378,378.,Al Kaline+ (26),5.23,1961,R
379,378.,Heinie Manush+ (26),5.23,1928,L
380,378.,Tim Salmon (26),5.23,1995,R
381,378.,Arky Vaughan+ (23),5.23,1935,L
382,378.,David Wright (24),5.23,2007,R
383,384.,Earl Averill+ (29),5.22,1931,L
384,385.,Charlie Blackmon (30),5.21,2017,L
385,385.,Rickey Henderson+ (26),5.21,1985,R
386,385.,Babe Ruth+ (38),5.21,1933,L
387,385.,Norm Siebern (28),5.21,1962,L
388,389.,Jack Clark (31),5.20,1987,R
389,389.,Augie Galan (32),5.20,1944,B
390,391.,Bobby Bonds (25),5.19,1971,R
391,392.,Lance Berkman (26),5.18,2002,B
392,392.,Rafael Palmeiro (34),5.18,1999,L
393,392.,Jim Thome+ (26),5.18,1997,L
394,395.,Ron Santo+ (26),5.16,1966,R
395,395.,Sammy Sosa (31),5.16,2000,R
396,395.,Jim Thome+ (25),5.16,1996,L
397,398.,Rocky Colavito (24),5.15,1958,R
398,398.,Mike Greenwell (24),5.15,1988,L
399,398.,Josh Hamilton (29),5.15,2010,L
400,401.,Eric Davis (25),5.14,1987,R
401,401.,Paul Konerko (34),5.14,2010,R
402,401.,Mike Schmidt+ (26),5.14,1976,R
403,404.,Moises Alou (31),5.13,1998,R
404,404.,Freddie Freeman (26),5.13,2016,L
405,404.,Jose Ramirez (25),5.13,2018,B
406,404.,Giancarlo Stanton (24),5.13,2014,R
407,404.,Ted Williams+ (37),5.13,1956,L
408,409.,Jason Bay (26),5.12,2005,R
409,409.,Alvin Davis (28),5.12,1989,L
410,409.,Harmon Killebrew+ (25),5.12,1961,R
411,409.,Ken Singleton (30),5.12,1977,B
412,409.,Rusty Staub (25),5.12,1969,L
413,414.,Wade Boggs+ (27),5.11,1985,L
414,414.,Lenny Dykstra (30),5.11,1993,L
415,416.,Sal Bando (25),5.10,1969,R
