,Rank,Player (age that year),AB per SO,Year,Bats
387,388.,Doggie Miller (24),38.36,1889,R
388,388.,Hank Severeid (29),38.36,1920,R
389,390.,Armando Marsans (29),38.33,1917,R
390,391.,Tris Speaker+ (35),38.27,1923,L
391,392.,Tommy Corcoran (24),38.25,1893,R
392,393.,Henry Larkin (27),38.23,1887,R
393,394.,Max Flack (31),38.13,1921,L
394,394.,Charlie Gehringer+ (32),38.13,1935,L
395,396.,Tim Foli (28),38.00,1979,R
396,396.,Edd Roush+ (34),38.00,1927,L
397,398.,Dixie Walker (34),37.94,1945,L
398,399.,Everett Scott (27),37.93,1920,R
399,400.,Tom Oliver (29),37.92,1932,R
400,401.,John Peters (27),37.86,1877,R
401,402.,Ollie Beard (28),37.85,1890,R
402,403.,George Kell+ (22),37.80,1945,R
403,404.,Tommy McCarthy+ (31),37.67,1895,R
404,405.,Frank McCormick (27),37.65,1938,R
405,406.,Paul Waner+ (25),37.63,1928,L
406,407.,Matty Alou (31),37.61,1970,L
407,408.,Sam Rice+ (41),37.55,1931,L
408,409.,Billy Sullivan (27),37.50,1938,L
409,410.,Lip Pike (32),37.43,1877,L
410,411.,Joe Start (42),37.40,1885,L
411,412.,Eddie Collins+ (35),37.38,1922,L
412,412.,Frankie Frisch+ (34),37.38,1932,B
413,412.,Jack Glasscock (28),37.38,1886,R
414,412.,Tris Speaker+ (36),37.38,1924,L
415,416.,Ed McKean (33),37.36,1897,R
416,416.,Tris Speaker+ (29),37.36,1917,L
417,418.,Buddy Hassett (24),37.35,1936,L
418,419.,George Wright+ (29),37.22,1876,R
419,420.,Irish Meusel (30),37.19,1923,R
420,421.,John McGraw+ (27),37.11,1900,L
421,422.,John Grim (27),37.00,1895,R
422,422.,Felix Millan (30),37.00,1974,R
423,422.,George Sisler+ (36),37.00,1929,L
424,422.,Ezra Sutton (31),37.00,1881,R
425,422.,Deacon White+ (31),37.00,1879,L
426,427.,Earle Combs+ (33),36.94,1932,L
427,428.,Jack McGeachey (26),36.92,1890,R
428,428.,Don Mueller (26),36.92,1953,L
429,430.,Jake Stenzel (29),36.85,1896,R
430,431.,Andy High (30),36.80,1928,L
431,432.,Lou Boudreau+ (28),36.79,1946,R
432,433.,Kid Gleason (35),36.75,1902,B
433,433.,George Kell+ (24),36.75,1947,R
434,435.,Deacon White+ (37),36.73,1885,L
435,436.,Larry Gardner (35),36.63,1921,L
436,436.,Woody Jensen (28),36.63,1936,L
437,438.,Joe Stripp (33),36.58,1936,R
438,438.,Farmer Weaver (28),36.58,1893,B
439,440.,Frankie Frisch+ (35),36.56,1933,B
440,440.,Heinie Manush+ (31),36.56,1933,L
441,442.,Cap Anson+ (32),36.54,1884,R
442,443.,Everett Scott (31),36.53,1924,R
443,444.,Jack Doyle (28),36.46,1898,R
444,445.,Tommy Corcoran (29),36.41,1898,R
445,445.,Don Mueller (27),36.41,1954,L
446,447.,Andy High (26),36.38,1924,L
447,448.,Jim O'Rourke+ (28),36.20,1879,R
448,449.,Lou Finney (31),36.09,1942,L
449,449.,Jim O'Rourke+ (36),36.09,1887,R
450,451.,Max Flack (29),36.08,1919,L
451,451.,Don Mueller (24),36.08,1951,L
452,453.,Johnny Cooney (37),36.00,1938,R
453,453.,Jim Donnelly (30),36.00,1896,R
