,Rank,Player (age that year),Range Factor/Game as RF (s.1901),Year,Throws
368,369.,Carl Reynolds (29),2.137,1932,R
369,370.,Mookie Betts (26),2.136,2019,R
370,370.,Jose Canseco (25),2.136,1990,R
371,370.,Jeff Francoeur (23),2.136,2007,R
372,370.,Walt French (27),2.136,1927,R
373,370.,Carl Furillo (27),2.136,1949,R
374,370.,Tim Salmon (32),2.136,2001,R
375,376.,Randy Winn (32),2.135,2006,R
376,377.,Jose Cruz (30),2.133,2004,R
377,377.,Richard Hidalgo (30),2.133,2005,R
378,377.,Jim Northrup (28),2.133,1968,R
379,380.,Tom Brunansky (25),2.132,1986,R
380,380.,Bobby Higginson (27),2.132,1998,R
381,380.,Nick Markakis (26),2.132,2010,L
382,380.,Ichiro Suzuki (32),2.132,2006,R
383,380.,Elmer Valo (30),2.132,1951,R
384,385.,Jim Northrup (26),2.131,1966,R
385,386.,Dick Kokos (21),2.130,1949,L
386,386.,Charlie Moore (29),2.130,1982,R
387,388.,Shin-Soo Choo (28),2.129,2011,L
388,388.,Paul O'Neill (37),2.129,2000,L
389,390.,Ted Ford (25),2.128,1972,R
390,391.,Dusty Baker (26),2.127,1975,R
391,391.,Vladimir Guerrero+ (23),2.127,1998,R
392,391.,Jackie Jensen (32),2.127,1959,R
393,394.,Jeromy Burnitz (30),2.126,1999,R
394,394.,Johnny Callison (26),2.126,1965,R
395,394.,J.D. Drew (30),2.126,2006,R
396,394.,George Harper (30),2.126,1922,R
397,394.,Mike Kingery (26),2.126,1987,L
398,394.,Gene Moore (26),2.126,1936,L
399,394.,Dave Parker (34),2.126,1985,R
400,401.,Josh Reddick (25),2.125,2012,R
401,402.,Jermaine Dye (32),2.123,2006,R
402,403.,Harry Hooper+ (31),2.122,1919,R
403,403.,Wally Post (24),2.122,1954,R
404,405.,Jose Bautista (30),2.121,2011,R
405,405.,Brian Jordan (28),2.121,1995,R
406,407.,Tom Brunansky (31),2.120,1992,R
407,408.,Al Kaline+ (20),2.119,1955,R
408,408.,Jim Kelly (31),2.119,1915,R
409,408.,Paul O'Neill (29),2.119,1992,L
410,408.,Ben Revere (24),2.119,2012,R
411,412.,Reggie Jackson+ (27),2.118,1973,L
412,412.,Sammy Sosa (28),2.118,1997,R
413,412.,Larry Walker+ (27),2.118,1994,R
414,415.,Carl Furillo (32),2.116,1954,R
415,416.,Hunter Pence (26),2.115,2009,R
416,416.,Mike Shannon (26),2.115,1966,R
417,416.,Danny Tartabull (33),2.115,1996,R
418,416.,Earl Webb (29),2.115,1927,R
419,420.,Ival Goodman (30),2.114,1939,R
420,420.,Vladimir Guerrero+ (26),2.114,2001,R
421,420.,Justin Upton (24),2.114,2012,R
422,423.,Gus Bell (31),2.113,1960,R
423,423.,Kole Calhoun (31),2.113,2019,L
424,425.,Ivan Calderon (27),2.112,1989,R
425,425.,Cory Snyder (24),2.112,1987,R
426,427.,Warren Cromartie (28),2.111,1982,L
427,427.,Chet Lemon (33),2.111,1988,R
428,427.,Wally Post (27),2.111,1957,R
429,427.,Alex Rios (23),2.111,2004,R
430,431.,Roberto Clemente+ (31),2.110,1966,R
431,431.,Jody Gerut (26),2.110,2004,L
432,431.,Ben Oglivie (28),2.110,1977,L
433,434.,Mike Hershberger (26),2.109,1966,R
434,434.,Alex Rios (28),2.109,2009,R
435,436.,Steven Souza Jr. (27),2.108,2016,R
436,437.,Nick Markakis (32),2.107,2016,L
437,437.,Darryl Strawberry (27),2.107,1989,L
438,439.,Jack Clark (21),2.106,1977,R
439,439.,Steve Kemp (28),2.106,1983,L
440,439.,Wayne Kirby (29),2.106,1993,R
441,442.,Brian Giles (34),2.105,2005,L
442,442.,Chuck Klein+ (24),2.105,1929,R
443,442.,Ruben Sierra (22),2.105,1988,R
444,445.,Chuck Klein+ (27),2.104,1932,R
445,445.,Lee Lacy (37),2.104,1985,R
446,445.,Joel Youngblood (28),2.104,1980,R
447,448.,Bobby Bonds (30),2.102,1976,R
448,448.,Max Kepler (23),2.102,2016,L
449,448.,Trot Nixon (31),2.102,2005,L
450,448.,Jim Wynn (31),2.102,1973,R
451,452.,Casey Blake (31),2.101,2005,R
452,453.,Bob Allison (26),2.100,1961,R
453,453.,Charlie Blackmon (33),2.100,2020,L
454,453.,Paul O'Neill (28),2.100,1991,L
455,453.,Wally Post (28),2.100,1958,R
456,457.,Jose Bautista (33),2.099,2014,R
457,457.,Johnny Callison (25),2.099,1964,R
458,459.,Bill Nicholson (34),2.098,1949,R
459,460.,Harry Hooper+ (32),2.097,1920,R
460,460.,Raul Mondesi (24),2.097,1995,R
461,460.,Magglio Ordonez (29),2.097,2003,R
462,460.,Shane Victorino (26),2.097,2007,R
463,460.,Larry Walker+ (23),2.097,1990,R
464,465.,Josh Hamilton (32),2.096,2013,L
465,465.,Dustan Mohr (26),2.096,2002,R
466,467.,Nicholas Castellanos (27),2.095,2019,R
467,467.,Lloyd Moseby (20),2.095,1980,R
468,467.,George Selkirk (27),2.095,1935,R
469,467.,Tony Tarasco (24),2.095,1995,R
470,471.,Floyd Robinson (25),2.094,1961,R
471,472.,Nicholas Castellanos (26),2.092,2018,R
472,473.,Kole Calhoun (29),2.091,2017,L
473,473.,Avisail Garcia (26),2.091,2017,R
474,475.,Jeromy Burnitz (31),2.089,2000,R
475,475.,Joe Carter (32),2.089,1992,R
476,475.,Gene Hermanski (28),2.089,1948,R
477,478.,Ken Griffey (27),2.088,1977,L
478,478.,George Harper (36),2.088,1928,R
479,478.,Al Kaline+ (29),2.088,1964,R
480,478.,Gene Moore (27),2.088,1937,L
481,478.,Mel Ott+ (26),2.088,1935,R
482,478.,Hunter Pence (34),2.088,2017,R
483,478.,Sammy Sosa (32),2.088,2001,R
484,485.,J.D. Drew (28),2.087,2004,R
485,485.,Charlie Moore (30),2.087,1983,R
486,487.,Jose Cruz (30),2.086,1978,L
487,487.,Alex Rios (34),2.086,2015,R
488,489.,Bobby Bonds (28),2.085,1974,R
489,489.,Terry Puhl (24),2.085,1981,R
490,491.,Al Cowens (26),2.084,1978,R
491,491.,Mark Kotsay (22),2.084,1998,L
492,493.,Vladimir Guerrero+ (30),2.083,2005,R
493,493.,Dave May (30),2.083,1974,R
494,493.,Orlando Merced (30),2.083,1997,R
495,493.,Sam Rice+ (36),2.083,1926,R
496,493.,Sammy Sosa (31),2.083,2000,R
497,493.,Devon White (24),2.083,1987,R
498,493.,Dave Winfield+ (34),2.083,1986,R
499,500.,Harold Baines+ (25),2.082,1984,L
