,Rank,Player (age that year),Hit By Pitch,Year,Bats
290,253.,Minnie Minoso (25),16,1951,R
291,253.,Minnie Minoso (28),16,1954,R
292,253.,Minnie Minoso (35),16,1961,R
293,253.,Darby O'Brien (25),16,1889,R
294,253.,Dick Padden (26),16,1897,R
295,253.,Anthony Rizzo (26),16,2016,L
296,253.,Alex Rodriguez (25),16,2001,R
297,253.,Alex Rodriguez (29),16,2005,R
298,253.,Carlos Ruiz (33),16,2012,R
299,253.,Junior Spivey (27),16,2002,R
300,253.,Fernando Tatis (24),16,1999,R
301,253.,John Titus (33),16,1909,L
302,253.,Mike Trout (27),16,2019,R
303,253.,Jack Warner (24),16,1897,L
304,253.,Josh Willingham (28),16,2007,R
305,253.,Kevin Youkilis (30),16,2009,R
306,307.,José Abreu (28),15,2015,R
307,307.,José Abreu (29),15,2016,R
308,307.,José Abreu (30),15,2017,R
309,307.,Brady Anderson (34),15,1998,L
310,307.,Jeff Bagwell+ (32),15,2000,R
311,307.,Jake Beckley+ (28),15,1896,L
312,307.,Jake Beckley+ (29),15,1897,L
313,307.,Craig Biggio+ (38),15,2004,R
314,307.,Bill Bradley (27),15,1905,R
315,307.,Roger Bresnahan+ (27),15,1906,R
316,307.,Kris Bryant (25),15,2017,R
317,307.,Kris Bryant (27),15,2019,R
318,307.,George Burns (31),15,1924,R
319,307.,Cliff Carroll (31),15,1891,B
320,307.,Francisco Cervelli (32),15,2018,R
321,307.,Frank Chance+ (23),15,1900,R
322,307.,Shin-Soo Choo (32),15,2015,L
323,307.,Boileryard Clarke (29),15,1898,R
324,307.,Fred Clarke+ (25),15,1898,L
325,307.,Eddie Collins+ (24),15,1911,L
326,307.,Frankie Crosetti (27),15,1938,R
327,307.,Bill Dahlen (29),15,1899,R
328,307.,Jim Delahanty (30),15,1909,R
329,307.,Carlos Delgado (27),15,1999,L
330,307.,Carlos Delgado (28),15,2000,L
331,307.,Art Devlin (27),15,1907,R
332,307.,Jimmy Dykes (24),15,1921,R
333,307.,David Eckstein (28),15,2003,R
334,307.,David Eckstein (31),15,2006,R
335,307.,Kid Elberfeld (28),15,1903,R
336,307.,Carl Everett (32),15,2003,B
337,307.,Art Fletcher (28),15,1913,R
338,307.,Art Fletcher (33),15,1918,R
339,307.,Elmer Flick+ (22),15,1898,L
340,307.,Jack Fournier (25),15,1915,L
341,307.,David Freese (34),15,2017,R
342,307.,Brad Fullmer (27),15,2002,L
343,307.,Ryan Garko (27),15,2008,R
344,307.,Jason Giambi (31),15,2002,L
345,307.,Bill Gleason (26),15,1885,R
346,307.,Ival Goodman (29),15,1938,L
347,307.,Jose Guillen (28),15,2004,R
348,307.,Buck Herzog (24),15,1910,R
349,307.,Bill Hinchman (24),15,1907,R
350,307.,Matt Holliday (26),15,2006,R
351,307.,Ducky Holmes (30),15,1899,L
352,307.,Jon Jay (27),15,2012,L
353,307.,Geoff Jenkins (25),15,2000,L
354,307.,Andruw Jones (28),15,2005,R
355,307.,Mack Jones (30),15,1969,L
356,307.,Jason Kendall (22),15,1996,R
357,307.,Jason Kendall (26),15,2000,R
358,307.,Kevin Kouzmanoff (26),15,2008,R
359,307.,Nap Lajoie+ (38),15,1913,R
360,307.,Gene Larkin (25),15,1988,B
361,307.,Henry Larkin (31),15,1891,R
362,307.,Matt Lawton (26),15,1998,L
363,307.,Chet Lemon (27),15,1982,R
364,307.,Mike Macfarlane (28),15,1992,R
365,307.,Reddy Mack (22),15,1888,R
366,307.,Shane Mack (28),15,1992,R
367,307.,Fred Mann (29),15,1887,L
368,307.,Russell Martin (31),15,2014,R
369,307.,Clyde Milan (23),15,1910,L
370,307.,Jocko Milligan (29),15,1891,R
371,307.,Minnie Minoso (32),15,1958,R
372,307.,Daniel Nava (30),15,2013,B
373,307.,A.J. Pierzynski (26),15,2003,L
374,307.,A.J. Pierzynski (27),15,2004,L
375,307.,Carlos Quentin (26),15,2009,R
376,307.,John Reilly (28),15,1887,R
377,307.,Anthony Rizzo (24),15,2014,L
378,307.,Yank Robinson (26),15,1886,R
379,307.,Alex Rodriguez (27),15,2003,R
380,307.,Olmedo Saenz (28),15,1999,R
381,307.,Gary Sheffield (28),15,1997,R
382,307.,Al Smith (27),15,1955,R
383,307.,Fred Snodgrass (23),15,1911,R
384,307.,Ed Sprague (27),15,1995,R
385,307.,Jake Stahl (25),15,1904,R
386,307.,Jake Stahl (30),15,1909,R
387,307.,Shannon Stewart (24),15,1998,R
388,307.,Ed Swartwood (25),15,1884,L
389,307.,Mike Sweeney (26),15,2000,R
390,307.,Roy Thomas (26),15,1900,L
391,307.,Bobby Tolan (23),15,1969,L
392,307.,Neil Walker (27),15,2013,B
393,307.,Kolten Wong (24),15,2015,L
394,307.,Kevin Youkilis (28),15,2007,R
395,396.,Jorge Alfaro (25),14,2018,R
396,396.,Whitey Alpermann (26),14,1906,R
397,396.,Brian Anderson (26),14,2019,R
398,396.,John Anderson (24),14,1898,B
399,396.,Brad Ausmus (30),14,1999,R
400,396.,Jake Beckley+ (24),14,1892,L
401,396.,Angel Berroa (27),14,2005,R
402,396.,Ed Bouchee (24),14,1957,L
403,396.,Steve Brodie (24),14,1893,L
404,396.,Steve Brodie (26),14,1895,L
405,396.,Dan Brouthers+ (31),14,1889,L
406,396.,Chris Burke (26),14,2006,R
407,396.,Jeromy Burnitz (31),14,2000,L
408,396.,Miguel Cairo (30),14,2004,R
409,396.,Orlando Cepeda+ (28),14,1966,R
410,396.,Shin-Soo Choo (29),14,2012,L
411,396.,Jeff Cirillo (27),14,1997,R
412,396.,Brady Clark (33),14,2006,R
413,396.,Fred Clarke+ (23),14,1896,L
414,396.,Fred Clarke+ (29),14,1902,L
415,396.,Greg Colbrunn (26),14,1996,R
416,396.,Willson Contreras (28),14,2020,R
417,396.,Nelson Cruz (37),14,2018,R
418,396.,Bobby Darwin (31),14,1974,R
419,396.,Jim Delahanty (28),14,1907,R
420,396.,Art Devlin (28),14,1908,R
421,396.,Brian Downing (37),14,1988,R
422,396.,Lucas Duda (29),14,2015,L
423,396.,Adam Eaton (26),14,2015,L
424,396.,Adam Eaton (27),14,2016,L
425,396.,Kid Elberfeld (34),14,1909,R
426,396.,Edwin Encarnacion (24),14,2007,R
427,396.,Steve Evans (24),14,1909,L
428,396.,Steve Evans (30),14,1915,L
429,396.,Prince Fielder (23),14,2007,L
430,396.,Ed Fitzpatrick (25),14,1915,R
431,396.,Art Fletcher (26),14,1911,R
432,396.,Art Fletcher (27),14,1912,R
433,396.,Art Fletcher (30),14,1915,R
434,396.,Art Fletcher (31),14,1916,R
435,396.,Logan Forsythe (28),14,2015,R
436,396.,Nellie Fox+ (23),14,1951,L
437,396.,Todd Frazier (27),14,2013,R
438,396.,Todd Frazier (31),14,2017,R
439,396.,Doc Gessler (22),14,1903,L
440,396.,Doc Gessler (24),14,1905,L
441,396.,Jonny Gomes (24),14,2005,R
442,396.,Luis Gonzalez (33),14,2001,L
443,396.,Alex Gordon (31),14,2015,L
444,396.,Alex Gordon (33),14,2017,L
445,396.,Jose Guillen (27),14,2003,R
446,396.,Jose Guillen (34),14,2010,R
447,396.,Billy Hamilton+ (23),14,1889,L
448,396.,Bucky Harris+ (25),14,1922,R
449,396.,Buck Herzog (33),14,1919,R
450,396.,Dummy Hoy (39),14,1901,L
451,396.,Chris Iannetta (25),14,2008,R
452,396.,Jon Jay (28),14,2013,L
453,396.,Derek Jeter+ (30),14,2004,R
454,396.,Derek Jeter+ (33),14,2007,R
455,396.,Lou Johnson (31),14,1966,R
456,396.,Bill Joyce (27),14,1895,L
457,396.,Jung Ho Kang (29),14,2016,R
458,396.,Willie Keeler+ (23),14,1895,L
459,396.,Chuck Knoblauch (32),14,2001,R
460,396.,Mike Lieberthal (30),14,2002,R
461,396.,Mike Macfarlane (31),14,1995,R
462,396.,Dan McGann (30),14,1902,B
463,396.,John McGraw+ (26),14,1899,L
464,396.,John McGraw+ (28),14,1901,L
465,396.,Keith Miller (29),14,1992,R
466,396.,Lastings Milledge (23),14,2008,R
467,396.,Minnie Minoso (26),14,1952,R
468,396.,Melvin Mora (29),14,2001,R
469,396.,Melvin Mora (34),14,2006,R
470,396.,Nyjer Morgan (30),14,2011,L
471,396.,Johnny Mostil (26),14,1922,R
472,396.,Rougned Odor (21),14,2015,L
473,396.,Al Oliver (23),14,1970,L
474,396.,John Reilly (25),14,1884,R
475,396.,Frank Robinson+ (27),14,1963,R
476,396.,Jackie Robinson+ (33),14,1952,R
477,396.,Ike Rockenfield (28),14,1905,R
478,396.,Alex Rodriguez (32),14,2008,R
479,396.,Aaron Rowand (30),14,2008,R
480,396.,Aaron Rowand (31),14,2009,R
481,396.,Wally Schang (25),14,1915,B
482,396.,Scott Schebler (26),14,2017,L
483,396.,Ted Scheffler (26),14,1890,R
484,396.,Larry Schlafly (27),14,1906,R
485,396.,Scott Servais (29),14,1996,R
486,396.,Homer Smoot (28),14,1906,L
487,396.,Alfonso Soriano (26),14,2002,R
488,396.,Harry Steinfeldt (30),14,1906,R
489,396.,Mark Teixeira (23),14,2003,B
490,396.,John Titus (32),14,1908,L
491,396.,Cesar Tovar (31),14,1972,R
492,396.,Tommy Tucker (32),14,1896,B
493,396.,Justin Turner (34),14,2019,R
494,396.,Chase Utley (27),14,2006,L
495,396.,Chase Utley (32),14,2011,L
496,396.,Mo Vaughn (27),14,1995,L
497,396.,Mo Vaughn (28),14,1996,L
498,396.,Mo Vaughn (32),14,2000,L
499,396.,Shane Victorino (25),14,2006,R
500,396.,Honus Wagner+ (28),14,1902,R
501,396.,Larry Walker+ (28),14,1995,L
502,396.,Larry Walker+ (30),14,1997,L
503,396.,Larry Walker+ (34),14,2001,L
504,396.,Rickie Weeks (24),14,2007,R
505,396.,Rickie Weeks (25),14,2008,R
506,396.,Curt Welch (24),14,1886,R
507,396.,Josh Willingham (29),14,2008,R
508,396.,Josh Willingham (33),14,2012,R
509,396.,Josh Willingham (34),14,2013,R
510,396.,Kolten Wong (27),14,2018,L
511,396.,Kevin Youkilis (32),14,2011,R
