,Rank,Player (age that year),Range Factor/9Inn as LF (s.1948),Year,Throws
389,390.,Hoot Evers (31),2.182,1952,R
390,391.,Lou Brock+ (36),2.181,1975,L
391,392.,Albert Belle (24),2.180,1991,R
392,392.,Ben Oglivie (35),2.180,1984,L
393,394.,Garret Anderson (29),2.179,2001,L
394,395.,Miguel Dilone (27),2.178,1982,R
395,395.,Enos Slaughter+ (33),2.178,1949,R
396,397.,George Altman (31),2.177,1964,R
397,397.,Del Ennis (30),2.177,1955,R
398,397.,Gary Roenicke (24),2.177,1979,R
399,400.,Brian Downing (32),2.176,1983,R
400,400.,Jim Rice+ (23),2.176,1976,R
401,400.,Rondell White (27),2.176,1999,R
402,403.,Willie Horton (26),2.175,1969,R
403,404.,Luke Scott (30),2.174,2008,R
404,405.,Josh Willingham (30),2.173,2009,R
405,406.,Ralph Garr (25),2.170,1971,R
406,407.,Jim Lemon (31),2.169,1959,R
407,408.,Steve Kemp (23),2.168,1978,L
408,408.,Gary Redus (26),2.168,1983,R
409,410.,George Bell (25),2.167,1985,R
410,410.,Josh Hamilton (29),2.167,2010,L
411,410.,Pete Rose (31),2.167,1972,R
412,413.,Rickey Henderson+ (41),2.166,2000,L
413,414.,Steve Henderson (28),2.164,1981,R
414,414.,Jerry Lynch (28),2.164,1959,R
415,416.,Warren Cromartie (23),2.162,1977,L
416,416.,Joe Rudi (26),2.162,1973,R
417,416.,Carl Yastrzemski+ (22),2.162,1962,R
418,419.,Mike Huff (30),2.161,1994,R
419,419.,Ron LeFlore (33),2.161,1981,R
420,419.,Kevin McReynolds (33),2.161,1993,R
421,419.,Roy White (28),2.161,1972,R
422,423.,George Foster (32),2.160,1981,R
423,423.,Lonnie Smith (26),2.160,1982,R
424,425.,Greg Vaughn (28),2.157,1994,R
425,426.,Harry Anderson (25),2.156,1957,R
426,426.,Ralph Garr (32),2.156,1978,R
427,426.,Lou Piniella (36),2.156,1980,R
428,426.,Ted Williams+ (36),2.156,1955,R
429,430.,Albert Belle (31),2.155,1998,R
430,430.,Brian Giles (26),2.155,1997,L
431,430.,Candy Maldonado (31),2.155,1992,R
432,433.,Bob Skinner (25),2.151,1957,R
433,433.,Alfonso Soriano (37),2.151,2013,R
434,435.,Tim Raines+ (23),2.150,1983,R
435,436.,Eric Anthony (26),2.148,1994,L
436,436.,Ron Gant (34),2.148,1999,R
437,436.,Rusty Greer (28),2.148,1997,L
438,436.,Richard Hidalgo (24),2.148,1999,R
439,436.,Henry Rodriguez (26),2.148,1994,L
440,441.,Greg Briley (26),2.147,1991,R
441,441.,Brian Giles (32),2.147,2003,L
442,441.,Carlos Lee (25),2.147,2001,R
443,441.,Charlie Maxwell (33),2.147,1960,L
444,445.,Albert Belle (29),2.145,1996,R
445,446.,Mike Greenwell (29),2.144,1993,R
446,447.,Johnny Damon (34),2.143,2008,L
447,447.,Juan Encarnacion (23),2.143,1999,R
448,447.,Gary Matthews (24),2.143,1975,R
449,450.,George Foster (29),2.142,1978,R
450,450.,Gene Richards (26),2.142,1980,L
451,450.,Greg Vaughn (24),2.142,1990,R
452,450.,Greg Vaughn (30),2.142,1996,R
453,454.,Ben Oglivie (32),2.141,1981,L
454,454.,Tim Raines+ (21),2.141,1981,R
455,454.,Carl Yastrzemski+ (28),2.141,1968,R
456,457.,Alex Gordon (34),2.140,2018,R
457,457.,Luis Polonia (28),2.140,1992,L
458,459.,Bob Cerv (34),2.139,1959,R
459,459.,Marty Cordova (31),2.139,2001,R
460,459.,Jose Guillen (28),2.139,2004,R
461,459.,Christian Yelich (23),2.139,2015,R
462,463.,Phil Bradley (29),2.138,1988,R
463,464.,Garret Anderson (34),2.137,2006,L
464,464.,Jason Bay (27),2.137,2006,R
465,464.,Johnny Callison (22),2.137,1961,R
466,464.,Vince Coleman (23),2.137,1985,R
467,468.,Larry Bigbie (26),2.134,2004,R
468,468.,Carlos Lee (23),2.134,1999,R
469,468.,Carlos Lee (27),2.134,2003,R
470,468.,Minnie Minoso (32),2.134,1958,R
471,468.,Billy Sample (24),2.134,1979,R
472,473.,Jackie Brandt (25),2.133,1959,R
473,473.,Brian Downing (35),2.133,1986,R
474,473.,Carl Yastrzemski+ (31),2.133,1971,R
475,476.,Adam Duvall (27),2.132,2016,R
476,476.,Rusty Greer (31),2.132,2000,L
477,478.,Dick Wakefield (27),2.131,1948,R
