,Rank,Player (age that year),Range Factor/Game as LF (s.1901),Year,Throws
250,251.,Carson Bigbee (25),2.266,1920,R
251,252.,Johnny Johnston (23),2.264,1913,R
252,252.,Joe Medwick+ (28),2.264,1940,R
253,252.,Pete Rose (32),2.264,1973,R
254,255.,Billy Sample (28),2.261,1983,R
255,256.,Barry Bonds (27),2.259,1992,L
256,257.,Barry Bonds (22),2.257,1987,L
257,257.,Dick Spalding (33),2.257,1927,L
258,259.,Luis Gonzalez (23),2.256,1991,R
259,259.,Jim Greengrass (26),2.256,1954,R
260,259.,Monte Irvin+ (32),2.256,1951,R
261,259.,Irish Meusel (27),2.256,1920,R
262,259.,Jimmy Sheckard (26),2.256,1905,R
263,264.,Steve Henderson (27),2.250,1980,R
264,264.,Russ Scarritt (26),2.250,1929,R
265,264.,Gene Woodling (28),2.250,1951,R
266,267.,Marty Cordova (27),2.248,1997,R
267,267.,Chick Hafey+ (25),2.248,1928,R
268,269.,Rickey Henderson+ (34),2.246,1993,L
269,269.,Gene Woodling (27),2.246,1950,R
270,271.,Bibb Falk (27),2.245,1926,L
271,271.,Hank Sauer (35),2.245,1952,R
272,273.,Rube Bressler (35),2.244,1930,L
273,273.,Greg Vaughn (26),2.244,1992,R
274,275.,George Burns (27),2.243,1917,R
275,275.,Alex Gordon (27),2.243,2011,R
276,275.,Shannon Stewart (26),2.243,2000,R
277,278.,Jim Rice+ (27),2.241,1980,R
278,279.,Rube Oldring (31),2.239,1915,R
279,280.,Wally Clement (27),2.238,1909,R
280,281.,Morrie Arnovich (29),2.237,1940,R
281,281.,Alex Gordon (30),2.237,2014,R
282,281.,Minnie Minoso (33),2.237,1959,R
283,281.,Jim Rice+ (33),2.237,1986,R
284,285.,Bobby Higginson (29),2.235,2000,R
285,286.,Mike Easler (30),2.233,1981,R
286,286.,Monte Irvin+ (34),2.233,1953,R
287,288.,Dan Gladden (34),2.232,1992,R
288,288.,Gerardo Parra (24),2.232,2011,L
289,290.,Joe Vosmik (25),2.231,1935,R
290,291.,Sherry Magee (22),2.230,1907,R
291,292.,Jim Rice+ (25),2.228,1978,R
292,292.,Tillie Walker (32),2.228,1920,R
293,294.,Johnny Damon (25),2.227,1999,L
294,295.,Bill Lamar (27),2.226,1924,R
295,295.,Enos Slaughter+ (32),2.226,1948,R
296,297.,Dave Collins (30),2.225,1983,L
297,298.,Garret Anderson (23),2.222,1995,L
298,298.,Lou Piniella (25),2.222,1969,R
299,298.,Luis Polonia (25),2.222,1989,L
300,301.,Max Carey+ (24),2.221,1914,R
301,301.,Red Killefer (30),2.221,1915,R
302,303.,Shoeless Joe Jackson (32),2.220,1920,R
303,303.,Tommie Reynolds (27),2.220,1969,R
304,303.,Lonnie Smith (33),2.220,1989,R
305,306.,Harry Anderson (27),2.219,1959,R
306,306.,Jose Cruz (34),2.219,1982,L
307,306.,Al Wickland (27),2.219,1915,L
308,306.,Ted Williams+ (30),2.219,1949,R
309,310.,Fred Clarke+ (38),2.218,1911,R
310,310.,Austin McHenry (24),2.218,1920,R
311,310.,Joe Vosmik (21),2.218,1931,R
312,313.,Nick Cullop (30),2.217,1931,R
313,313.,Shannon Stewart (29),2.217,2003,R
314,313.,Rondell White (28),2.217,2000,R
315,316.,Augie Galan (25),2.216,1937,R
316,317.,Bibb Falk (29),2.215,1928,L
317,318.,John Stone (24),2.214,1930,R
318,319.,Rickey Henderson+ (33),2.213,1992,L
319,320.,Joe Vosmik (23),2.212,1933,R
320,321.,Gil Coan (28),2.211,1950,R
321,322.,Bob Bescher (29),2.210,1913,L
322,322.,Goose Goslin+ (22),2.210,1923,R
323,324.,David DeJesus (29),2.209,2009,L
324,324.,Jimmy Sheckard (25),2.209,1904,R
325,324.,Eric Tipton (28),2.209,1943,R
326,327.,Vernon Wells (32),2.207,2011,R
327,327.,Zack Wheat+ (23),2.207,1911,R
328,327.,Roy White (27),2.207,1971,R
329,330.,Larry Herndon (29),2.205,1983,R
330,330.,Babe Ruth+ (26),2.205,1921,L
331,330.,Maurice Van Robays (27),2.205,1942,R
332,333.,Denver Grigsby (23),2.204,1924,R
333,333.,Tim Raines+ (28),2.204,1988,R
334,333.,Al Smith (26),2.204,1954,R
335,336.,Alfonso Soriano (30),2.203,2006,R
336,336.,Tillie Walker (34),2.203,1922,R
337,338.,Pete Rose (31),2.201,1972,R
338,339.,Bill Cunningham (29),2.200,1924,R
339,339.,Billy Sample (27),2.200,1982,R
340,339.,Hank Sauer (32),2.200,1949,R
341,339.,Dave Winfield+ (30),2.200,1982,R
342,343.,Gene Clines (29),2.198,1976,R
343,343.,Eric Davis (31),2.198,1993,R
344,343.,Jim Rice+ (31),2.198,1984,R
345,346.,Mel Hall (26),2.197,1987,L
346,346.,Bobby Higginson (31),2.197,2002,R
347,346.,Bob Johnson (27),2.197,1933,R
348,346.,Bris Lord (27),2.197,1911,R
349,350.,George Foster (33),2.196,1982,R
350,350.,Dan Gladden (32),2.196,1990,R
351,352.,Rondell White (30),2.195,2002,R
352,353.,Alex Gordon (29),2.194,2013,R
353,353.,Goose Goslin+ (27),2.194,1928,R
354,353.,David Peralta (31),2.194,2019,L
355,356.,Wally Berger (24),2.193,1930,R
356,356.,Del Ennis (22),2.193,1947,R
357,356.,Spike Shannon (30),2.193,1905,R
358,359.,Chick Hafey+ (26),2.192,1929,R
359,359.,Larry Herndon (28),2.192,1982,R
360,359.,Jake Powell (28),2.192,1937,R
361,359.,Clyde Vollmer (31),2.192,1953,R
362,363.,Possum Whitted (26),2.191,1916,R
363,364.,Albert Belle (28),2.190,1995,R
364,365.,Dick Sisler (30),2.189,1951,R
365,365.,Ken Williams (36),2.189,1926,R
366,367.,Kevin Mitchell (28),2.188,1990,R
367,367.,Zack Wheat+ (37),2.188,1925,R
368,369.,Ryan Church (28),2.187,2007,L
369,370.,Jose Cruz (32),2.184,1980,L
370,370.,Ted Williams+ (32),2.184,1951,R
371,370.,Gus Zernial (29),2.184,1952,R
372,373.,Sherry Magee (26),2.183,1911,R
373,373.,Roy White (25),2.183,1969,R
374,375.,Goose Goslin+ (29),2.182,1930,R
375,375.,Bob Johnson (37),2.182,1943,R
376,377.,Monte Irvin+ (35),2.181,1954,R
377,377.,Les Mann (27),2.181,1920,R
378,377.,Carl Yastrzemski+ (37),2.181,1977,R
379,380.,Rube Bressler (34),2.180,1929,L
380,381.,Chuck Klein+ (26),2.178,1931,R
381,381.,Frank Robinson+ (20),2.178,1956,R
382,381.,Pete Rose (33),2.178,1974,R
383,384.,Rickey Henderson+ (32),2.177,1991,L
384,384.,Hal Lee (28),2.177,1933,R
385,386.,Clyde Barnhart (29),2.175,1925,R
386,386.,Augie Galan (23),2.175,1935,R
387,386.,Sherry Magee (21),2.175,1906,R
388,386.,Dick Sisler (29),2.175,1950,R
389,386.,Zack Wheat+ (31),2.175,1919,R
390,391.,Fred Clarke+ (34),2.174,1907,R
391,391.,Jerald Clark (28),2.174,1992,R
392,391.,Lefty O'Doul (34),2.174,1931,L
393,394.,Barry Bonds (26),2.173,1991,L
394,394.,Randy Winn (29),2.173,2003,R
395,396.,Kevin McReynolds (29),2.172,1989,R
396,396.,Jack Thoney (28),2.172,1908,R
397,398.,Barry Bonds (23),2.170,1988,L
398,399.,Kirk Gibson (31),2.169,1988,L
399,399.,Charlie Maxwell (32),2.169,1959,L
400,399.,Gary Redus (29),2.169,1986,R
401,402.,Juan Gonzalez (24),2.168,1994,R
402,403.,Jason Bay (30),2.167,2009,R
403,403.,Charlie Maxwell (33),2.167,1960,L
404,403.,Tim Raines+ (34),2.167,1994,R
405,406.,Bernard Gilkey (29),2.166,1996,R
406,406.,Justin Upton (29),2.166,2017,R
407,408.,Mike Menosky (26),2.165,1921,R
408,409.,Garret Anderson (24),2.164,1996,L
409,409.,Bo Jackson (26),2.164,1989,R
410,409.,Charlie Maxwell (29),2.164,1956,L
411,409.,Ted Williams+ (29),2.164,1948,R
412,413.,Frank Delahanty (23),2.163,1906,R
413,413.,George Foster (31),2.163,1980,R
414,413.,Greasy Neale (24),2.163,1916,R
415,416.,John Briggs (30),2.162,1974,L
