,Rank,Player (age that year),Win Probability Added (WPA),Year,Bats
431,432.,Roberto Clemente+ (31),5.28,1966,R
432,432.,Wes Covington (26),5.28,1958,L
433,434.,Mike Piazza+ (31),5.27,2000,R
434,434.,Boog Powell (28),5.27,1970,L
435,434.,Al Simmons+ (23),5.27,1925,R
436,437.,Kiki Cuyler+ (25),5.26,1924,R
437,437.,Jimmie Foxx+ (28),5.26,1936,R
438,437.,High Pockets Kelly+ (28),5.26,1924,R
439,437.,Paul Waner+ (25),5.26,1928,L
440,441.,Paul Molitor+ (36),5.25,1993,R
441,441.,Mike Trout (20),5.25,2012,R
442,443.,Eric Davis (27),5.24,1989,R
443,443.,Joe DiMaggio+ (33),5.24,1948,R
444,443.,J.D. Drew (28),5.24,2004,L
445,443.,Manny Ramirez (28),5.24,2000,R
446,447.,Ernie Banks+ (28),5.22,1959,R
447,447.,Albert Belle (26),5.22,1993,R
448,447.,Pedro Guerrero (33),5.22,1989,R
449,447.,Keith Hernandez (30),5.22,1984,L
450,447.,Mark McGwire (33),5.22,1997,R
451,452.,Bob Allison (27),5.21,1962,R
452,452.,Billy Williams+ (29),5.21,1967,L
453,454.,Willie Stargell+ (34),5.20,1974,L
454,454.,Mike Trout (27),5.20,2019,R
455,456.,Earl Averill+ (36),5.19,1938,L
456,456.,Rocky Colavito (24),5.19,1958,R
457,456.,Prince Fielder (23),5.19,2007,L
458,456.,Bill Nicholson (28),5.19,1943,L
459,456.,Gary Sheffield (32),5.19,2001,R
460,456.,Billy Williams+ (30),5.19,1968,L
461,462.,Rico Carty (24),5.18,1964,R
462,462.,Hal Chase (33),5.18,1916,R
463,462.,Brian Giles (30),5.18,2001,L
464,465.,Darrell Evans (26),5.17,1973,L
465,465.,Gary Sheffield (34),5.17,2003,R
466,465.,Mike Trout (25),5.17,2017,R
467,468.,Stan Musial+ (33),5.16,1954,L
468,468.,Frank Robinson+ (30),5.16,1966,R
469,470.,Bobby Abreu (30),5.15,2004,L
470,470.,Rod Carew+ (29),5.15,1975,L
471,470.,Mike Greenwell (24),5.15,1988,L
472,470.,Wes Parker (30),5.15,1970,B
473,474.,Bill Dickey+ (29),5.14,1936,L
474,474.,Travis Hafner (28),5.14,2005,L
475,474.,Carlos Lee (32),5.14,2008,R
476,474.,Andrew McCutchen (28),5.14,2015,R
477,474.,Mel Ott+ (25),5.14,1934,L
478,474.,Ron Santo+ (26),5.14,1966,R
479,474.,Tris Speaker+ (38),5.14,1926,L
480,481.,Hank Greenberg+ (23),5.13,1934,R
481,481.,Bill Madlock (24),5.13,1975,R
482,481.,George Scott (29),5.13,1973,R
483,481.,Giancarlo Stanton (24),5.13,2014,R
484,485.,Jim Wynn (23),5.12,1965,R
485,486.,Bobby Abreu (28),5.11,2002,L
486,486.,George Brett+ (23),5.11,1976,L
487,486.,Tris Speaker+ (37),5.11,1925,L
488,489.,Jeff Bagwell+ (32),5.10,2000,R
489,490.,Vladimir Guerrero+ (24),5.09,1999,R
490,490.,Minnie Minoso (31),5.09,1957,R
491,490.,Mike Schmidt+ (36),5.09,1986,R
492,493.,Ryan Braun (28),5.08,2012,R
493,493.,Del Ennis (24),5.08,1949,R
494,493.,Fred McGriff (30),5.08,1994,L
495,493.,Johnny Mize+ (26),5.08,1939,L
496,493.,Josh Willingham (33),5.08,2012,R
497,498.,Luke Appling+ (29),5.07,1936,R
498,498.,Lenny Dykstra (30),5.07,1993,L
499,498.,Willie McGee (26),5.07,1985,B
500,498.,Tim Raines+ (23),5.07,1983,B
501,498.,Willie Stargell+ (29),5.07,1969,L
