,Rank,Player (age that year),Fielding Independent Pitching,Year,Throws
272,272.,Ed Summers (24),2.302,1909,R
273,274.,Charlie Geggus (22),2.304,1884,
274,275.,Phil Douglas (29),2.305,1919,R
275,275.,Jim McCormick (21),2.305,1878,R
276,277.,Jimmy Dygert (22),2.306,1907,R
277,277.,Deacon Phillippe (35),2.306,1907,R
278,279.,Bob Ewing (35),2.309,1908,R
279,279.,Rube Marquard+ (30),2.309,1917,L
280,281.,Chief Bender+ (29),2.312,1913,R
281,281.,George McQuillan (23),2.312,1908,R
282,283.,Red Ames (23),2.314,1906,R
283,284.,Noodles Hahn (25),2.315,1904,L
284,284.,Dick Rudolph (27),2.315,1915,R
285,284.,Ledell Titcomb (21),2.315,1888,L
286,287.,Jesse Tannehill (29),2.316,1904,L
287,288.,Reb Russell (26),2.317,1915,L
288,288.,Dale Williams (20),2.317,1876,R
289,290.,Bob Bruce (31),2.318,1964,R
290,291.,Charlie Sweeney (21),2.319,1884,R
291,292.,Bert Blyleven+ (22),2.320,1973,R
292,292.,Eppa Rixey+ (25),2.320,1916,L
293,294.,Ben Tincup (21),2.321,1914,R
294,295.,Lefty Tyler (28),2.324,1918,L
295,296.,Pud Galvin+ (23),2.325,1880,R
296,296.,Jake Weimer (30),2.325,1904,L
297,298.,Steve Carlton+ (36),2.326,1981,L
298,299.,Tex Hughson (28),2.328,1944,R
299,299.,Harry Salisbury (27),2.328,1882,
300,299.,Hippo Vaughn (22),2.328,1910,L
301,302.,Nap Rucker (22),2.329,1907,L
302,303.,Zack Greinke (25),2.330,2009,R
303,304.,Ferdie Schupp (26),2.332,1917,L
304,304.,Bob Veale (33),2.332,1969,L
305,304.,Don Wilson (23),2.332,1968,R
306,307.,Leon Cadore (25),2.334,1917,R
307,307.,Nick Cullop (28),2.334,1916,L
308,309.,Cy Young+ (42),2.336,1909,R
309,309.,George Zettlein (31),2.336,1876,R
310,311.,The Only Nolan (22),2.337,1878,R
311,311.,Barney Pelty (28),2.337,1909,R
312,313.,Joe Benz (28),2.338,1914,R
313,313.,Christy Mathewson+ (22),2.338,1903,R
314,313.,Guy Morton (22),2.338,1915,R
315,316.,Bob Gibson+ (31),2.339,1967,R
316,317.,Ray Sadecki (27),2.342,1968,L
317,318.,Tim Lincecum (25),2.343,2009,R
318,318.,Gary Peters (26),2.343,1963,L
319,320.,Eddie Plank+ (30),2.344,1906,L
320,320.,George Winter (29),2.344,1907,R
321,322.,Red Ames (22),2.346,1905,R
322,322.,Andy Messersmith (26),2.346,1972,R
323,324.,Cy Falkenberg (27),2.347,1907,R
324,324.,Corey Kluber (28),2.347,2014,R
325,326.,Jake Arrieta (29),2.348,2015,R
