,Rank,Player (age that year),At Bats,Year,Bats
336,323.,Jim Rice+ (24),644,1977,R
337,323.,George Springer (26),644,2016,R
338,323.,Mark Teixeira (25),644,2005,B
339,340.,Elvis Andrus (28),643,2017,R
340,340.,Richie Ashburn+ (24),643,1951,L
341,340.,Frank Baumholtz (28),643,1947,L
342,340.,Glenn Beckert (27),643,1968,R
343,340.,Bobby Bonds (27),643,1973,R
344,340.,Lou Brock+ (27),643,1966,L
345,340.,Cecil Cooper (27),643,1977,L
346,340.,Doc Cramer (30),643,1936,L
347,340.,Willie Davis (28),643,1968,L
348,340.,Derek Jeter+ (30),643,2004,R
349,340.,Alex Rios (26),643,2007,R
350,340.,Ruben Sierra (21),643,1987,B
351,340.,Sammy Sosa (29),643,1998,R
352,340.,Snuffy Stirnweiss (25),643,1944,R
353,340.,Bill Terry+ (33),643,1932,L
354,340.,Lou Whitaker (26),643,1983,L
355,356.,Beau Bell (29),642,1937,R
356,356.,Bill Buckner (26),642,1976,L
357,356.,Bert Campaneris (26),642,1968,R
358,356.,Kiki Cuyler+ (31),642,1930,R
359,356.,Johnny Damon (24),642,1998,L
360,356.,Chone Figgins (27),642,2005,B
361,356.,Jeff Francoeur (23),642,2007,R
362,356.,Steve Garvey (25),642,1974,R
363,356.,Alex Gordon (28),642,2012,L
364,356.,Tony Gwynn+ (26),642,1986,L
365,356.,Nick Markakis (25),642,2009,L
366,356.,Nick Markakis (30),642,2014,L
367,356.,Jose Reyes (29),642,2012,B
368,356.,Harold Reynolds (29),642,1990,B
369,356.,Gene Richards (26),642,1980,L
370,356.,Cal Ripken Jr.+ (24),642,1985,R
371,356.,Red Schoendienst+ (27),642,1950,B
372,356.,Sammy Sosa (28),642,1997,R
373,356.,Rusty Staub (34),642,1978,L
374,356.,Jonathan Villar (28),642,2019,B
375,356.,Devon White (28),642,1991,B
376,356.,Billy Williams+ (30),642,1968,L
377,356.,Billy Williams+ (31),642,1969,L
378,379.,George Bell (26),641,1986,R
379,379.,Phil Bradley (26),641,1985,R
380,379.,Chris Chambliss (27),641,1976,L
381,379.,Horace Clarke (30),641,1969,B
382,379.,Hughie Critz (27),641,1928,R
383,379.,Chili Davis (22),641,1982,B
384,379.,Willie Davis (31),641,1971,L
385,379.,Frankie Frisch+ (25),641,1923,B
386,379.,Charlie Gehringer+ (33),641,1936,L
387,379.,Stan Hack (29),641,1939,L
388,379.,George Kell+ (27),641,1950,R
389,379.,Roberto Kelly (25),641,1990,R
390,379.,Mike Lansing (28),641,1996,R
391,379.,Jerry Lumpe (29),641,1962,L
392,379.,Nick Markakis (27),641,2011,L
393,379.,Hal McRae (31),641,1977,R
394,379.,Roger Metzger (24),641,1972,B
395,379.,Dustin Pedroia (29),641,2013,R
396,379.,Sam Rice+ (36),641,1926,L
397,379.,Cal Ripken Jr.+ (23),641,1984,R
398,379.,Cal Ripken Jr.+ (32),641,1993,R
399,379.,Brian Roberts (26),641,2004,B
400,379.,Stan Rojek (29),641,1948,R
401,379.,Kevin Seitzer (25),641,1987,R
402,379.,Bobby Thomson (25),641,1949,R
403,379.,Leon Wagner (30),641,1964,L
404,379.,Eddie Waitkus (30),641,1950,L
405,379.,Devon White (29),641,1992,B
406,379.,Tony Womack (27),641,1997,L
407,408.,Ozzie Albies (22),640,2019,B
408,408.,Jose Altuve (26),640,2016,R
409,408.,Harold Baines+ (26),640,1985,L
410,408.,Lou Brock+ (32),640,1971,L
411,408.,Roy Johnson (26),640,1929,L
412,408.,Manny Machado (23),640,2016,R
413,408.,Don Mattingly (31),640,1992,L
414,408.,Frank McCormick (27),640,1938,R
415,408.,Dale Mitchell (27),640,1949,L
416,408.,Terry Pendleton (31),640,1992,B
417,408.,Scott Podsednik (28),640,2004,L
418,408.,Cal Ripken Jr.+ (35),640,1996,R
419,408.,Red Schoendienst+ (26),640,1949,B
420,408.,Grady Sizemore (22),640,2005,L
421,408.,Shannon Stewart (27),640,2001,R
422,408.,Tony Taylor (27),640,1963,R
423,424.,Ozzie Albies (21),639,2018,B
424,424.,Tony Armas (30),639,1984,R
425,424.,Craig Biggio+ (33),639,1999,R
426,424.,Andre Dawson+ (24),639,1979,R
427,424.,Dom DiMaggio (34),639,1951,R
428,424.,Ralph Garr (25),639,1971,L
429,424.,Steve Garvey (29),639,1978,R
430,424.,Derek Jeter+ (33),639,2007,R
431,424.,Bill Mazeroski+ (30),639,1967,R
432,424.,Juan Pierre (33),639,2011,L
433,424.,Kirby Puckett+ (32),639,1992,R
434,424.,Hanley Ramirez (23),639,2007,R
435,424.,Ivan Rodriguez+ (24),639,1996,R
436,424.,Red Rolfe (26),639,1935,L
437,424.,Milt Stock (26),639,1920,R
438,424.,Ichiro Suzuki (35),639,2009,L
439,424.,Devon White (24),639,1987,B
440,424.,Roy White (29),639,1973,B
441,424.,Mookie Wilson (26),639,1982,B
442,424.,Michael Young (30),639,2007,R
443,444.,Jose Altuve (25),638,2015,R
444,444.,Garret Anderson (30),638,2002,L
445,444.,Garret Anderson (31),638,2003,L
446,444.,Orlando Cabrera (32),638,2007,R
447,444.,Joe Carter (31),638,1991,R
448,444.,Roberto Clemente+ (31),638,1966,R
449,444.,Woody English (24),638,1930,R
450,444.,Roy Hughes (25),638,1936,R
451,444.,Heinie Manush+ (26),638,1928,L
452,444.,Felix Millan (29),638,1973,R
453,444.,Lefty O'Doul (32),638,1929,L
454,444.,Johnny Pesky (28),638,1947,L
455,444.,Steve Sax (22),638,1982,R
456,444.,Mookie Wilson (27),638,1983,B
457,444.,Robin Yount+ (20),638,1976,R
458,459.,Bobby Adams (30),637,1952,R
459,459.,Roberto Alomar+ (23),637,1991,B
460,459.,Max Alvis (29),637,1967,R
461,459.,Rocco Baldelli (21),637,2003,R
462,459.,Carlos Beltran (25),637,2002,B
463,459.,Robinson Cano (26),637,2009,L
464,459.,Joe DiMaggio+ (21),637,1936,R
465,459.,Lenny Dykstra (30),637,1993,L
466,459.,Alcides Escobar (29),637,2016,R
467,459.,Doug Glanville (29),637,2000,R
468,459.,Granny Hamner (23),637,1950,R
469,459.,Dick Howser (28),637,1964,R
470,459.,Nick Markakis (23),637,2007,L
471,459.,Gene Moore (26),637,1936,L
