,Rank,Player (age that year),Losses,Year,Throws
585,483.,Al Mattern (27),19,1910,L
586,483.,Darrell May (32),19,2004,L
587,483.,Erskine Mayer (24),19,1914,R
588,483.,Kirk McCaskill (30),19,1991,R
589,483.,Mike McDermott (20),19,1895,R
590,483.,Chappie McFarland (28),19,1903,R
591,483.,Willie McGill (20),19,1894,L
592,483.,Frank Miller (31),19,1917,R
593,483.,Al Milnar (27),19,1941,L
594,483.,Sam Moffet (27),19,1884,R
595,483.,Earl Moore (33),19,1911,R
596,483.,Mike Moore (27),19,1987,R
597,483.,Van Mungo (25),19,1936,R
598,483.,Bobo Newsom (34),19,1942,R
599,483.,Kid Nichols+ (20),19,1890,R
600,483.,Kid Nichols+ (29),19,1899,R
601,483.,Cinders O'Brien (21),19,1888,R
602,483.,Al Orth (24),19,1897,R
603,483.,Tom Parrott (26),19,1894,R
604,483.,Gaylord Perry+ (34),19,1973,R
605,483.,Scott Perry (27),19,1918,R
606,483.,Herman Pillette (27),19,1923,R
607,483.,Henry Porter (28),19,1886,R
608,483.,Jack Powell (24),19,1899,R
609,483.,Jack Powell (26),19,1901,R
610,483.,Jack Powell (28),19,1903,R
611,483.,Jack Powell (29),19,1904,R
612,483.,Jack Powell (36),19,1911,R
613,483.,Old Hoss Radbourn+ (27),19,1882,R
614,483.,Ken Raffensberger (32),19,1950,L
615,483.,Pedro Ramos (24),19,1959,R
616,483.,Jimmy Ring (26),19,1921,R
617,483.,Eddie Rommel (25),19,1923,R
618,483.,Nap Rucker (23),19,1908,L
619,483.,Nap Rucker (24),19,1909,L
620,483.,Dick Rudolph (27),19,1915,R
621,483.,Don Rudolph (31),19,1963,L
622,483.,Ben Sanders (27),19,1892,R
