,Rank,Player (age that year),Range Factor/9Inn as 2B,Year,Throws
292,293.,Pete Kilduff (28),6.032,1921,R
293,293.,Frank White (32),6.032,1983,R
294,295.,Bobby Grich (34),6.030,1983,R
295,296.,Denny Doyle (27),6.028,1971,R
296,296.,Kid Gleason (33),6.028,1900,R
297,296.,Ted Lepcio (24),6.028,1954,R
298,296.,Bob Randall (30),6.028,1978,R
299,300.,Bobby Lowe (27),6.025,1893,R
300,301.,George Cutshaw (27),6.020,1914,R
301,301.,Paul Molitor+ (23),6.020,1980,R
302,301.,Cotton Tierney (29),6.020,1923,R
303,304.,Kid Gleason (34),6.018,1901,R
304,305.,George Creamer (26),6.017,1881,R
305,306.,Zeb Terry (31),6.016,1922,R
306,307.,Marty McManus (25),6.015,1925,R
307,308.,Alex Kampouris (25),6.014,1938,R
308,308.,Ryne Sandberg+ (23),6.014,1983,R
309,310.,Tom Evers (32),6.013,1884,L
310,310.,Billy Herman+ (22),6.013,1932,R
311,310.,Jerry Priddy (29),6.013,1949,R
312,313.,Rennie Stennett (25),6.012,1976,R
313,314.,Glenn Hubbard (22),6.011,1980,R
314,314.,Eddie Moore (26),6.011,1925,R
315,316.,Duke Kenworthy (27),6.010,1914,R
316,317.,Jimmy Williams (24),6.008,1901,R
317,318.,John O'Brien (28),6.006,1895,R
318,319.,Red Schoendienst+ (31),6.005,1954,R
319,320.,Charlie Gehringer+ (27),6.004,1930,R
320,320.,Jerry Priddy (31),6.004,1951,R
321,322.,Hobe Ferris (26),6.003,1901,R
322,322.,Curt Roberts (24),6.003,1954,R
323,324.,Tommy Helms (30),6.001,1971,R
324,325.,Tom Burns (25),6.000,1882,R
325,325.,Reddy Mack (20),6.000,1886,
326,325.,Freddie Maguire (32),6.000,1931,R
327,325.,Eddie Mayo (34),6.000,1944,R
328,325.,Fred Pfeffer (32),6.000,1892,R
329,330.,Jim Gantner (28),5.999,1981,R
330,331.,Charlie Gehringer+ (26),5.998,1929,R
331,331.,Red Schoendienst+ (30),5.998,1953,R
332,333.,Lou Bierbauer (28),5.995,1894,R
333,334.,Joe Gerhardt (30),5.994,1885,R
334,335.,Manny Trillo (27),5.992,1978,R
335,336.,Chuck Cottier (26),5.991,1962,R
336,337.,Bobby Knoop (30),5.990,1969,R
337,338.,Joe Quest (31),5.989,1884,R
338,339.,Danny Murtaugh (25),5.988,1943,R
339,339.,Rob Wilfong (25),5.988,1979,R
340,341.,Buddy Myer (30),5.987,1934,R
341,341.,Rennie Stennett (23),5.987,1974,R
342,343.,Jimmie Reese (30),5.986,1932,R
343,343.,Connie Ryan (30),5.986,1950,R
344,343.,Rennie Stennett (24),5.986,1975,R
345,346.,Bucky Harris+ (28),5.983,1925,R
346,346.,Pep Young (31),5.983,1939,R
347,348.,Cupid Childs (23),5.981,1891,R
348,349.,Roy Hughes (25),5.980,1936,R
349,349.,Alex Kampouris (24),5.980,1937,R
350,351.,Luke Boone (25),5.978,1915,R
351,351.,Jack Crooks (25),5.978,1891,R
352,351.,Chick Fewster (28),5.978,1925,R
353,351.,Bump Wills (28),5.978,1981,R
354,355.,Bobby Doerr+ (32),5.977,1950,R
355,355.,John O'Brien (32),5.977,1899,R
356,357.,Bill Sweeney (25),5.975,1911,R
357,358.,Mickey Witek (27),5.974,1943,R
358,359.,Red Schoendienst+ (28),5.972,1951,R
359,360.,Max Bishop (33),5.971,1933,R
360,360.,Kid Gleason (31),5.971,1898,R
361,362.,Lonny Frey (32),5.968,1943,R
362,362.,Bobby Grich (24),5.968,1973,R
363,362.,Fred Pfeffer (26),5.968,1886,R
364,365.,Tony Bernazard (25),5.967,1982,R
365,365.,Julio Cruz (24),5.967,1979,R
366,367.,Lew Fonseca (28),5.966,1927,R
367,368.,Heinie Reitz (30),5.965,1897,R
368,368.,Whitey Wietelmann (26),5.965,1945,R
369,370.,Dave Shean (33),5.963,1917,R
370,370.,Bill Wambsganss (26),5.963,1920,R
371,372.,Frankie Frisch+ (28),5.962,1926,R
372,373.,Tito Fuentes (31),5.960,1975,R
373,373.,Bill Mazeroski+ (25),5.960,1962,R
374,375.,Roy Hartsfield (25),5.959,1951,R
375,375.,Manny Trillo (26),5.959,1977,R
376,375.,Burgess Whitehead (25),5.959,1935,R
377,378.,Charlie Gehringer+ (28),5.957,1931,R
378,378.,Joe Quest (30),5.957,1883,R
379,380.,Pedro Garcia (25),5.956,1975,R
380,381.,Bobby Lowe (28),5.955,1894,R
381,382.,Don Kolloway (28),5.952,1947,R
382,383.,George Cutshaw (35),5.951,1922,R
383,384.,Tony Cuccinello (24),5.948,1932,R
384,385.,George Grantham (30),5.946,1930,R
385,385.,John Morrill (21),5.946,1876,R
386,385.,Johnny Rawlings (28),5.946,1921,R
387,388.,Hector Lopez (28),5.944,1958,R
388,389.,Joe Gerhardt (31),5.940,1886,R
389,389.,Bill Hallman (28),5.940,1895,R
390,391.,Al Glossop (27),5.938,1942,R
391,392.,Aaron Ward (27),5.937,1924,R
392,393.,Andy Cohen (23),5.936,1928,R
393,393.,Dots Miller (30),5.936,1917,R
394,393.,Eric Young Sr. (29),5.936,1996,R
395,396.,Brian Giles (23),5.935,1983,R
396,396.,Joe Quinn (32),5.935,1895,R
397,398.,Ivy Olson (36),5.934,1922,R
398,398.,Johnny Rawlings (29),5.934,1922,R
399,400.,Frankie Gustine (21),5.933,1941,R
400,400.,Bobby Knoop (31),5.933,1970,R
401,400.,Woody Williams (31),5.933,1944,R
402,403.,Horace Clarke (29),5.932,1968,R
403,404.,Charlie Gehringer+ (29),5.931,1932,R
404,405.,Tony Cuccinello (23),5.930,1931,R
405,406.,Kid Gleason (29),5.929,1896,R
406,406.,Al Myers (26),5.929,1890,R
407,408.,Bucky Harris+ (30),5.927,1927,R
408,409.,Lou Bierbauer (29),5.926,1895,R
409,410.,Frankie Frisch+ (35),5.924,1933,R
410,411.,Manny Trillo (29),5.920,1980,R
411,412.,Snuffy Stirnweiss (25),5.918,1944,R
412,412.,Cub Stricker (33),5.918,1892,R
413,414.,Pete Coscarart (31),5.917,1944,R
414,414.,Nellie Fox+ (22),5.917,1950,R
415,416.,Don Kolloway (27),5.916,1946,R
416,416.,Bid McPhee+ (36),5.916,1896,R
417,418.,Al Myers (27),5.915,1891,R
418,418.,Roy Schalk (36),5.915,1945,R
419,418.,Rabbit Warstler (31),5.915,1935,R
420,421.,Lonny Frey (28),5.914,1939,R
421,421.,Rich Morales (29),5.914,1973,R
422,423.,Bill Regan (28),5.913,1927,R
423,424.,Jerry Priddy (26),5.912,1946,R
424,425.,Bobby Doerr+ (29),5.911,1947,R
425,425.,Bill Greenwood (27),5.911,1884,L
426,425.,Baldy Louden (28),5.911,1912,R
427,428.,Nap Lajoie+ (31),5.910,1906,R
428,429.,Alex Kampouris (22),5.909,1935,R
429,430.,Tim Cullen (28),5.907,1970,R
430,430.,Marv Olson (25),5.907,1932,R
431,432.,Jack Burdock (30),5.906,1882,R
432,433.,Jack Farrell (23),5.905,1881,R
433,433.,Carl Lind (24),5.905,1928,R
434,435.,Hub Collins (25),5.904,1889,R
435,435.,Eddie Mayo (35),5.904,1945,R
436,437.,Bobby Doerr+ (24),5.903,1942,R
437,437.,Gil McDougald (27),5.903,1955,R
438,437.,Bob Randall (29),5.903,1977,R
439,437.,Frank White (29),5.903,1980,R
440,441.,Danny Murtaugh (23),5.902,1941,R
441,442.,Ted Sizemore (29),5.901,1974,R
442,443.,Bump Wills (25),5.900,1978,R
443,444.,Pete Mackanin (23),5.899,1975,R
444,444.,Heinie Reitz (26),5.899,1893,R
445,446.,John O'Brien (30),5.898,1897,R
446,447.,Bill Regan (29),5.897,1928,R
447,448.,Bobby Doerr+ (30),5.895,1948,R
448,449.,Joe Quinn (36),5.891,1899,R
449,450.,Jack Burdock (29),5.890,1881,R
450,450.,Horace Clarke (34),5.890,1973,R
451,450.,Jack Farrell (22),5.890,1880,R
452,450.,George Pinkney (26),5.890,1885,R
453,450.,John Ward+ (34),5.890,1894,R
454,455.,John Farrell (24),5.888,1901,R
